"Estimated In-Room Response"	
"Estimated In-Room Response"	
"Frequency [Hz]"	"Sound Pessure Level [dB]   /  [	0.13	V at 	1	m]"
20.5078	48.8392
21.2402	46.3064
21.9727	44.7695
22.7051	46.2633
23.4375	44.2967
24.1699	46.9232
25.6348	51.6496
26.3672	54.3517
27.0996	56.9573
27.832	59.4357
29.2969	63.9137
30.0293	66.2388
31.4941	71.035
32.2266	73.2379
33.6914	77.5837
34.4238	79.5931
35.8887	83.1091
37.3535	85.8326
38.8184	87.7335
39.5508	88.4538
41.0156	89.4411
42.4805	89.9792
43.9453	90.4008
45.4102	90.6342
47.6074	90.8531
49.0723	90.9503
50.5371	90.9998
52.7344	91.0381
54.1992	91.0439
56.3965	91.0267
58.5938	91.0767
60.0586	91.1016
62.2559	91.1117
64.4531	91.1707
66.6504	91.2479
69.5801	91.3463
71.7773	91.4385
73.9746	91.5186
76.9043	91.6539
79.834	91.7309
82.7637	91.7965
85.6934	91.8259
88.623	91.8345
91.5527	91.8181
94.4824	91.7838
98.1445	91.7499
101.807	91.7231
105.469	91.6843
109.131	91.7075
112.793	91.7226
116.455	91.6614
120.85	91.651
125.244	91.5886
129.639	91.5021
134.033	91.44
138.428	91.3585
143.555	91.235
148.682	91.1526
153.809	91.0605
159.668	91.0962
164.795	91.1056
170.654	91.035
176.514	90.9454
183.105	90.8368
189.697	90.8441
196.289	90.8581
202.881	90.8868
210.205	90.869
217.529	90.8851
225.586	90.921
232.91	91.0622
241.699	90.825
249.756	90.9635
258.545	91.0927
268.066	90.8566
277.588	90.9935
287.109	90.956
297.363	91.0102
307.617	91.0564
318.604	90.9572
329.59	90.9688
341.309	90.6318
353.76	90.7733
366.211	90.8438
378.662	91.3841
392.578	91.0128
405.762	91.0645
420.41	91.3375
435.059	90.8728
450.439	90.5381
466.553	90.0297
482.666	89.6879
500.244	89.6886
517.822	89.4326
536.133	89.3315
554.443	89.3698
574.219	89.6629
594.727	89.2768
615.234	89.1319
637.207	89.6254
659.912	89.3032
683.35	89.2724
706.787	89.2403
731.689	89.204
758.057	89.5568
784.424	89.3594
812.256	89.1118
840.82	89.5075
870.85	89.6453
901.611	89.6823
933.105	89.5334
966.064	89.3816
999.756	89.1282
1,034.91	88.8374
1,071.53	88.7467
1,109.62	88.578
1,148.44	88.7573
1,189.45	89.1187
1,231.2	89.3307
1,274.41	89.6261
1,319.82	89.6502
1,365.97	89.3636
1,414.31	89.1494
1,464.11	89.2692
1,515.38	89.2831
1,568.85	89.2967
1,624.51	88.9196
1,681.64	88.3479
1,740.97	88.4246
1,802.49	88.6056
1,866.21	88.3026
1,932.13	87.7052
2,000.24	87.7357
2,070.56	88.3695
2,143.8	88.3724
2,219.24	87.6651
2,297.61	88.0332
2,378.17	88.5408
2,462.4	88.4543
2,548.83	88.4073
2,638.92	88.5181
2,731.93	88.393
2,828.61	88.4243
2,928.22	88.3834
3,031.49	88.1237
3,138.43	88.3611
3,249.02	88.2759
3,363.28	87.8616
3,481.93	87.7047
3,604.98	88.0038
3,732.42	87.6089
3,863.53	87.7137
3,999.76	87.8246
4,141.11	87.8573
4,286.87	87.5708
4,438.48	87.6
4,594.48	87.4036
4,757.08	87.6283
4,924.8	87.7318
5,098.39	87.846
5,277.83	88.0699
5,463.87	87.949
5,656.49	88.1758
5,856.45	88.3661
6,062.99	88.061
6,276.86	87.554
6,498.05	87.3128
6,727.29	87.2344
6,964.6	87.1331
7,209.96	87.3358
7,464.11	87.139
7,727.78	87.1677
8,000.24	87.421
8,282.23	87.3514
8,574.46	87.6238
8,876.22	87.455
9,189.7	87.3057
9,513.43	87.1169
9,848.88	87.4339
10,196.8	87.5098
10,556.4	87.2812
10,928.5	86.8238
11,313.7	87.0147
11,712.9	87.4497
12,126	87.57
12,553.7	86.9359
12,996.1	86.4378
13,454.6	86.8491
13,928.5	87.0026
14,419.9	86.6857
14,928.2	86.662
15,454.8	86.9583
15,999.8	86.8288
16,564.5	86.4649
17,148.2	86.6331
17,753.2	86.8064
18,379.4	86.8679
19,027.6	86.3672
19,698.5	85.9039
19,999.5	85.6868
