"Vertical Reflections"
"Floor Reflection"		"Ceiling Reflection"		"Total Vertical Reflection"
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
20.5078	44.9432	20.5078	43.0497	20.5078	44.0988
21.9727	48.6218	21.9727	47.6399	21.9727	48.1585
23.4375	50.423	23.4375	49.3762	23.4375	49.9311
24.9023	51.7525	24.9023	50.8932	24.9023	51.3441
26.3672	53.0672	26.3672	52.5381	26.3672	52.8107
27.832	53.9105	27.832	53.3879	27.832	53.6571
29.2969	55.8615	29.2969	55.2543	29.2969	55.5685
30.7617	56.5937	30.7617	56.2022	30.7617	56.4024
32.2266	58.0588	32.2266	57.6832	32.2266	57.8751
33.6914	59.5773	33.6914	59.1445	33.6914	59.3663
35.1563	60.546	35.1563	60.1157	35.1563	60.3362
36.6211	61.7407	36.6211	61.2994	36.6211	61.5257
38.0859	62.8374	38.0859	62.5505	38.0859	62.6963
39.5508	63.523	39.5508	62.7691	39.5508	63.1624
41.0156	64.8698	41.0156	64.2816	41.0156	64.5856
42.4805	66.7531	42.4805	66.5869	42.4805	66.6708
43.9453	66.7256	43.9453	66.2114	43.9453	66.4761
45.4102	66.4403	45.4102	65.6525	45.4102	66.0642
46.875	67.4429	46.875	66.6621	46.875	67.07
48.3398	69.3093	48.3398	69.026	48.3398	69.17
51.2695	70.275	51.2695	69.8449	51.2695	70.0653
52.7344	70.9699	52.7344	70.4756	52.7344	70.7298
54.1992	71.861	54.1992	71.3527	54.1992	71.6143
55.6641	72.8011	55.6641	72.3294	55.6641	72.5717
58.5938	74.3866	58.5938	73.9065	58.5938	74.1532
60.0586	75.1612	60.0586	74.6884	60.0586	74.9312
62.9883	76.7063	62.9883	76.2813	62.9883	76.499
64.4531	77.3679	64.4531	76.9337	64.4531	77.1562
67.3828	78.4633	67.3828	78.0296	67.3828	78.2518
68.8477	79.0877	68.8477	78.6549	68.8477	78.8767
71.7773	80.3826	71.7773	80.0014	71.7773	80.1962
74.707	81.0434	74.707	80.7827	74.707	80.915
77.6367	81.5343	77.6367	81.2858	77.6367	81.4118
79.1016	81.8984	79.1016	81.6752	79.1016	81.7882
82.0313	82.6518	82.0313	82.4588	82.0313	82.5563
84.9609	82.7756	84.9609	82.5865	84.9609	82.6821
87.8906	82.7001	87.8906	82.4802	87.8906	82.5915
90.8203	83.1487	90.8203	83.1147	90.8203	83.1317
95.2148	82.7186	95.2148	82.3895	95.2148	82.5571
98.1445	82.833	98.1445	82.756	98.1445	82.7946
