* Freq[Hz]     dBSPL  Phase[Deg]
151.020     87.295  -116.063
153.217     87.326  -124.736
155.445     87.358  -133.501
157.706     87.388  -142.396
160.000     87.406  -151.429
162.327     87.400  -161.419
164.688     87.376  -171.035
167.084     87.344  -179.960
169.514     87.310   172.169
171.980     87.269   163.060
174.481     87.231   153.913
177.019     87.189   144.682
179.594     87.136   135.406
182.206     87.076   126.115
184.856     87.008   116.807
187.545     86.924   106.323
190.273     86.855    97.104
193.041     86.797    88.582
195.849     86.742    79.874
198.697     86.692    70.611
201.587     86.653    61.319
204.520     86.626    52.005
207.494     86.616    42.649
210.512     86.626    33.216
213.574     86.662    22.529
216.681     86.709    12.826
219.833     86.769     4.149
223.030     86.854    -5.908
226.274     86.953   -16.192
229.565     87.068   -26.757
232.905     87.186   -37.675
236.292     87.291   -48.915
239.729     87.383   -61.660
243.216     87.437   -73.424
246.754     87.460   -84.072
250.343     87.466   -96.094
253.984     87.452  -108.225
257.678     87.412  -120.439
261.426     87.349  -132.639
265.229     87.272  -145.903
269.087     87.206  -157.859
273.001     87.150  -169.534
276.972     87.114   179.270
281.000     87.095   167.014
285.088     87.095   153.683
289.234     87.121   140.332
293.441     87.152   127.969
297.709     87.175   115.547
302.040     87.188   102.014
306.433     87.206    88.564
310.890     87.234    74.930
315.412     87.274    60.539
320.000     87.316    45.965
324.655     87.332    32.195
329.377     87.354    18.680
334.168     87.389     3.887
339.028     87.399   -13.164
343.959     87.373   -29.426
348.962     87.306   -43.280
354.038     87.214   -57.536
359.188     87.147   -72.704
364.412     87.138   -89.774
369.713     87.175  -106.169
375.090     87.222  -120.613
380.546     87.270  -137.142
386.081     87.313  -154.271
391.697     87.335  -172.037
397.394     87.337   170.083
403.175     87.308   152.697
409.039     87.238   134.464
414.989     87.132   115.385
421.025     86.982    96.115
427.149     86.804    78.440
433.362     86.613    61.126
439.665     86.420    42.394
446.060     86.274    23.555
452.548     86.209     6.003
459.131     86.197   -12.515
465.809     86.222   -32.497
472.584     86.240   -51.817
479.458     86.209   -71.334
486.432     86.122   -92.211
493.507     85.993  -113.132
500.686     85.860  -133.514
507.968     85.779  -153.287
515.357     85.772  -174.528
522.853     85.809   163.745
530.458     85.857   142.857
538.174     85.901   120.265
546.002     85.919    97.822
553.943     85.933    76.500
562.001     85.963    53.655
570.175     86.023    29.334
578.469     86.131     6.030
586.883     86.292   -17.927
595.419     86.488   -42.878
604.080     86.673   -67.388
612.866     86.820   -93.888
621.780     86.873  -122.551
630.824     86.792  -149.923
640.000     86.608  -177.713
649.309     86.398   155.326
658.753     86.216   130.075
668.335     86.119   101.869
678.056     86.142    74.430
687.919     86.239    46.625
697.925     86.360    17.418
708.077     86.413   -11.452
718.376     86.347   -42.670
728.825     86.167   -74.023
739.426     85.920  -104.367
750.181     85.690  -134.234
761.093     85.599  -163.802
772.163     85.674   166.048
783.394     85.873   134.715
794.789     86.110   100.863
806.349     86.282    67.666
818.078     86.339    32.972
829.977     86.340    -2.505
842.050     86.340   -37.716
854.298     86.297   -73.211
866.724     86.226  -108.251
879.330     86.149  -145.344
892.120     86.100   177.869
905.097     86.095   140.979
918.262     86.111   102.399
931.618     86.036    62.195
945.169     85.750    22.196
958.917     85.352   -16.613
972.864     85.037   -54.449
987.015     84.951   -93.136
1001.37     85.107  -133.151
1015.94     85.277  -175.391
1030.71     85.233   142.109
1045.71     85.011    99.231
1060.92     84.869    56.819
1076.35     84.937    15.003
1092.00     85.127   -28.410
1107.89     85.296   -73.378
1124.00     85.324  -119.892
1140.35     85.299  -167.086
1156.94     85.328   145.346
1173.77     85.349    97.157
1190.84     85.333    49.005
1208.16     85.337     0.515
1225.73     85.376   -49.215
1243.56     85.502  -100.607
1261.65     85.557  -153.690
1280.00     85.429   153.706
1298.62     85.278   101.658
1317.51     85.213    49.211
1336.67     85.276    -4.673
1356.11     85.450   -59.595
1375.84     85.537  -116.778
1395.85     85.445  -174.675
1416.15     85.399   128.728
1436.75     85.488    71.335
1457.65     85.677    11.662
1478.85     85.711   -49.954
1500.36     85.595  -111.929
1522.19     85.521  -174.284
1544.33     85.500   123.972
1566.79     85.609    61.171
1589.58     85.743    -4.569
1612.70     85.819   -70.518
