"Directivity Index"
"Sound Power DI"		"Early Reflections DI"
"Frequency [Hz]"	"[dB] Directivity Index "	"Frequency [Hz]"	"[dB] Directivity Index "
20.5078	0.273245	20.5078	0.116787
21.2402	0.281076	21.2402	0.121255
21.9727	0.24817	21.9727	0.111897
22.7051	0.287675	22.7051	0.1251
23.4375	0.250996	23.4375	0.109873
24.1699	0.226751	24.1699	0.100793
25.6348	0.244739	25.6348	0.108883
26.3672	0.258643	26.3672	0.113849
27.0996	0.229173	27.0996	0.102229
27.832	0.221867	27.832	0.100536
29.2969	0.2465	29.2969	0.112168
30.0293	0.250485	30.0293	0.113251
31.4941	0.233833	31.4941	0.105246
32.2266	0.229502	32.2266	0.10439
33.6914	0.231957	33.6914	0.105539
34.4238	0.220578	34.4238	0.100964
35.8887	0.206305	35.8887	0.0979989
37.3535	0.256528	37.3535	0.116349
38.8184	0.237845	38.8184	0.109719
39.5508	0.229578	39.5508	0.107124
41.0156	0.230905	41.0156	0.10896
42.4805	0.223011	42.4805	0.105354
43.9453	0.209962	43.9453	0.101762
45.4102	0.238675	45.4102	0.112491
47.6074	0.237224	47.6074	0.113564
49.0723	0.304711	49.0723	0.137533
50.5371	0.278171	50.5371	0.128148
52.7344	0.271926	52.7344	0.125796
54.1992	0.264858	54.1992	0.123941
56.3965	0.252743	56.3965	0.121064
58.5938	0.263634	58.5938	0.123048
60.0586	0.274876	60.0586	0.128631
62.2559	0.295178	62.2559	0.139906
64.4531	0.31607	64.4531	0.147803
66.6504	0.305642	66.6504	0.146014
69.5801	0.35304	69.5801	0.163518
71.7773	0.339749	71.7773	0.15994
73.9746	0.279414	73.9746	0.135999
76.9043	0.213464	76.9043	0.11979
79.834	0.315658	79.834	0.160573
82.7637	0.476083	82.7637	0.218669
85.6934	0.551178	85.6934	0.23661
88.623	0.344668	88.623	0.150864
91.5527	-0.385568	91.5527	-0.082242
94.4824	0.627079	94.4824	0.284475
98.1445	0.398803	98.1445	0.193517
101.807	0.44532	101.807	0.216239
105.469	0.38382	105.469	0.19527
109.131	0.38626	109.131	0.203871
112.793	0.514945	112.793	0.250764
116.455	0.497243	116.455	0.243951
120.85	0.415484	120.85	0.221842
125.244	0.569181	125.244	0.282434
129.639	0.540737	129.639	0.248596
134.033	0.531733	134.033	0.268201
138.428	0.483159	138.428	0.251159
143.555	0.47398	143.555	0.260243
148.682	0.471223	148.682	0.267902
153.809	0.779089	153.809	0.378728
159.668	0.716526	159.668	0.346103
164.795	0.470684	164.795	0.261056
170.654	0.399855	170.654	0.269298
176.514	0.514112	176.514	0.343031
183.105	0.921628	183.105	0.506465
189.697	1.05713	189.697	0.523859
196.289	1.01911	196.289	0.498799
202.881	1.06761	202.881	0.538161
210.205	1.15612	210.205	0.572299
217.529	1.16761	217.529	0.558977
225.586	1.13612	225.586	0.583611
232.91	1.25225	232.91	0.622923
241.699	1.31048	241.699	0.640947
249.756	1.435	249.756	0.732669
258.545	1.57009	258.545	0.733669
268.066	1.4626	268.066	0.744559
277.588	1.71882	277.588	0.800558
287.109	1.84528	287.109	0.86425
297.363	2.0219	297.363	0.960199
307.617	1.92219	307.617	0.881779
318.604	1.98355	318.604	0.897723
329.59	2.16223	329.59	0.968968
341.309	2.11509	341.309	0.968102
353.76	2.63809	353.76	1.1176
366.211	2.6253	366.211	1.05365
378.662	2.45703	378.662	0.997266
392.578	2.41315	392.578	0.96733
405.762	2.39904	405.762	1.05237
420.41	3.00329	420.41	1.18391
435.059	2.56069	435.059	1.01383
450.439	3.04096	450.439	1.145
466.553	2.86951	466.553	1.0363
482.666	3.07796	482.666	1.13017
500.244	2.88239	500.244	0.990802
517.822	2.70378	517.822	0.929018
536.133	2.87711	536.133	1.16021
554.443	3.54075	554.443	1.24885
574.219	3.40441	574.219	1.11072
594.727	3.0525	594.727	0.971033
615.234	3.65865	615.234	1.31115
637.207	3.40339	637.207	1.03956
659.912	3.67899	659.912	1.24377
683.35	3.76871	683.35	1.38448
706.787	3.92023	706.787	1.3769
731.689	4.12365	731.689	1.55528
758.057	4.05959	758.057	1.55687
784.424	4.24785	784.424	1.66691
812.256	4.40215	812.256	1.75219
840.82	4.60956	840.82	1.96905
870.85	4.8577	870.85	2.14243
901.611	5.14523	901.611	2.23068
933.105	5.27004	933.105	2.2855
966.064	5.44433	966.064	2.35828
999.756	5.65636	999.756	2.52778
1,034.91	5.39199	1,034.91	2.36081
1,071.53	5.18113	1,071.53	2.31685
1,109.62	4.96758	1,109.62	2.18098
1,148.44	4.77729	1,148.44	2.04235
1,189.45	5.31346	1,189.45	2.38428
1,231.2	5.41716	1,231.2	2.41161
1,274.41	5.37977	1,274.41	2.27858
1,319.82	5.44424	1,319.82	2.33446
1,365.97	5.51128	1,365.97	2.36525
1,414.31	5.58522	1,414.31	2.35738
1,464.11	5.38215	1,464.11	2.23253
1,515.38	5.65087	1,515.38	2.36545
1,568.85	5.95931	1,568.85	2.4599
1,624.51	6.02626	1,624.51	2.5703
1,681.64	5.7993	1,681.64	2.44553
1,740.97	5.95658	1,740.97	2.41121
1,802.49	6.40618	1,802.49	2.69795
1,866.21	6.57353	1,866.21	2.92436
1,932.13	6.69606	1,932.13	2.9521
2,000.24	6.70949	2,000.24	2.70137
2,070.56	7.25647	2,070.56	2.96357
2,143.8	6.88797	2,143.8	2.81696
2,219.24	6.4072	2,219.24	2.63542
2,297.61	7.06971	2,297.61	2.98138
2,378.17	7.08061	2,378.17	2.93384
2,462.4	6.80655	2,462.4	2.74402
2,548.83	6.3701	2,548.83	2.48112
2,638.92	6.41756	2,638.92	2.48473
2,731.93	6.43863	2,731.93	2.41256
2,828.61	5.8616	2,828.61	2.07777
2,928.22	5.23208	2,928.22	1.66159
3,031.49	4.73243	3,031.49	1.39944
3,138.43	4.8793	3,138.43	1.61077
3,249.02	4.9185	3,249.02	1.80471
3,363.28	4.80702	3,363.28	1.90751
3,481.93	5.05918	3,481.93	2.08218
3,604.98	5.11757	3,604.98	2.03606
3,732.42	5.41895	3,732.42	2.13106
3,863.53	5.70934	3,863.53	2.22827
3,999.76	5.44912	3,999.76	2.07295
4,141.11	5.34739	4,141.11	1.92587
4,286.87	5.02772	4,286.87	1.81084
4,438.48	4.87871	4,438.48	1.62138
4,594.48	4.58091	4,594.48	1.27003
4,757.08	4.29564	4,757.08	1.06667
4,924.8	4.26419	4,924.8	1.07925
5,098.39	3.46933	5,098.39	0.528284
5,277.83	3.76952	5,277.83	0.746078
5,463.87	4.14739	5,463.87	0.97862
5,656.49	4.00129	5,656.49	0.875021
5,856.45	4.70632	5,856.45	1.35111
6,062.99	4.78589	6,062.99	1.32383
6,276.86	4.99033	6,276.86	1.43711
6,498.05	5.61915	6,498.05	1.84251
6,727.29	5.88375	6,727.29	2.10732
6,964.6	6.01204	6,964.6	2.25207
7,209.96	6.11235	7,209.96	2.3336
7,464.11	6.23334	7,464.11	2.44718
7,727.78	6.60645	7,727.78	2.58542
8,000.24	7.05501	8,000.24	2.8013
8,282.23	7.53824	8,282.23	3.05543
8,574.46	7.88631	8,574.46	3.23726
8,876.22	8.08466	8,876.22	3.41108
9,189.7	8.12786	9,189.7	3.4745
9,513.43	8.30048	9,513.43	3.56487
9,848.88	8.45084	9,848.88	3.63826
10,196.8	8.60903	10,196.8	3.73461
10,556.4	8.77877	10,556.4	3.86402
10,928.5	8.89783	10,928.5	3.9499
11,313.7	8.91027	11,313.7	3.99456
11,712.9	8.82983	11,712.9	4.0202
12,126	8.83684	12,126	4.02761
12,553.7	8.89982	12,553.7	4.05598
12,996.1	8.67799	12,996.1	3.9754
13,454.6	8.66454	13,454.6	3.96943
13,928.5	8.64894	13,928.5	3.91753
14,419.9	8.79115	14,419.9	3.90215
14,928.2	9.23504	14,928.2	4.12844
15,454.8	9.63992	15,454.8	4.34856
15,999.8	9.87598	15,999.8	4.4855
16,564.5	10.1339	16,564.5	4.62553
17,148.2	10.4036	17,148.2	4.77818
17,753.2	10.7042	17,753.2	4.9253
18,379.4	10.8885	18,379.4	5.04333
19,027.6	10.9217	19,027.6	5.1109
19,698.5	11.0595	19,698.5	5.12505
19,999.5	11.0389	19,999.5	5.08798
