"Directivity Index"
"Sound Power DI"		"Early Reflections DI"
"Frequency [Hz]"	"[dB] Directivity Index "	"Frequency [Hz]"	"[dB] Directivity Index "
4438.48	6.55178	4438.48	3.95371
4594.48	6.61208	4594.48	4.0373
4757.08	6.50903	4757.08	3.81597
4924.8	6.4568	4924.8	3.5745
5098.39	6.49722	5098.39	3.52686
5277.83	6.60929	5277.83	3.48835
5463.87	7.02515	5463.87	3.71445
5656.49	7.17914	5656.49	3.75903
5856.45	7.30243	5856.45	3.78763
6062.99	7.65979	6062.99	3.95819
6276.86	7.94726	6276.86	4.15204
6498.05	8.19184	6498.05	4.26918
6727.29	8.2844	6727.29	4.22591
6964.6	8.05016	6964.6	4.11965
7209.96	7.68123	7209.96	4.00971
7464.11	8.04834	7464.11	4.05946
7727.78	7.84895	7727.78	3.84734
8000.24	7.53231	8000.24	3.80147
8282.23	7.91818	8282.23	3.8275
8574.46	8.91179	8574.46	4.20796
8876.22	9.13074	8876.22	4.39848
9189.7	8.98493	9189.7	4.48013
9513.43	8.79319	9513.43	4.55129
9848.88	8.37281	9848.88	4.58379
10196.8	8.15009	10196.8	4.43264
10556.4	8.15317	10556.4	4.31808
10928.5	8.28073	10928.5	4.34557
11313.7	8.66761	11313.7	4.51403
11712.9	8.89612	11712.9	4.78157
12126	8.69563	12126	5.25301
12553.7	8.48401	12553.7	4.83335
12996.1	7.96018	12996.1	4.12459
13454.6	6.88039	13454.6	3.11648
13928.5	5.50514	13928.5	1.95062
14419.9	5.47229	14419.9	1.77857
14928.2	6.98388	14928.2	2.98633
15454.8	8.17188	15454.8	3.90778
15999.8	8.77108	15999.8	4.34661
16564.5	9.13042	16564.5	4.57612
17148.2	9.52831	17148.2	4.62677
17753.2	9.96552	17753.2	4.56523
18379.4	10.4654	18379.4	4.87214
19027.6	10.8279	19027.6	5.18863
19698.5	10.9401	19698.5	5.06144
19999.5	11.0352	19999.5	5.00178
