"Directivity Index"			
"Sound Power DI"		"Early Reflections DI"	
"Frequency [Hz]"	"[dB] Directivity Index "	"Frequency [Hz]"	"[dB] Directivity Index "
3,999.76	6.0428	3,999.76	1.95195
4,141.11	5.80505	4,141.11	1.76298
4,286.87	6.0425	4,286.87	1.97682
4,438.48	5.93403	4,438.48	1.78492
4,594.48	5.88659	4,594.48	1.73807
4,757.08	5.76798	4,757.08	1.62241
4,924.8	6.02008	4,924.8	1.77256
5,098.39	5.82671	5,098.39	1.62978
5,277.83	5.61054	5,277.83	1.51791
5,463.87	5.75482	5,463.87	1.67038
5,656.49	5.34642	5,656.49	1.36662
5,856.45	5.76702	5,856.45	1.66313
6,062.99	6.04872	6,062.99	1.85499
6,276.86	6.02575	6,276.86	1.80929
6,498.05	6.02648	6,498.05	1.79709
6,727.29	6.33535	6,727.29	2.03943
6,964.6	6.27747	6,964.6	2.03283
7,209.96	6.21489	7,209.96	2.03752
7,464.11	6.18745	7,464.11	1.99487
7,727.78	6.46518	7,727.78	2.157
8,000.24	7.13495	8,000.24	2.61112
8,282.23	7.57578	8,282.23	2.9026
8,574.46	7.61743	8,574.46	2.93042
8,876.22	7.11373	8,876.22	2.59507
9,189.7	6.65548	9,189.7	2.26119
9,513.43	6.78793	9,513.43	2.33383
9,848.88	7.18261	9,848.88	2.59707
10,196.8	7.40353	10,196.8	2.73855
10,556.4	7.39866	10,556.4	2.6949
10,928.5	7.29823	10,928.5	2.6027
11,313.7	7.30866	11,313.7	2.6518
11,712.9	7.33003	11,712.9	2.73357
12,126	7.58992	12,126	2.8968
12,553.7	7.67295	12,553.7	2.87311
12,996.1	7.7232	12,996.1	2.87874
13,454.6	7.83299	13,454.6	2.97039
13,928.5	7.9483	13,928.5	3.04615
14,419.9	8.11224	14,419.9	3.11784
14,928.2	8.21566	14,928.2	3.1692
15,454.8	8.26185	15,454.8	3.20495
15,999.8	8.25374	15,999.8	3.19879
16,564.5	8.40251	16,564.5	3.25454
17,148.2	8.56426	17,148.2	3.31961
17,753.2	8.57362	17,753.2	3.31227
18,379.4	8.44476	18,379.4	3.22786
19,027.6	8.67937	19,027.6	3.34104
19,698.5	8.85172	19,698.5	3.40661
19,999.5	8.77342	19,999.5	3.34736
