"Estimated In-Room Response"
"Estimated In-Room Response"
"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"
20.5078	58.0013
21.9727	60.1945
23.4375	62.7058
24.9023	64.6974
26.3672	66.8209
27.832	68.4964
29.2969	69.9354
30.7617	71.391
32.2266	72.7601
33.6914	73.8346
35.1562	74.8063
36.6211	75.6577
38.0859	76.3769
39.5508	77.0122
41.0156	77.5484
42.4805	78.0182
43.9453	78.401
45.4102	78.8133
46.875	79.1522
48.3398	79.3944
51.2695	79.8821
52.7344	80.1398
54.1992	80.3456
55.6641	80.4865
58.5938	80.8594
60.0586	81.0074
62.9883	81.2298
64.4531	81.2461
67.3828	81.3979
68.8477	81.4286
71.7773	81.6274
74.707	81.8199
77.6367	81.8753
79.1016	81.8474
82.0312	81.7786
84.9609	81.7922
87.8906	81.8294
90.8203	81.9067
95.2148	81.6658
98.1445	81.6061
101.074	81.5041
105.469	81.6049
108.398	81.6739
112.793	81.7055
117.188	81.6073
120.117	81.7057
124.512	81.5068
128.906	81.4836
133.301	81.4583
139.16	81.3295
143.555	81.249
147.949	81.1491
153.809	81.0723
159.668	81.1396
165.527	81.3056
171.387	81.2609
177.246	81.1375
183.105	80.8746
188.965	80.789
196.289	80.95
203.613	80.8392
210.938	80.9172
218.262	80.8987
225.586	80.8868
232.91	81.0022
241.699	81.0879
250.488	80.9162
259.277	81.3728
268.066	81.2105
276.855	81.0381
287.109	81.0406
297.363	81.1081
307.617	81.5066
319.336	81.0272
329.59	81.2385
341.309	81.0329
353.027	80.8752
366.211	80.8501
379.395	81.3383
392.578	81.4537
405.762	81.9178
420.41	82.0926
435.059	81.276
451.172	81.6675
465.82	81.7748
483.398	81.3823
499.512	81.1826
517.09	81.3288
536.133	80.6528
555.176	81.2592
574.219	81.2713
594.727	80.7558
615.234	81.3608
637.207	81.6107
659.18	81.5931
682.617	81.6955
707.52	81.6434
732.422	81.2643
757.324	81.1292
785.156	81.7874
811.523	80.7617
840.82	81.3054
870.117	81.6162
900.879	81.739
933.105	81.3619
965.332	82.3837
1,000.49	81.5294
1,035.64	81.099
1,072.27	80.524
1,108.89	80.0657
1,148.44	79.7853
1,189.45	80.0028
1,230.47	80.4143
1,274.41	81.0507
1,319.82	81.1842
1,366.7	81.8377
1,413.57	81.7712
1,463.38	81.426
1,516.11	81.6041
1,568.85	80.8272
1,624.51	80.3537
1,681.64	80.7321
1,741.7	80.8115
1,803.22	80.4692
1,866.21	80.2431
1,932.13	79.1452
1,999.51	78.632
2,069.82	78.3085
2,143.07	78.4469
2,219.24	78.0667
2,296.88	77.4111
2,378.91	77.4868
2,462.4	78.4872
2,548.83	79.5384
2,639.65	79.6189
2,731.93	79.3199
2,828.61	80.6332
2,928.22	81.6815
3,030.76	81.2605
3,137.7	80.8138
3,249.02	81.3424
3,363.28	81.1487
3,481.93	81.0168
3,604.98	80.9416
3,732.42	80.8979
3,864.26	80.8371
4,000.49	80.3275
4,141.11	80.3256
4,287.6	80.0417
4,438.48	80.0143
4,595.21	80.1739
4,756.35	79.9071
4,924.8	79.6956
5,097.66	79.5514
5,277.83	78.8408
5,463.87	79.1151
5,657.23	78.4788
5,856.45	78.2661
6,062.99	78.6386
6,276.86	78.3694
6,498.05	78.1917
6,726.56	78.4028
6,963.87	77.9406
7,209.96	77.9539
7,464.84	77.7589
7,727.05	77.4349
7,999.51	77.8884
8,282.23	77.5194
8,573.73	77.3912
8,876.95	77.2474
9,188.96	77.2538
9,514.16	76.8991
9,849.61	76.8378
10,196.8	76.8637
10,555.7	76.7965
10,927.7	76.7166
11,313	76.628
11,712.9	76.6834
12,126	76.6367
12,553.7	76.5409
12,996.1	76.5957
13,454.6	76.5197
13,929.2	76.5837
14,419.9	76.5212
14,928.2	76.2373
15,455.6	75.7587
16,000.5	75.2235
16,564.5	74.6156
17,148.9	73.9157
17,752.4	73.0562
18,379.4	71.9856
19,026.9	70.7415
19,697.8	69.4567
19,999.5	68.9646
