"Early Reflections"											
"Floor Bounce"		"Ceiling Bounce"		"Front Wall Bounce"		"Side Wall Bounce"		"Rear Wall Bounce (full horizontal rear)"		"Total Early Reflection"	
"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"	"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"	"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"	"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"	"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"	"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"
46.875	78.9013	46.875	78.7296	46.875	78.7479	46.875	78.9796	46.875	79.8058	46.875	79.0518
48.3398	79.1836	48.3398	78.9823	48.3398	79.0225	48.3398	79.2474	48.3398	79.9888	48.3398	79.3008
51.2695	79.7515	51.2695	79.4969	51.2695	79.5781	51.2695	79.785	51.2695	80.3511	51.2695	79.803
52.7344	80.0521	52.7344	79.8096	52.7344	79.8998	52.7344	80.0685	52.7344	80.5122	52.7344	80.0753
54.1992	80.303	54.1992	80.0232	54.1992	80.1421	54.1992	80.2892	54.1992	80.6571	54.1992	80.2882
55.6641	80.4436	55.6641	80.1727	55.6641	80.2816	55.6641	80.4426	55.6641	80.783	55.6641	80.4296
58.5938	80.8496	58.5938	80.5327	58.5938	80.6609	58.5938	80.8285	58.5938	81.1223	58.5938	80.8034
60.0586	81.0267	60.0586	80.6893	60.0586	80.8359	60.0586	80.9947	60.0586	81.2222	60.0586	80.9575
62.9883	81.272	62.9883	80.9036	62.9883	81.076	62.9883	81.2305	62.9883	81.4156	62.9883	81.1831
64.4531	81.2997	64.4531	80.9217	64.4531	81.1021	64.4531	81.2575	64.4531	81.41	64.4531	81.2015
67.3828	81.4713	67.3828	81.089	67.3828	81.2726	67.3828	81.419	67.3828	81.5191	67.3828	81.357
68.8477	81.502	68.8477	81.1089	68.8477	81.293	68.8477	81.447	68.8477	81.5584	68.8477	81.3849
71.7773	81.7784	71.7773	81.342	71.7773	81.5674	71.7773	81.6728	71.7773	81.6319	71.7773	81.6009
74.707	82.0101	74.707	81.5471	74.707	81.7999	74.707	81.8852	74.707	81.7571	74.707	81.8026
77.6367	82.0832	77.6367	81.6269	77.6367	81.8869	77.6367	81.9535	77.6367	81.7617	77.6367	81.8653
79.1016	82.0779	79.1016	81.6009	79.1016	81.8765	79.1016	81.9326	79.1016	81.7011	79.1016	81.8411
82.0312	82.0131	82.0312	81.526	82.0312	81.811	82.0312	81.8683	82.0312	81.6272	82.0312	81.7726
84.9609	82.0149	84.9609	81.5546	84.9609	81.8285	84.9609	81.8737	84.9609	81.641	84.9609	81.7857
87.8906	82.0993	87.8906	81.5875	87.8906	81.8878	87.8906	81.9129	87.8906	81.631	87.8906	81.8279
90.8203	82.3035	90.8203	81.6987	90.8203	82.0973	90.8203	82.0528	90.8203	81.4798	90.8203	81.9365
95.2148	81.9614	95.2148	81.4028	95.2148	81.7303	95.2148	81.7576	95.2148	81.4486	95.2148	81.6651
98.1445	81.9291	98.1445	81.3255	98.1445	81.6927	98.1445	81.6987	98.1445	81.3674	98.1445	81.6086
101.074	81.7999	101.074	81.2183	101.074	81.5815	101.074	81.5974	101.074	81.3052	101.074	81.5056
105.469	82.0251	105.469	81.4519	105.469	81.8411	105.469	81.7322	105.469	81.1357	105.469	81.6483
108.398	82.1649	108.398	81.52	108.398	81.9717	108.398	81.8078	108.398	81.1094	108.398	81.7302
112.793	82.2152	112.793	81.5602	112.793	82.0271	112.793	81.8306	112.793	81.1107	112.793	81.7656
117.188	82.244	117.188	81.4588	117.188	82.0273	117.188	81.7907	117.188	80.8047	117.188	81.6935
120.117	82.3322	120.117	81.6125	120.117	82.1382	120.117	81.9152	120.117	80.8277	120.117	81.796
124.512	82.0229	124.512	81.3378	124.512	81.8335	124.512	81.6726	124.512	80.8687	124.512	81.5658
128.906	81.997	128.906	81.2223	128.906	81.7363	128.906	81.5866	128.906	80.9968	128.906	81.5225
133.301	82.039	133.301	81.2372	133.301	81.8113	133.301	81.5877	133.301	80.8363	133.301	81.5229
139.16	81.966	139.16	81.0965	139.16	81.7275	139.16	81.4617	139.16	80.6309	139.16	81.4018
143.555	81.9076	143.555	81.0016	143.555	81.6643	143.555	81.3738	143.555	80.5337	143.555	81.3231
147.949	81.8646	147.949	80.8671	147.949	81.608	147.949	81.2748	147.949	80.3847	147.949	81.2314
153.809	81.8225	153.809	80.837	153.809	81.5852	153.809	81.2055	153.809	80.2039	153.809	81.1677
159.668	81.9522	159.668	80.8429	159.668	81.6766	159.668	81.2537	159.668	80.2476	159.668	81.2361
165.527	82.059	165.527	81.0218	165.527	81.8146	165.527	81.3989	165.527	80.5018	165.527	81.3944
171.387	82.0376	171.387	81.0244	171.387	81.8182	171.387	81.3298	171.387	80.4246	171.387	81.3644
177.246	82.0262	177.246	80.927	177.246	81.8221	177.246	81.2538	177.246	80.0734	177.246	81.2746
183.105	81.7167	183.105	80.6251	183.105	81.5165	183.105	80.9929	183.105	79.872	183.105	80.9936
188.965	81.7128	188.965	80.5091	188.965	81.4895	188.965	80.8658	188.965	79.7557	188.965	80.9222
196.289	81.9274	196.289	80.7361	196.289	81.7299	196.289	81.0736	196.289	79.7042	196.289	81.104
203.613	81.8711	203.613	80.6855	203.613	81.6902	203.613	80.9118	203.613	79.517	203.613	81.0131
210.938	82.0491	210.938	80.6805	210.938	81.8067	210.938	81.0546	210.938	79.4321	210.938	81.0997
218.262	82.0277	218.262	80.6255	218.262	81.7576	218.262	81.0399	218.262	79.4739	218.262	81.0757
225.586	82.0041	225.586	80.5735	225.586	81.7757	225.586	80.9459	225.586	79.6035	225.586	81.0645
232.91	82.2499	232.91	80.8369	232.91	82.0795	232.91	81.086	232.91	79.3364	232.91	81.2371
241.699	82.4739	241.699	80.9899	241.699	82.2043	241.699	81.2418	241.699	79.0074	241.699	81.3428
250.488	82.3724	250.488	80.525	250.488	81.9996	250.488	81.0713	250.488	78.9971	250.488	81.1485
259.277	82.8701	259.277	81.1791	259.277	82.6761	259.277	81.4715	259.277	78.9785	259.277	81.6399
268.066	82.6467	268.066	80.8984	268.066	82.3313	268.066	81.3065	268.066	79.1966	268.066	81.4375
276.855	82.5236	276.855	80.7253	276.855	82.3101	276.855	81.2199	276.855	78.7738	276.855	81.3035
287.109	82.4431	287.109	80.7557	287.109	82.2522	287.109	81.3254	287.109	78.7915	287.109	81.2962
297.363	82.562	297.363	80.8643	297.363	82.473	297.363	81.3093	297.363	78.7894	297.363	81.3987
307.617	83.0109	307.617	81.4513	307.617	82.9447	307.617	81.8203	307.617	78.6988	307.617	81.8349
319.336	82.545	319.336	80.9673	319.336	82.362	319.336	81.1141	319.336	78.5824	319.336	81.3244
329.59	82.8238	329.59	81.133	329.59	82.7009	329.59	81.5705	329.59	78.2651	329.59	81.5732
341.309	82.4351	341.309	80.8622	341.309	82.303	341.309	81.4359	341.309	78.5321	341.309	81.32
353.027	82.5526	353.027	80.6069	353.027	82.4226	353.027	81.1004	353.027	77.9942	353.027	81.2158
366.211	82.5119	366.211	80.5599	366.211	82.3302	366.211	81.2936	366.211	77.6486	366.211	81.1792
379.395	83.1645	379.395	81.144	379.395	83.0805	379.395	81.63	379.395	77.3975	379.395	81.709
392.578	83.4415	392.578	80.857	392.578	83.1551	392.578	81.3548	392.578	78.2459	392.578	81.7774
405.762	84.4277	405.762	80.8753	405.762	84.1286	405.762	80.8025	405.762	78.3623	405.762	82.2898
420.41	84.3466	420.41	81.875	420.41	84.2956	420.41	81.8109	420.41	77.6759	420.41	82.5779
435.059	83.3169	435.059	80.833	435.059	83.0754	435.059	81.5685	435.059	77.4289	435.059	81.6886
451.172	83.9428	451.172	80.7249	451.172	83.832	451.172	81.6359	451.172	77.6678	451.172	82.1054
465.82	83.8387	465.82	81.0453	465.82	83.9397	465.82	82.2777	465.82	77.0069	465.82	82.233
483.398	83.2815	483.398	80.6795	483.398	83.4524	483.398	81.672	483.398	77.5825	483.398	81.7928
499.512	83.2529	499.512	80.2854	499.512	83.2815	499.512	81.5191	499.512	77.063	499.512	81.6071
517.09	83.3997	517.09	80.2827	517.09	83.4354	517.09	81.9083	517.09	77.1943	517.09	81.7819
536.133	82.3791	536.133	79.3692	536.133	82.9297	536.133	80.9123	536.133	76.9139	536.133	80.9917
555.176	83.0002	555.176	79.9785	555.176	83.8138	555.176	81.9941	555.176	76.3251	555.176	81.7077
574.219	83.1421	574.219	80.3096	574.219	83.4133	574.219	82.3318	574.219	76.3959	574.219	81.7475
594.727	82.4673	594.727	79.0595	594.727	82.5745	594.727	81.9089	594.727	77.8471	594.727	81.1663
615.234	83.4711	615.234	79.7842	615.234	83.7869	615.234	81.5541	615.234	78.0565	615.234	81.8392
637.207	83.912	637.207	80.1557	637.207	84.0499	637.207	81.5126	637.207	78.3384	637.207	82.1153
659.18	84.0234	659.18	79.7142	659.18	84.4912	659.18	80.8776	659.18	77.4275	659.18	82.069
682.617	83.8029	682.617	80.4378	682.617	84.4859	682.617	81.3258	682.617	77.5328	682.617	82.1692
707.52	83.6862	707.52	80.7849	707.52	84.4066	707.52	80.7608	707.52	77.9558	707.52	82.1002
732.422	83.1938	732.422	80.7348	732.422	84.133	732.422	80.3416	732.422	76.8874	732.422	81.7207
757.324	83.2728	757.324	81.0728	757.324	83.7877	757.324	79.7761	757.324	77.0307	757.324	81.6145
785.156	82.0994	785.156	82.5966	785.156	84.7111	785.156	81.9131	785.156	76.368	785.156	82.2456
811.523	82.3559	811.523	79.8785	811.523	83.6224	811.523	80.4103	811.523	76.331	811.523	81.1555
