"Directivity Index"
"Sound Power DI"		"Early Reflections DI"
"Frequency [Hz]"	"[dB] Directivity Index "	"Frequency [Hz]"	"[dB] Directivity Index "
20.5078	-0.349917	20.5078	-0.001789
21.9727	-0.749527	21.9727	-0.36373
23.4375	-0.529779	23.4375	-0.213808
24.9023	-0.665721	24.9023	-0.23844
26.3672	-0.812384	26.3672	-0.301615
27.832	-0.565483	27.832	-0.165451
29.2969	-0.333235	29.2969	-0.117411
30.7617	-0.283836	30.7617	-0.165965
32.2266	-0.23175	32.2266	0.00369851
33.6914	-0.25456	33.6914	-0.0384716
35.1562	-0.372194	35.1562	-0.0905266
36.6211	-0.0783304	36.6211	0.0221128
38.0859	0.0789975	38.0859	0.0772426
39.5508	0.0288408	39.5508	0.0555138
41.0156	-0.187137	41.0156	-0.040411
42.4805	0.0702343	42.4805	0.0636342
43.9453	0.0778571	43.9453	0.0723358
45.4102	0.136931	45.4102	0.0901342
46.875	0.153215	46.875	0.095202
48.3398	0.162176	48.3398	0.0988472
51.2695	0.15479	51.2695	0.095863
52.7344	0.18384	52.7344	0.105959
54.1992	0.187275	54.1992	0.106554
55.6641	0.174437	55.6641	0.101647
58.5938	0.197905	58.5938	0.110442
60.0586	0.21311	60.0586	0.117049
62.9883	0.220719	62.9883	0.119417
64.4531	0.22861	64.4531	0.122202
67.3828	0.26169	67.3828	0.136115
68.8477	0.272707	68.8477	0.140105
71.7773	0.272548	71.7773	0.139749
74.707	0.270256	74.707	0.137717
77.6367	0.254015	77.6367	0.133517
79.1016	0.270879	79.1016	0.140807
82.0312	0.310568	82.0312	0.156743
84.9609	0.34337	84.9609	0.167506
87.8906	0.288911	87.8906	0.149175
90.8203	0.287947	90.8203	0.150182
95.2148	0.307375	95.2148	0.158098
98.1445	0.335335	98.1445	0.16907
101.074	0.342421	101.074	0.174904
105.469	0.39392	105.469	0.197783
108.398	0.422578	108.398	0.201536
112.793	0.382871	112.793	0.195366
117.188	0.430766	117.188	0.220223
120.117	0.444798	120.117	0.227949
124.512	0.527498	124.512	0.254693
128.906	0.55106	128.906	0.261288
133.301	0.483036	133.301	0.24666
139.16	0.470054	139.16	0.244923
143.555	0.555954	143.555	0.298859
147.949	0.718257	147.949	0.364529
153.809	0.648551	153.809	0.324025
159.668	0.663391	159.668	0.331298
165.527	0.541035	165.527	0.299121
171.387	0.792584	171.387	0.391958
177.246	0.548828	177.246	0.323963
183.105	0.885591	183.105	0.48041
188.965	1.05842	188.965	0.500046
196.289	0.856673	196.289	0.434867
203.613	1.19533	203.613	0.584513
210.938	1.17934	210.938	0.525764
218.262	0.902287	218.262	0.464559
225.586	0.938152	225.586	0.5007
232.91	1.14566	232.91	0.613829
241.699	1.30516	241.699	0.668123
250.488	1.65837	250.488	0.760338
259.277	1.49381	259.277	0.709545
268.066	1.32734	268.066	0.773308
276.855	1.49283	276.855	0.78346
287.109	1.84121	287.109	0.801542
297.363	2.17857	297.363	1.07205
307.617	2.04771	307.617	0.889738
319.336	2.20672	319.336	0.965555
329.59	2.11163	329.59	0.81632
341.309	2.14085	341.309	1.00971
353.027	2.39425	353.027	1.00222
366.211	2.41937	366.211	0.974559
379.395	2.42928	379.395	0.939302
392.578	2.40431	392.578	0.941174
405.762	2.45967	405.762	1.02796
420.41	2.53654	420.41	0.981564
435.059	2.50405	435.059	1.04249
451.172	2.9692	451.172	1.06729
465.82	2.92396	465.82	1.13295
483.398	2.74487	483.398	0.90897
499.512	2.86586	499.512	1.08969
517.09	2.61817	517.09	0.960743
536.133	3.09571	536.133	1.27813
555.176	3.15382	555.176	1.0283
574.219	2.97574	574.219	1.0269
594.727	2.81657	594.727	1.03302
615.234	1.04429	615.234	0.292019
637.207	3.25397	637.207	1.29007
659.18	3.89097	659.18	1.37794
682.617	4.02255	682.617	1.52428
707.52	3.71151	707.52	1.25682
732.422	3.35124	732.422	1.23447
757.324	3.37918	757.324	1.27315
785.156	3.95449	785.156	1.55728
811.523	4.40612	811.523	1.85882
840.82	4.72079	840.82	2.00722
870.117	5.07462	870.117	2.25949
900.879	5.09473	900.879	2.08185
933.105	4.72172	933.105	2.10235
965.332	4.59947	965.332	2.03505
1,000.49	5.0975	1,000.49	2.22387
1,035.64	4.85584	1,035.64	2.08823
1,072.27	4.99836	1,072.27	2.07238
1,108.89	4.85038	1,108.89	2.01573
1,148.44	5.11193	1,148.44	2.16191
1,189.45	5.34219	1,189.45	2.22997
1,230.47	5.48959	1,230.47	2.31602
1,274.41	5.65767	1,274.41	2.49727
1,319.82	5.43063	1,319.82	2.23642
1,366.7	5.71853	1,366.7	2.42419
1,413.57	6.06131	1,413.57	2.60124
1,463.38	6.26325	1,463.38	2.6561
1,516.11	5.77941	1,516.11	2.55494
1,568.85	5.60403	1,568.85	2.4941
1,624.51	6.23994	1,624.51	2.69704
1,681.64	6.47263	1,681.64	2.82442
1,741.7	6.76065	1,741.7	3.00417
1,803.22	6.37783	1,803.22	3.01054
1,866.21	6.41479	1,866.21	3.16294
1,932.13	6.24228	1,932.13	2.98088
1,999.51	6.30823	1,999.51	2.86617
2,069.82	6.52043	2,069.82	3.07152
2,143.07	6.408	2,143.07	3.18983
