"CEA2034"
"On Axis"		"Listening Window"		"Early Reflections"		"Sound Power"		"Sound Power DI"		"Early Reflections DI"		"DI offset"
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
20.5078	50.2857	20.5078	50.2781	20.5078	50.2798	20.5078	50.628	20.5078	49.6295	20.5078	49.9776	20.5078	49.9794
21.9727	52.1875	21.9727	52.2889	21.9727	52.6527	21.9727	53.0385	21.9727	49.2299	21.9727	49.6157	21.9727	49.9794
23.4375	53.1987	23.4375	53.2434	23.4375	53.4572	23.4375	53.7731	23.4375	49.4496	23.4375	49.7656	23.4375	49.9794
24.9023	56.4222	24.9023	56.4638	24.9023	56.7022	24.9023	57.1295	24.9023	49.3137	24.9023	49.741	24.9023	49.9794
26.3672	59.3132	26.3672	59.3604	26.3672	59.662	26.3672	60.1728	26.3672	49.167	26.3672	49.6778	26.3672	49.9794
27.832	60.8027	27.832	60.8292	27.832	60.9946	27.832	61.3946	27.832	49.4139	27.832	49.8139	27.832	49.9794
29.2969	65.2354	29.2969	65.2599	29.2969	65.3773	29.2969	65.5931	29.2969	49.6462	29.2969	49.862	29.2969	49.9794
30.7617	62.5831	30.7617	62.6229	30.7617	62.7889	30.7617	62.9067	30.7617	49.6956	30.7617	49.8134	30.7617	49.9794
32.2266	68.835	32.2266	68.8332	32.2266	68.8295	32.2266	69.0649	32.2266	49.7477	32.2266	49.9831	32.2266	49.9794
33.6914	70.6663	33.6914	70.6756	33.6914	70.7141	33.6914	70.9302	33.6914	49.7248	33.6914	49.9409	33.6914	49.9794
35.1562	72.4845	35.1562	72.4977	35.1562	72.5883	35.1562	72.8699	35.1562	49.6072	35.1562	49.8889	35.1562	49.9794
36.6211	74.8976	36.6211	74.8972	36.6211	74.8751	36.6211	74.9756	36.6211	49.9011	36.6211	50.0015	36.6211	49.9794
