"Vertical Reflections"					
"Floor Reflection"		"Ceiling Reflection"		"Total Vertical Reflection"	
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
20.5078	62.7435	20.5078	60.1999	20.5078	61.6553
21.9727	65.6366	21.9727	62.0017	21.9727	64.1888
23.4375	68.9111	23.4375	66.2887	23.4375	67.7949
24.9023	69.9257	24.9023	66.1791	24.9023	68.4445
26.3672	73.5624	26.3672	70.565	26.3672	72.3173
27.832	75.2542	27.832	72.5877	27.832	74.1225
29.2969	77.6041	29.2969	75.1801	29.2969	76.5591
30.7617	79.432	30.7617	77.043	30.7617	78.3997
32.2266	81.5231	32.2266	79.05	32.2266	80.4603
33.6914	83.5012	33.6914	81.2962	33.6914	82.5371
35.1562	85.337	35.1562	83.1431	35.1562	84.3771
36.6211	86.8476	36.6211	84.7388	36.6211	85.9199
38.0859	88.2834	38.0859	86.227	38.0859	87.3758
39.5508	89.5109	39.5508	87.5476	39.5508	88.6393
41.0156	90.3936	41.0156	88.4812	41.0156	89.5418
42.4805	91.2382	42.4805	89.3192	42.4805	90.3839
43.9453	91.8965	43.9453	90.0086	43.9453	91.0543
45.4102	92.4826	45.4102	90.6555	45.4102	91.6645
46.875	92.8579	46.875	91.0412	46.875	92.0438
48.3398	93.2431	48.3398	91.4743	48.3398	92.4481
51.2695	93.7274	51.2695	91.9933	51.2695	92.9463
52.7344	93.9149	52.7344	92.2046	52.7344	93.1434
54.1992	94.1426	54.1992	92.496	54.1992	93.3969
55.6641	94.2033	55.6641	92.5807	55.6641	93.4673
58.5938	94.4002	58.5938	92.7499	58.5938	93.653
60.0586	94.5226	60.0586	92.8941	60.0586	93.7842
62.9883	94.6408	62.9883	93.0536	62.9883	93.9193
64.4531	94.6728	64.4531	93.0848	64.4531	93.9509
67.3828	94.6513	67.3828	93.0456	67.3828	93.9222
68.8477	94.7093	68.8477	93.1135	68.8477	93.9843
71.7773	94.8343	71.7773	93.2498	71.7773	94.114
74.707	94.9231	74.707	93.3926	74.707	94.2249
77.6367	94.9534	77.6367	93.4128	77.6367	94.251
79.1016	94.9859	79.1016	93.4314	79.1016	94.2779
82.0312	94.9954	82.0312	93.4325	82.0312	94.2839
84.9609	94.9993	84.9609	93.4437	84.9609	94.2908
87.8906	94.953	87.8906	93.5256	87.8906	94.2977
90.8203	94.8951	90.8203	93.4081	90.8203	94.215
95.2148	95.0446	95.2148	93.5148	95.2148	94.3467
98.1445	95.0166	98.1445	93.5382	98.1445	94.34
101.074	94.8988	101.074	93.3608	101.074	94.1975
105.469	95.0662	105.469	93.4836	105.469	94.3466
108.398	95.2748	108.398	93.787	108.398	94.5943
112.793	95.2683	112.793	93.7182	112.793	94.5621
117.188	95.1055	117.188	93.4702	117.188	94.3644
120.117	95.2024	120.117	93.5471	120.117	94.4531
124.512	95.1392	124.512	93.562	124.512	94.4218
128.906	94.8821	128.906	93.2552	128.906	94.1444
133.301	94.925	133.301	93.1553	133.301	94.1296
139.16	95.048	139.16	93.1947	139.16	94.2195
143.555	94.9575	143.555	93.1543	143.555	94.1488
147.949	94.7085	147.949	92.8383	147.949	93.8733
153.809	94.6464	153.809	92.7536	153.809	93.8023
159.668	94.8822	159.668	92.8112	159.668	93.969
165.527	94.8492	165.527	93.0885	165.527	94.0575
171.387	94.7908	171.387	92.9144	171.387	93.9532
177.246	94.6525	177.246	92.8756	177.246	93.8543
183.105	94.3058	183.105	92.5539	183.105	93.5176
188.965	94.373	188.965	92.3132	188.965	93.4641
196.289	94.4919	196.289	92.5186	196.289	93.6164
203.613	94.3743	203.613	92.288	203.613	93.4553
210.938	93.8919	210.938	91.8235	210.938	92.9797
218.262	93.8553	218.262	91.5884	218.262	92.8681
225.586	94.5186	225.586	91.992	225.586	93.4365
232.91	94.412	232.91	91.8183	232.91	93.306
241.699	94.2449	241.699	91.476	241.699	93.0775
250.488	94.8142	250.488	91.5678	250.488	93.4875
259.277	94.7964	259.277	92.0372	259.277	93.6324
268.066	94.2721	268.066	91.528	268.066	93.1133
276.855	94.1651	276.855	91.733	276.855	93.1171
287.109	93.6657	287.109	91.7201	287.109	92.8009
297.363	94.1024	297.363	92.106	297.363	93.2179
307.617	93.9395	307.617	91.7085	307.617	92.9657
319.336	94.2093	319.336	91.5897	319.336	93.0941
329.59	93.7447	329.59	91.7604	329.59	92.8649
341.309	93.7199	341.309	91.7797	341.309	92.8572
353.027	93.8397	353.027	91.4423	353.027	92.8044
366.211	94.3477	366.211	91.3869	366.211	93.1149
379.395	94.4829	379.395	92.2646	379.395	93.5138
392.578	93.3384	392.578	91.6593	392.578	92.5795
405.762	93.3837	405.762	90.4967	405.762	92.1758
420.41	93.2683	420.41	90.4624	420.41	92.0881
435.059	93.056	435.059	90.4985	435.059	91.9628
451.172	93.7622	451.172	88.6498	451.172	91.9184
465.82	93.6633	465.82	87.8482	465.82	91.6639
483.398	93.6699	483.398	87.1881	483.398	91.5403
499.512	94.0038	499.512	87.3906	499.512	91.8504
517.09	93.6134	517.09	88.6012	517.09	91.7934
536.133	93.7827	536.133	88.709	536.133	91.9481
555.176	93.285	555.176	88.799	555.176	91.5972
574.219	93.8207	574.219	88.6985	574.219	91.9746
594.727	92.7398	594.727	88.8706	594.727	91.2225
615.234	88.276	615.234	90.7102	615.234	89.6615
637.207	92.3749	637.207	92.5003	637.207	92.4381
659.18	92.7655	659.18	92.0286	659.18	92.4127
682.617	92.5094	682.617	91.9716	682.617	92.2488
707.52	93.9622	707.52	90.7797	707.52	92.6562
732.422	92.1045	732.422	89.7447	732.422	91.0829
757.324	90.2069	757.324	90.7723	757.324	90.4988
785.156	92.4779	785.156	90.9825	785.156	91.7942
811.523	92.5151	811.523	91.7413	811.523	92.1454
840.82	93.2782	840.82	93.3184	840.82	93.2983
870.117	93.996	870.117	92.5257	870.117	93.3228
900.879	95.3521	900.879	93.1593	900.879	94.3926
933.105	94.9066	933.105	92.8577	933.105	94.0019
965.332	95.1628	965.332	92.5989	965.332	94.0674
1,000.49	94.7983	1,000.49	92.2819	1,000.49	93.7198
1,035.64	95.1033	1,035.64	91.9406	1,035.64	93.8037
1,072.27	95.2828	1,072.27	90.9021	1,072.27	93.6229
1,108.89	94.2845	1,108.89	90.3581	1,108.89	92.7507
1,148.44	93.8698	1,148.44	90.5718	1,148.44	92.5266
1,189.45	93.3592	1,189.45	89.5821	1,189.45	91.8689
1,230.47	93.3634	1,230.47	88.7359	1,230.47	91.6389
1,274.41	93.2607	1,274.41	88.7698	1,274.41	91.5715
1,319.82	92.7814	1,319.82	88.1259	1,319.82	91.0497
1,366.7	92.2446	1,366.7	87.7934	1,366.7	90.5659
1,413.57	91.0294	1,413.57	86.666	1,413.57	89.3741
1,463.38	90.2992	1,463.38	87.1622	1,463.38	89.008
1,516.11	88.3451	1,516.11	84.6229	1,516.11	86.8711
1,568.85	87.6735	1,568.85	84.4595	1,568.85	86.3573
1,624.51	87.288	1,624.51	85.313	1,624.51	86.4118
1,681.64	86.6632	1,681.64	84.6235	1,681.64	85.762
