* Measurement data measured by REW V5.20 Beta 53
* Source: C:\Users\Napie\Music\REW\Top Speakers\New Folder\7-SP.txt
* Format: Comma/Tab/Space delimited data
* Dated: May 26, 2020 3:07:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\Napie\Music\REW\Top Speakers\New Folder\7-SP.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: 7-SP
* Smoothing: None
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	57.600868	175.1274
20.144928	57.761494	174.5007
20.290907	57.876930	173.9105
20.437943	57.834667	173.5957
20.586044	57.791004	173.4690
20.735220	57.905125	173.5937
20.885475	58.056820	173.7549
21.036821	58.167683	173.7150
21.189262	58.270870	173.6052
21.342808	58.389744	173.4101
21.497467	58.475929	173.3329
21.653246	58.438366	173.6198
21.810154	58.427956	174.1272
21.968201	58.596611	174.9327
22.127390	58.851688	175.6174
22.287735	59.183010	175.6812
22.449242	59.493778	175.4432
22.611917	59.644009	175.0031
22.775772	59.752865	174.5245
22.940815	59.902603	174.2726
23.107054	60.064774	174.0443
23.274498	60.246433	173.7052
23.443153	60.422775	173.3135
23.613033	60.559978	172.8889
23.784142	60.691883	172.4144
23.956491	60.859032	171.8608
24.130091	61.007851	171.2856
24.304947	61.078426	170.7186
24.481071	61.129936	170.2146
24.658470	61.206947	169.8834
24.837156	61.293873	169.5904
25.017136	61.405933	169.1828
25.198421	61.494930	168.8233
25.381020	61.486458	168.6224
25.564941	61.473999	168.5859
25.750195	61.537907	168.8312
25.936790	61.643845	169.1346
26.124741	61.794338	169.3004
26.314051	61.958759	169.3610
26.504732	62.105556	169.2505
26.696796	62.239849	169.0703
26.890253	62.347443	168.9178
27.085112	62.454876	168.7402
27.281382	62.596195	168.5273
27.479073	62.734821	168.2474
27.678198	62.848866	167.8056
27.878765	62.927921	167.3815
28.080786	62.930450	167.1487
28.284271	62.927990	167.0331
28.489231	63.003826	167.0233
28.695675	63.081905	167.1028
28.903616	63.089367	167.2505
29.113064	63.098965	167.4697
29.324028	63.185944	167.7394
29.536524	63.270920	168.1115
29.750557	63.264637	168.6343
29.966141	63.270966	169.2972
30.183289	63.382206	170.1855
30.402010	63.544769	171.0600
30.622314	63.750805	171.6539
30.844217	63.954765	172.1324
31.067726	64.087517	172.5533
31.292856	64.211807	172.9753
31.519617	64.374695	173.5122
31.748020	64.554779	174.0573
31.978081	64.749695	174.5256
32.209808	64.948738	174.9644
32.443211	65.134613	175.3868
32.678310	65.324738	175.8114
32.915108	65.526543	176.3050
33.153625	65.752693	176.7365
33.393871	66.046524	176.9259
33.635857	66.323608	177.0857
33.879597	66.453819	177.4448
34.125103	66.616707	177.7766
34.372387	67.023689	177.9567
34.621464	67.451401	177.9053
34.872345	67.709442	177.3688
35.125042	67.907784	176.7447
35.379574	68.081917	176.4279
35.635948	68.266762	176.1773
35.894180	68.535248	175.8751
36.154285	68.808609	175.5425
36.416275	69.000023	175.2027
36.680161	69.205643	174.7339
36.945961	69.551094	173.9648
37.213688	69.862617	173.0664
37.483353	69.948242	172.0936
37.754974	69.985939	171.2252
38.028561	70.112617	170.7499
38.304131	70.261795	170.3945
38.581699	70.417091	169.9395
38.861279	70.563797	169.5076
39.142883	70.669296	169.1468
39.426529	70.770851	168.8643
39.712231	70.900688	168.7037
40.000000	71.041779	168.6041
40.289856	71.190529	168.4903
40.581814	71.338799	168.4480
40.875885	71.456566	168.5885
41.172089	71.605728	168.7617
41.470440	71.870987	168.8518
41.770950	72.154541	168.8660
42.073643	72.357193	168.7649
42.378525	72.566681	168.5743
42.685616	72.860893	168.3436
42.994934	73.171562	167.9637
43.306492	73.454094	167.3010
43.620308	73.714622	166.4763
43.936401	73.947037	165.5276
44.254780	74.143723	164.5715
44.575470	74.277740	163.7465
44.898483	74.400803	163.0251
45.223835	74.566360	162.4484
45.551544	74.742737	161.9477
45.881630	74.910187	161.4553
46.214108	75.085724	161.0076
46.548996	75.269005	160.6881
46.886307	75.492607	160.2897
47.226067	75.821632	159.6290
47.568283	76.158447	158.7178
47.912983	76.412857	157.4505
48.260181	76.626671	155.9966
48.609894	76.819221	154.4696
48.962143	76.968811	152.9333
49.316940	77.049339	151.4601
49.674313	77.092957	150.1370
50.034271	77.113472	149.1133
50.396843	77.139938	148.2751
50.762039	77.212799	147.6078
51.129883	77.311813	146.9612
51.500389	77.450508	146.1191
51.873581	77.567833	145.2635
52.249481	77.573265	144.5077
52.628101	77.567993	143.8430
53.009464	77.653839	143.3150
53.393593	77.739876	142.8737
53.780506	77.757439	142.3930
54.170223	77.740051	142.1461
54.562763	77.674911	142.3738
54.958145	77.633026	143.0496
55.356396	77.664108	144.3511
55.757530	77.819618	145.9044
56.161572	78.166588	147.6423
56.568542	78.707924	148.8188
56.978462	79.573349	148.6017
57.391350	80.449501	147.1778
