"Vertical Reflections"
"Floor Reflection"		"Ceiling Reflection"		"Total Vertical Reflection"
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
20.5078	55.5289	20.5078	53.8757	20.5078	54.7805
21.9727	55.6533	21.9727	53.2787	21.9727	54.6263
23.4375	56.5	23.4375	53.9522	23.4375	55.4103
24.9023	58.0012	24.9023	55.7328	24.9023	57.0135
26.3672	58.2476	26.3672	55.2978	26.3672	57.0184
27.832	61.2458	27.832	58.7034	27.832	60.158
29.2969	63.0722	29.2969	60.7739	29.2969	62.0733
30.7617	64.4513	30.7617	62.277	30.7617	63.4988
32.2266	66.6731	32.2266	64.4674	32.2266	65.7088
33.6914	68.5367	33.6914	66.5037	33.6914	67.6381
35.1562	70.2913	35.1562	68.3926	35.1562	69.4449
36.6211	72.1655	36.6211	70.3266	36.6211	71.3426
38.0859	73.9884	38.0859	72.1826	38.0859	73.1787
39.5508	75.5419	39.5508	73.8186	39.5508	74.7652
41.0156	76.9371	41.0156	75.3736	41.0156	76.2253
42.4805	77.6667	42.4805	76.0718	42.4805	76.9421
43.9453	78.4915	43.9453	76.95	43.9453	77.7888
45.4102	78.9176	45.4102	77.3867	45.4102	78.2192
46.875	79.2687	46.875	77.7546	46.875	78.5773
48.3398	79.5703	48.3398	78.0871	48.3398	78.8917
51.2695	79.9692	51.2695	78.5315	51.2695	79.3096
52.7344	80.1613	52.7344	78.7622	52.7344	79.5178
54.1992	80.3569	54.1992	79.0028	54.1992	79.7324
55.6641	80.5725	55.6641	79.2513	55.6641	79.962
58.5938	80.9973	58.5938	79.6934	58.5938	80.3941
60.0586	81.254	60.0586	79.9701	60.0586	80.6593
62.9883	81.8439	62.9883	80.5959	62.9883	81.2645
64.4531	82.058	64.4531	80.8107	64.4531	81.479
67.3828	82.4334	67.3828	81.2148	67.3828	81.8667
68.8477	82.5211	68.8477	81.3421	68.8477	81.9715
71.7773	82.7772	71.7773	81.6322	71.7773	82.2423
74.707	82.9318	74.707	81.8577	74.707	82.4279
77.6367	83.0117	77.6367	81.9591	77.6367	82.5172
79.1016	83.0788	79.1016	82.0394	79.1016	82.5901
82.0312	83.3449	82.0312	82.3157	82.0312	82.8607
84.9609	83.4617	84.9609	82.4456	84.9609	82.9833
87.8906	83.363	87.8906	82.504	87.8906	82.9547
90.8203	83.6196	90.8203	82.7745	90.8203	83.2176
95.2148	83.9131	95.2148	83.0694	95.2148	83.5117
98.1445	84.0673	98.1445	83.2809	98.1445	83.6919
101.074	84.0298	101.074	83.333	101.074	83.6954
105.469	84.0511	105.469	83.2404	105.469	83.6646
108.398	84.0696	108.398	83.2316	108.398	83.6707
112.793	83.9521	112.793	83.047	112.793	83.5231
117.188	83.7925	117.188	82.9265	117.188	83.381
120.117	83.7301	120.117	82.7932	120.117	83.2869
124.512	83.7279	124.512	82.8938	124.512	83.3308
128.906	83.3921	128.906	82.6367	128.906	83.0308
133.301	83.1168	133.301	82.3478	133.301	82.7493
139.16	82.7703	139.16	81.9799	139.16	82.393
143.555	82.8355	143.555	81.9444	143.555	82.4128
147.949	82.8891	147.949	82.0716	147.949	82.4995
153.809	82.5915	153.809	81.9564	153.809	82.2856
159.668	82.454	159.668	81.9033	159.668	82.1873
165.527	82.3058	165.527	81.6377	165.527	81.9846
171.387	82.4531	171.387	81.8693	171.387	82.171
177.246	82.2616	177.246	81.6611	177.246	81.9717
183.105	82.2495	183.105	81.8103	183.105	82.0354
188.965	82.2936	188.965	82.1145	188.965	82.205
196.289	82.3758	196.289	82.5716	196.289	82.4748
203.613	82.5692	203.613	82.7037	203.613	82.6369
210.938	82.7206	210.938	82.7713	210.938	82.7461
218.262	82.5664	218.262	82.9983	218.262	82.7878
225.586	82.6614	225.586	83.2398	225.586	82.9603
232.91	82.5991	232.91	83.2097	232.91	82.9151
241.699	82.6554	241.699	82.9357	241.699	82.7978
250.488	82.7379	250.488	83.017	250.488	82.8797
259.277	82.9673	259.277	83.2838	259.277	83.1285
268.066	82.5816	268.066	82.9964	268.066	82.794
276.855	82.6788	276.855	82.8411	276.855	82.7607
287.109	81.9444	287.109	82.5468	287.109	82.256
297.363	82.0203	297.363	83.4445	297.363	82.7905
307.617	82.2592	307.617	82.8942	307.617	82.5883
319.336	82.6048	319.336	82.6167	319.336	82.6107
329.59	82.3628	329.59	82.2827	329.59	82.3229
341.309	82.4704	341.309	82.5924	341.309	82.5318
353.027	82.2938	353.027	82.3374	353.027	82.3157
366.211	82.1593	366.211	82.9332	366.211	82.5634
379.395	82.618	379.395	82.876	379.395	82.7489
392.578	82.5486	392.578	81.9135	392.578	82.2426
405.762	82.9601	405.762	82.2818	405.762	82.6342
420.41	82.6868	420.41	82.3716	420.41	82.5321
435.059	82.5189	435.059	82.2353	435.059	82.3795
451.172	83.0865	451.172	81.658	451.172	82.4307
465.82	83.2315	465.82	81.6772	465.82	82.5235
483.398	82.7303	483.398	81.5452	483.398	82.178
499.512	82.966	499.512	81.7288	499.512	82.3913
517.09	83.4161	517.09	81.5034	517.09	82.5642
536.133	83.5256	536.133	81.1825	536.133	82.5102
555.176	83.1404	555.176	81.9183	555.176	82.5722
574.219	83.8607	574.219	81.9423	574.219	83.0066
594.727	83.5388	594.727	82.4798	594.727	83.0415
615.234	83.5715	615.234	82.2549	615.234	82.9629
637.207	83.5474	637.207	80.7391	637.207	82.3664
659.18	84.0832	659.18	81.4246	659.18	82.9543
682.617	83.8967	682.617	81.4096	682.617	82.8288
707.52	84.0971	707.52	81.2066	707.52	82.888
732.422	84.7262	732.422	81.4203	732.422	83.3805
757.324	84.2691	757.324	79.7383	757.324	82.5696
785.156	84.9279	785.156	79.7902	785.156	83.0782
811.523	84.758	811.523	79.6776	811.523	82.9218
840.82	84.6786	840.82	80.0992	840.82	82.9665
870.117	85.2394	870.117	80.7539	870.117	83.5517
900.879	85.2688	900.879	81.4533	900.879	83.7672
933.105	85.4566	933.105	81.2337	933.105	83.8394
965.332	85.4362	965.332	81.2354	965.332	83.8251
1,000.49	86.1262	1,000.49	81.6699	1,000.49	84.4462
1,035.64	86.4413	1,035.64	82.1963	1,035.64	84.818
1,072.27	86.1712	1,072.27	82.5714	1,072.27	84.7341
1,108.89	86.4587	1,108.89	83.0968	1,108.89	85.0952
1,148.44	86.1096	1,148.44	82.885	1,148.44	84.7899
1,189.45	86.0343	1,189.45	80.7338	1,189.45	84.147
1,230.47	85.519	1,230.47	81.1503	1,230.47	83.8623
1,274.41	84.74	1,274.41	80.9334	1,274.41	83.2411
1,319.82	84.7709	1,319.82	80.7613	1,319.82	83.2132
1,366.7	84.0918	1,366.7	81.267	1,366.7	82.9051
1,413.57	84.185	1,413.57	81.3433	1,413.57	82.9925
1,463.38	83.5447	1,463.38	80.6617	1,463.38	82.3382
1,516.11	82.8228	1,516.11	79.4799	1,516.11	81.4653
1,568.85	81.4549	1,568.85	80.0752	1,568.85	80.8196
1,624.51	81.0099	1,624.51	78.7755	1,624.51	80.0349
1,681.64	80.8585	1,681.64	79.2582	1,681.64	80.1317
1,741.7	81.2246	1,741.7	77.3762	1,741.7	79.7134
1,803.22	81.8447	1,803.22	77.0615	1,803.22	80.0808
1,866.21	81.1252	1,866.21	76.4753	1,866.21	79.395
1,932.13	82.2678	1,932.13	78.2493	1,932.13	80.7077
