"Estimated In-Room Response"	
"Estimated In-Room Response"	
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
20.5078	54.9588
21.9727	54.7227
23.4375	55.567
24.9023	57.0601
26.3672	56.9552
27.832	60.0521
29.2969	62.0427
30.7617	63.4683
32.2266	65.6629
33.6914	67.568
35.1562	69.4379
36.6211	71.3056
38.0859	73.1356
39.5508	74.734
41.0156	76.1972
42.4805	76.8976
43.9453	77.7443
45.4102	78.1681
46.875	78.5093
48.3398	78.8168
51.2695	79.2389
52.7344	79.451
54.1992	79.6607
55.6641	79.8834
58.5938	80.3198
60.0586	80.583
62.9883	81.1693
64.4531	81.3756
67.3828	81.7592
68.8477	81.8712
71.7773	82.1453
74.707	82.3362
77.6367	82.4255
79.1016	82.4934
82.0312	82.7492
84.9609	82.8718
87.8906	82.8578
90.8203	83.1358
95.2148	83.3982
98.1445	83.5417
101.074	83.5561
105.469	83.574
108.398	83.5547
112.793	83.4204
117.188	83.2384
120.117	83.1227
124.512	83.1259
128.906	82.8011
133.301	82.5783
139.16	82.2547
143.555	82.2015
147.949	82.2323
153.809	81.9992
159.668	81.9532
165.527	81.8261
171.387	81.8981
177.246	81.7914
183.105	81.83
188.965	81.9146
196.289	82.1302
203.613	82.2472
210.938	82.3477
218.262	82.4304
225.586	82.5616
232.91	82.4911
241.699	82.3464
250.488	82.3567
259.277	82.5063
268.066	82.2035
276.855	82.1244
287.109	81.8315
297.363	82.0753
307.617	82.027
319.336	81.9993
329.59	81.818
341.309	81.866
353.027	81.73
366.211	81.9314
379.395	82.0846
392.578	81.7896
405.762	81.9351
420.41	82.0195
435.059	81.9765
451.172	82.0092
465.82	82.0039
483.398	81.8332
499.512	82.1051
517.09	82.2766
536.133	82.1478
555.176	82.2832
574.219	82.545
594.727	82.3201
615.234	82.1476
637.207	81.7943
659.18	81.8828
682.617	81.7123
707.52	81.8053
732.422	81.8056
757.324	81.5879
785.156	81.7412
811.523	81.9146
840.82	81.962
870.117	82.135
900.879	82.0384
933.105	82.2577
965.332	81.8517
1,000.49	82.0487
1,035.64	82.0766
1,072.27	81.473
1,108.89	81.791
1,148.44	81.4452
1,189.45	81.6787
1,230.47	81.8237
1,274.41	81.585
1,319.82	81.3894
1,366.7	80.9639
1,413.57	80.272
1,463.38	79.1533
1,516.11	78.2534
1,568.85	77.9551
1,624.51	77.7171
1,681.64	78.3047
1,741.7	79.1978
1,803.22	78.9152
1,866.21	78.7305
1,932.13	78.6623
1,999.51	78.8028
2,069.82	78.7551
2,143.07	78.649
2,219.24	78.0512
2,296.88	77.5298
2,378.91	78.4035
2,462.4	79.1011
2,548.83	78.8887
2,639.65	78.1043
2,731.93	77.4958
2,828.61	77.7259
2,928.22	78.1319
3,030.76	78.1158
3,137.7	77.8995
3,249.02	77.8241
3,363.28	77.9155
3,481.93	78.2266
3,604.98	78.8725
3,732.42	79.2424
3,864.26	78.7792
4,000.49	78.9475
4,141.11	79.2605
4,287.6	79.3529
4,438.48	79.5104
4,595.21	78.8051
4,756.35	79.317
4,924.8	79.4923
5,097.66	79.0133
5,277.83	79.0835
5,463.87	79.2159
5,657.23	79.1109
5,856.45	79.0012
6,062.99	79.3247
6,276.86	78.8805
6,498.05	78.8414
6,726.56	78.7888
6,963.87	79.048
7,209.96	79.6793
7,464.84	79.4421
7,727.05	79.7106
7,999.51	79.2888
8,282.23	79.1137
8,573.73	78.9336
8,876.95	78.5572
9,188.96	78.4369
9,514.16	78.5647
9,849.61	78.6052
10,196.8	78.6043
10,555.7	78.2526
10,927.7	78.1029
11,313	78.0224
11,712.9	77.7831
12,126	77.6194
12,553.7	77.3122
12,996.1	76.934
13,454.6	76.2353
13,929.2	75.505
14,419.9	75.279
14,928.2	75.4706
15,455.6	75.7484
16,000.5	75.9631
16,564.5	75.9154
17,148.9	75.3944
17,752.4	74.3451
18,379.4	72.991
19,026.9	71.6317
19,697.8	70.3401
19,999.5	69.8431
