"Estimated In-Room Response"
"Estimated In-Room Response"
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
20.5078	54.4906
21.9727	55.3043
23.4375	56.7143
24.9023	58.8545
26.3672	60.1109
27.832	61.9643
29.2969	63.4144
30.7617	65.0697
32.2266	66.6297
33.6914	67.8749
35.1562	69.3294
36.6211	70.6393
38.0859	71.9042
39.5508	73.0211
41.0156	74.1994
42.4805	74.6256
43.9453	75.621
45.4102	76.4809
46.875	77.3085
48.3398	77.9208
51.2695	79.0579
52.7344	79.5182
54.1992	79.9965
55.6641	80.4692
58.5938	81.1556
60.0586	81.4578
62.9883	82.033
64.4531	82.3189
67.3828	82.7525
68.8477	82.9035
71.7773	83.3936
74.707	83.8959
77.6367	84.2265
79.1016	84.3679
82.0312	84.6149
84.9609	84.9146
87.8906	85.1174
90.8203	85.2884
95.2148	85.6433
98.1445	85.8284
101.074	85.7058
105.469	86.0216
108.398	86.2988
112.793	86.5968
117.188	86.62
120.117	86.7865
124.512	86.8856
128.906	86.6711
133.301	86.7531
139.16	86.7153
143.555	86.5868
147.949	86.5113
153.809	86.4606
159.668	86.4532
165.527	86.5577
171.387	86.3707
177.246	86.2853
183.105	85.9017
188.965	85.6347
196.289	85.7321
203.613	85.4788
210.938	85.38
218.262	85.0984
225.586	84.9428
232.91	84.8321
241.699	84.2914
250.488	82.9864
259.277	84.124
268.066	85.0591
276.855	84.7247
287.109	84.5802
297.363	84.3669
307.617	84.4756
319.336	84.0734
329.59	84.084
341.309	83.7906
353.027	83.5106
366.211	83.2685
379.395	83.6951
392.578	83.7749
405.762	84.6711
420.41	84.8808
435.059	84.1036
451.172	84.4202
465.82	84.4494
483.398	84.6176
499.512	84.1398
517.09	84.6918
536.133	83.7104
555.176	84.5298
574.219	84.8265
594.727	84.8326
615.234	84.9316
637.207	85.1326
659.18	84.6245
682.617	84.4965
707.52	84.6983
732.422	84.3619
757.324	84.2772
785.156	85.1621
811.523	83.8207
840.82	84.1049
870.117	85.0022
900.879	83.8816
933.105	84.2616
965.332	84.9949
1,000.49	83.8749
1,035.64	83.7163
1,072.27	84.0879
1,108.89	84.324
1,148.44	83.3067
1,189.45	83.451
1,230.47	83.0529
1,274.41	83.2421
1,319.82	83.5283
1,366.7	84.1707
1,413.57	84.3769
1,463.38	84.397
1,516.11	83.9218
1,568.85	82.8901
1,624.51	82.4974
1,681.64	82.8924
1,741.7	83.7177
1,803.22	83.7012
1,866.21	83.2268
1,932.13	82.8471
1,999.51	82.5592
2,069.82	82.9594
2,143.07	83.2683
2,219.24	82.5015
2,296.88	81.1536
2,378.91	80.6667
2,462.4	81.8162
2,548.83	82.5186
2,639.65	82.3492
2,731.93	81.9566
2,828.61	82.183
2,928.22	83.0023
3,030.76	82.9661
3,137.7	82.5987
3,249.02	81.9015
3,363.28	80.6072
3,481.93	79.6246
3,604.98	79.5227
3,732.42	80.2303
3,864.26	80.2106
4,000.49	79.333
4,141.11	79.6136
4,287.6	79.8123
4,438.48	79.8401
4,595.21	79.4442
4,756.35	79.9059
4,924.8	80.8686
5,097.66	81.0987
5,277.83	81.2584
5,463.87	81.6807
5,657.23	81.2743
5,856.45	80.9842
6,062.99	81.7433
6,276.86	81.6441
6,498.05	81.7747
6,726.56	82.6253
6,963.87	82.3987
7,209.96	82.7936
7,464.84	82.7237
7,727.05	82.2265
7,999.51	82.5785
8,282.23	82.6089
8,573.73	83.2218
8,876.95	82.9261
9,188.96	83.3084
9,514.16	82.7953
9,849.61	82.7963
10,196.8	83.0332
10,555.7	83.0548
10,927.7	83.0237
11,313	83.0593
11,712.9	83.3759
12,126	83.0321
12,553.7	82.4294
12,996.1	81.5859
13,454.6	83.3036
13,929.2	84.918
14,419.9	84.7151
14,928.2	84.1201
15,455.6	83.88
16,000.5	83.6761
16,564.5	83.5754
17,148.9	84.137
17,752.4	84.9997
18,379.4	83.2533
19,026.9	78.1077
19,697.8	78.5419
19,999.5	78.385
