* Freq[Hz]     dBSPL  Phase[Deg]
5.00000     42.679    26.414
5.07273     42.229    25.503
5.14651     41.477    23.448
5.22137     40.598    20.235
5.29732     39.659    16.336
5.37437     38.720    12.175
5.45254     37.827     7.049
5.53185     37.095    -0.232
5.61231     36.546    -9.754
5.69394     36.066   -20.345
5.77676     35.603   -31.109
5.86079     35.477   -41.573
5.94604     36.022   -50.978
6.03252     36.864   -59.349
6.12027     37.714   -67.262
6.20929     38.566   -73.820
6.29961     39.421   -78.419
6.39124     40.278   -81.585
6.48420     41.134   -84.247
6.57851     41.933   -86.355
6.67420     42.629   -87.756
6.77128     43.270   -88.648
6.86977     43.896   -89.342
6.96969     44.473   -89.785
7.07107     44.975   -89.937
7.17392     45.446   -89.893
7.27827     45.897   -89.742
7.38413     46.303   -89.446
7.49154     46.670   -89.014
7.60050     47.020   -88.496
7.71105     47.341   -87.888
7.82321     47.624   -87.180
7.93701     47.889   -86.398
8.05245     48.135   -85.550
8.16958     48.346   -84.621
8.28841     48.539   -83.627
8.40896     48.716   -82.577
8.53128     48.863   -81.459
8.65537     48.993   -80.281
8.78126     49.107   -79.048
8.90899     49.194   -77.749
9.03857     49.264   -76.390
9.17004     49.318   -74.974
9.30342     49.348   -73.492
9.43874     49.360   -71.944
9.57603     49.355   -70.334
9.71532     49.329   -68.659
9.85663     49.266   -66.915
10.0000     49.137   -65.099
10.1455     48.953   -63.202
10.2930     48.722   -61.226
10.4427     48.437   -59.165
10.5946     48.121   -57.001
10.7487     47.788   -54.740
10.9051     47.441   -52.371
11.0637     47.081   -49.896
11.2246     46.706   -47.307
11.3879     46.318   -44.592
11.5535     45.917   -41.751
11.7216     45.503   -38.762
11.8921     45.077   -35.628
12.0650     44.639   -32.326
12.2405     44.193   -28.872
12.4186     43.738   -25.241
12.5992     43.275   -21.445
12.7825     42.808   -17.465
12.9684     42.337   -13.316
13.1570     41.864    -8.984
13.3484     41.390    -4.488
13.5426     40.916     0.180
13.7395     40.443     5.001
13.9394     39.969     9.976
14.1421     39.493    15.082
14.3478     39.013    20.321
14.5565     38.525    25.683
14.7683     38.023    31.175
14.9831     37.499    36.823
15.2010     36.944    42.662
15.4221     36.349    48.766
15.6464     35.701    55.231
15.8740     34.992    62.195
16.1049     34.220    69.932
16.3392     33.374    78.813
16.5768     32.484    89.272
16.8179     31.629   101.935
17.0626     30.966   117.305
17.3107     30.670   135.140
17.5625     30.944   153.992
17.8180     31.845   171.640
18.0771     33.122  -173.357
18.3401     34.558  -161.193
18.6068     36.015  -151.541
18.8775     37.407  -143.732
19.1521     38.711  -137.164
19.4306     39.915  -131.543
19.7133     41.010  -126.649
20.0000     42.009  -122.270
20.2909     42.924  -118.254
20.5860     43.758  -114.519
20.8855     44.510  -111.015
21.1893     45.178  -107.691
21.4975     45.769  -104.501
