"Horizontal Reflections"
"Front"		"Side"		"Rear"		"Total Horizontal Reflection"
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
405.762	87.9902	405.762	85.6554	405.762	81.6357	405.762	84.7925
420.41	88.3389	420.41	85.9421	420.41	79.5733	420.41	84.618
435.059	88.157	435.059	86.2894	435.059	81.0403	435.059	84.9481
451.172	88.8881	451.172	86.9752	451.172	82.4073	451.172	85.8072
465.82	88.8968	465.82	86.2228	465.82	82.0319	465.82	85.4592
483.398	88.8191	483.398	86.0235	483.398	81.0491	483.398	85.1393
499.512	88.6895	499.512	85.6108	499.512	80.0535	499.512	84.747
517.09	88.2758	517.09	85.9426	517.09	80.4784	517.09	84.7536
536.133	89.4285	536.133	86.7901	536.133	80.5272	536.133	85.5956
555.176	89.5839	555.176	86.3657	555.176	81.6232	555.176	85.7249
574.219	89.5061	574.219	86.5221	574.219	79.9617	574.219	85.4477
594.727	89.7144	594.727	85.8688	594.727	80.8762	594.727	85.4893
615.234	89.0061	615.234	86.2272	615.234	78.2403	615.234	84.8627
637.207	89.5037	637.207	86.1372	637.207	80.2224	637.207	85.3546
659.18	89.4319	659.18	86.2534	659.18	78.5723	659.18	85.1298
682.617	89.1019	682.617	85.28	682.617	79.5594	682.617	84.7639
707.52	88.4235	707.52	85.1515	707.52	78.4216	707.52	84.198
732.422	88.9955	732.422	85.3415	732.422	77.4416	732.422	84.4498
757.324	89.9783	757.324	86.1385	757.324	79.1337	757.324	85.4516
785.156	90.2428	785.156	85.6907	785.156	79.6917	785.156	85.5361
811.523	88.9059	811.523	85.8391	811.523	77.7379	811.523	84.6098
840.82	90.477	840.82	86.1855	840.82	78.5538	840.82	85.6851
870.117	89.2426	870.117	85.9442	870.117	78.448	870.117	84.9055
900.879	89.4704	900.879	85.2586	900.879	78.4333	900.879	84.8022
933.105	88.7875	933.105	84.3437	933.105	75.6416	933.105	83.8372
965.332	88.1891	965.332	85.0718	965.332	76.8189	965.332	83.8529
1,000.49	88.9314	1,000.49	84.4162	1,000.49	77.4252	1,000.49	84.1162
1,035.64	88.4627	1,035.64	83.8529	1,035.64	76.2631	1,035.64	83.546
1,072.27	87.5859	1,072.27	84.3351	1,072.27	75.1233	1,072.27	83.0978
1,108.89	87.8834	1,108.89	84.3978	1,108.89	77.5498	1,108.89	83.5396
1,148.44	88.056	1,148.44	83.4933	1,148.44	76.2908	1,148.44	83.198
1,189.45	88.6927	1,189.45	84.3393	1,189.45	75.4421	1,189.45	83.7626
1,230.47	87.8482	1,230.47	84.6772	1,230.47	77.0412	1,230.47	83.555
1,274.41	88.47	1,274.41	85.4116	1,274.41	77.2355	1,274.41	84.1698
1,319.82	88.9555	1,319.82	86.3671	1,319.82	77.7199	1,319.82	84.835
1,366.7	89.7949	1,366.7	87.1409	1,366.7	78.6564	1,366.7	85.6587
1,413.57	89.5019	1,413.57	87.2146	1,413.57	78.2819	1,413.57	85.5045
1,463.38	89.3864	1,463.38	86.9329	1,463.38	77.726	1,463.38	85.2785
1,516.11	88.1485	1,516.11	86.3691	1,516.11	76.7142	1,516.11	84.3475
1,568.85	87.4449	1,568.85	85.8208	1,568.85	76.4371	1,568.85	83.7533
1,624.51	87.6307	1,624.51	86.2035	1,624.51	75.7649	1,624.51	83.9529
1,681.64	88.859	1,681.64	86.9592	1,681.64	76.7439	1,681.64	84.9467
1,741.7	89.8623	1,741.7	87.5866	1,741.7	76.8006	1,741.7	85.717
