"Early Reflections"
"Floor Bounce"		"Ceiling Bounce"		"Front Wall Bounce"		"Side Wall Bounce"		"Rear Wall Bounce (full horizontal rear)"		"Total Early Reflection"
"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"	"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"	"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"	"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"	"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"	"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"
20.5078	48.2101	20.5078	45.5058	20.5078	47.055	20.5078	45.9849	20.5078	56.9423	20.5078	51.3783
21.9727	48.0599	21.9727	47.765	21.9727	46.3518	21.9727	47.5035	21.9727	57.7924	21.9727	52.1732
23.4375	52.6411	23.4375	51.1482	23.4375	51.8225	23.4375	51.2795	23.4375	58.6779	23.4375	54.2746
24.9023	54.7674	24.9023	52.4248	24.9023	53.9588	24.9023	52.7861	24.9023	58.7966	24.9023	55.2407
26.3672	53.3209	26.3672	52.121	26.3672	52.5253	26.3672	51.9053	26.3672	59.4697	26.3672	55.0427
27.832	53.9598	27.832	53.4207	27.832	53.3706	27.832	53.3509	27.832	61.4321	27.832	56.6142
29.2969	59.2199	29.2969	59.1584	29.2969	58.8892	29.2969	59.2825	29.2969	64.3683	29.2969	60.8031
30.7617	60.4593	30.7617	60.1083	30.7617	60.0755	30.7617	60.22	30.7617	64.9007	30.7617	61.6418
32.2266	61.4287	32.2266	61.1187	32.2266	61.1133	32.2266	61.2385	32.2266	65.536	32.2266	62.496
33.6914	63.6193	33.6914	63.3128	33.6914	63.3641	33.6914	63.4669	33.6914	66.9661	33.6914	64.4121
35.1562	64.7878	35.1562	64.4275	35.1562	64.5043	35.1562	64.6169	35.1562	67.9293	35.1562	65.4918
36.6211	66.0194	36.6211	65.8435	36.6211	65.7928	36.6211	65.9959	36.6211	69.1364	36.6211	66.7776
38.0859	67.5684	38.0859	67.4209	38.0859	67.3948	38.0859	67.5433	38.0859	70.1206	38.0859	68.1537
39.5508	68.8532	39.5508	68.6514	39.5508	68.6615	39.5508	68.8371	39.5508	71.2893	39.5508	69.3917
41.0156	70.0221	41.0156	69.8137	41.0156	69.8363	41.0156	70.0129	41.0156	72.2976	41.0156	70.5126
42.4805	71.2598	42.4805	71.0439	42.4805	71.0675	42.4805	71.2668	42.4805	73.3424	42.4805	71.6935
43.9453	72.2973	43.9453	72.0913	43.9453	72.1106	43.9453	72.3223	43.9453	74.2535	43.9453	72.7004
45.4102	73.145	45.4102	73.0012	45.4102	72.9679	45.4102	73.2174	45.4102	75.005	45.4102	73.5422
46.875	74.3783	46.875	74.1992	46.875	74.2237	46.875	74.4103	46.875	75.9646	46.875	74.6907
48.3398	75.0745	48.3398	74.9034	48.3398	74.9109	48.3398	75.139	48.3398	76.6732	48.3398	75.3962
51.2695	76.4963	51.2695	76.3333	51.2695	76.3355	51.2695	76.572	51.2695	77.8647	51.2695	76.7615
52.7344	77.0901	52.7344	76.9312	52.7344	76.9319	52.7344	77.1715	52.7344	78.3701	52.7344	77.3349
54.1992	77.5799	54.1992	77.4226	54.1992	77.4277	54.1992	77.6605	54.1992	78.7463	54.1992	77.7974
55.6641	77.9782	55.6641	77.8256	55.6641	77.8288	55.6641	78.0653	55.6641	79.0756	55.6641	78.1813
58.5938	78.7021	58.5938	78.5267	58.5938	78.5516	58.5938	78.7767	58.5938	79.6121	58.5938	78.853
60.0586	78.9087	60.0586	78.7321	60.0586	78.7626	60.0586	78.9789	60.0586	79.7398	60.0586	79.0406
62.9883	79.305	62.9883	79.1109	62.9883	79.1526	62.9883	79.3722	62.9883	80.0294	62.9883	79.4071
64.4531	79.4694	64.4531	79.26	64.4531	79.3118	64.4531	79.5325	64.4531	80.1521	64.4531	79.5572
67.3828	79.7063	67.3828	79.4965	67.3828	79.5411	67.3828	79.7791	67.3828	80.3474	67.3828	79.7851
68.8477	79.7802	68.8477	79.5816	68.8477	79.6163	68.8477	79.8667	68.8477	80.4182	68.8477	79.8633
71.7773	79.9864	71.7773	79.7801	71.7773	79.824	71.7773	80.0635	71.7773	80.5052	71.7773	80.0397
74.707	80.2731	74.707	80.0522	74.707	80.1168	74.707	80.3326	74.707	80.6413	74.707	80.2881
77.6367	80.5095	77.6367	80.2666	77.6367	80.3539	77.6367	80.5507	77.6367	80.7516	77.6367	80.4897
79.1016	80.5619	79.1016	80.3057	79.1016	80.4064	79.1016	80.5945	79.1016	80.7408	79.1016	80.5245
82.0312	80.637	82.0312	80.3815	82.0312	80.4764	82.0312	80.6695	82.0312	80.7845	82.0312	80.5921
