"Vertical Reflections"					
"Floor Reflection"		"Ceiling Reflection"		"Total Vertical Reflection"	
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
20.5078	48.2505	20.5078	46.0268	20.5078	47.2794
21.9727	51.7545	21.9727	48.4711	21.9727	50.416
23.4375	51.7076	23.4375	48.8345	23.4375	50.5044
24.9023	53.8885	24.9023	51.959	24.9023	53.03
26.3672	56.1265	26.3672	54.113	26.3672	55.2354
27.832	57.8202	27.832	55.9743	27.832	56.9946
29.2969	59.2862	29.2969	57.7311	29.2969	58.5779
30.7617	59.5863	30.7617	58.597	30.7617	59.1197
32.2266	61.6594	32.2266	60.7522	32.2266	61.2295
33.6914	63.3705	33.6914	62.438	33.6914	62.9292
35.1562	64.9587	35.1562	63.8764	35.1562	64.4512
36.6211	65.9413	36.6211	65.0801	36.6211	65.532
38.0859	66.9298	38.0859	66.2721	38.0859	66.6133
39.5508	68.0833	39.5508	67.6239	39.5508	67.8597
41.0156	69.7379	41.0156	69.0219	41.0156	69.3947
42.4805	70.7381	42.4805	70.0863	42.4805	70.4244
43.9453	71.5912	43.9453	71.029	43.9453	71.3192
45.4102	72.5272	45.4102	72.0119	45.4102	72.2772
46.875	73.4877	46.875	72.9701	46.875	73.2366
48.3398	74.342	48.3398	73.8176	48.3398	74.0877
51.2695	75.869	51.2695	75.3873	51.2695	75.6348
52.7344	76.5595	52.7344	76.102	52.7344	76.3368
54.1992	77.2677	54.1992	76.7832	54.1992	77.0322
55.6641	77.7848	55.6641	77.3052	55.6641	77.5516
58.5938	78.5602	58.5938	78.1437	58.5938	78.3569
60.0586	78.9997	60.0586	78.5723	60.0586	78.7912
62.9883	79.7457	62.9883	79.3322	62.9883	79.5439
64.4531	80.0688	64.4531	79.6636	64.4531	79.8709
67.3828	80.5811	67.3828	80.2064	67.3828	80.3978
68.8477	80.8425	68.8477	80.4665	68.8477	80.6586
71.7773	81.429	71.7773	81.0542	71.7773	81.2457
74.707	81.9018	74.707	81.5373	74.707	81.7234
77.6367	82.2188	77.6367	81.8531	77.6367	82.0398
79.1016	82.3632	79.1016	81.9961	79.1016	82.1835
82.0312	82.7482	82.0312	82.3798	82.0312	82.5679
84.9609	83.003	84.9609	82.6584	84.9609	82.8341
87.8906	83.2597	87.8906	82.9371	87.8906	83.1014
90.8203	83.6166	90.8203	83.2775	90.8203	83.4504
95.2148	83.9949	95.2148	83.6143	95.2148	83.8088
98.1445	84.1667	98.1445	83.7941	98.1445	83.9844
101.074	84.3208	101.074	83.9625	101.074	84.1453
105.469	84.5533	105.469	84.2002	105.469	84.3803
108.398	84.7288	108.398	84.3835	108.398	84.5596
112.793	85.0032	112.793	84.6211	112.793	84.8164
117.188	85.0859	117.188	84.7328	117.188	84.9129
120.117	85.173	120.117	84.8284	120.117	85.0041
124.512	85.3678	124.512	84.9882	124.512	85.1821
128.906	85.3891	128.906	85.0098	128.906	85.2036
133.301	85.4989	133.301	85.0866	133.301	85.2977
139.16	85.5556	139.16	85.1237	139.16	85.345
143.555	85.5856	143.555	85.1252	143.555	85.3615
147.949	85.6573	147.949	85.1655	147.949	85.4184
153.809	85.5657	153.809	85.1021	153.809	85.34
159.668	85.6431	159.668	85.1587	159.668	85.4076
165.527	85.6888	165.527	85.2724	165.527	85.4856
171.387	85.7133	171.387	85.1921	171.387	85.4605
177.246	85.5567	177.246	85.0242	177.246	85.2986
183.105	85.452	183.105	84.9073	183.105	85.1882
188.965	85.4334	188.965	84.8105	188.965	85.1331
196.289	85.4114	196.289	84.8993	196.289	85.1629
203.613	85.2569	203.613	84.7068	203.613	84.9905
210.938	85.2079	210.938	84.5867	210.938	84.9084
218.262	84.9673	218.262	84.3882	218.262	84.6874
225.586	84.8546	225.586	84.2981	225.586	84.5853
232.91	84.8457	232.91	84.3259	232.91	84.5936
241.699	84.9185	241.699	84.0484	241.699	84.5052
250.488	85.173	250.488	84.0084	250.488	84.6296
259.277	84.9529	259.277	83.7393	259.277	84.3884
268.066	84.5989	268.066	82.9155	268.066	83.8383
276.855	84.0732	276.855	83.0753	276.855	83.6029
287.109	83.1506	287.109	82.5263	287.109	82.8497
297.363	84.1494	297.363	83.8891	297.363	84.0212
307.617	84.582	307.617	84.089	307.617	84.3425
319.336	84.5724	319.336	83.3599	319.336	84.0083
329.59	84.2078	329.59	83.0494	329.59	83.6671
341.309	84.4427	341.309	83.265	341.309	83.8936
353.027	84.3352	353.027	83.1128	353.027	83.7669
366.211	84.5163	366.211	83.1797	366.211	83.8992
379.395	84.881	379.395	83.5594	379.395	84.2703
392.578	84.3037	392.578	82.8899	392.578	83.6541
405.762	84.2809	405.762	82.96	405.762	83.6705
420.41	84.5107	420.41	83.2778	420.41	83.9379
435.059	84.1576	435.059	82.8619	435.059	83.5579
451.172	84.891	451.172	82.9246	451.172	84.0182
465.82	84.5164	465.82	82.8623	465.82	83.7676
483.398	84.3917	483.398	83.0917	483.398	83.7902
499.512	84.5624	499.512	83.0702	499.512	83.8801
517.09	84.3588	517.09	82.9863	517.09	83.7266
536.133	83.8949	536.133	82.0246	536.133	83.0597
555.176	84.6354	555.176	82.2904	555.176	83.6193
