"Horizontal Reflections"
"Front"		"Side"		"Rear"		"Total Horizontal Reflection"
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
20.5078	77.1777	20.5078	73.3795	20.5078	66.8544	20.5078	72.732
21.9727	79.2481	21.9727	75.5804	21.9727	71.61	21.9727	75.3198
23.4375	81.225	23.4375	78.3561	23.4375	77.9257	23.4375	78.8953
24.9023	84.4653	24.9023	82.5758	24.9023	82.0165	24.9023	82.7554
26.3672	87.2697	26.3672	86.0275	26.3672	85.791	26.3672	86.1828
27.832	89.9286	27.832	89.0379	27.832	88.8255	27.832	89.1199
29.2969	92.3613	29.2969	91.7708	29.2969	91.7452	29.2969	91.879
30.7617	94.7937	30.7617	94.3992	30.7617	94.4501	30.7617	94.5052
32.2266	97.3268	32.2266	97.0711	32.2266	97.1531	32.2266	97.165
33.6914	99.3826	33.6914	99.2177	33.6914	99.3195	33.6914	99.3039
35.1562	100.964	35.1562	100.847	35.1562	100.94	35.1562	100.919
36.6211	102.441	36.6211	102.368	36.6211	102.473	36.6211	102.438
38.0859	103.594	38.0859	103.55	38.0859	103.658	38.0859	103.616
39.5508	104.545	39.5508	104.513	39.5508	104.604	39.5508	104.568
41.0156	105.366	41.0156	105.343	41.0156	105.424	41.0156	105.39
42.4805	106.155	42.4805	106.135	42.4805	106.187	42.4805	106.166
43.9453	106.752	43.9453	106.724	43.9453	106.748	43.9453	106.742
45.4102	107.272	45.4102	107.239	45.4102	107.231	45.4102	107.241
46.875	107.814	46.875	107.771	46.875	107.723	46.875	107.754
48.3398	108.361	48.3398	108.309	48.3398	108.238	48.3398	108.281
51.2695	109.184	51.2695	109.161	51.2695	109.164	51.2695	109.167
52.7344	109.72	52.7344	109.7	52.7344	109.703	52.7344	109.706
54.1992	110.257	54.1992	110.227	54.1992	110.198	54.1992	110.217
55.6641	110.721	55.6641	110.659	55.6641	110.557	55.6641	110.618
58.5938	111.273	58.5938	111.186	58.5938	111.022	58.5938	111.118
60.0586	111.652	60.0586	111.56	60.0586	111.388	60.0586	111.488
62.9883	112.248	62.9883	112.149	62.9883	111.964	62.9883	112.072
64.4531	112.479	64.4531	112.378	64.4531	112.188	64.4531	112.299
67.3828	112.812	67.3828	112.695	67.3828	112.483	67.3828	112.608
68.8477	113.036	68.8477	112.915	68.8477	112.704	68.8477	112.829
71.7773	113.49	71.7773	113.365	71.7773	113.157	71.7773	113.282
74.707	113.544	74.707	113.407	74.707	113.162	74.707	113.307
77.6367	113.711	77.6367	113.559	77.6367	113.281	77.6367	113.446
79.1016	113.963	79.1016	113.801	79.1016	113.5	79.1016	113.678
82.0312	113.92	82.0312	113.755	82.0312	113.459	82.0312	113.635
84.9609	113.532	84.9609	113.363	84.9609	113.09	84.9609	113.256
87.8906	113.907	87.8906	113.752	87.8906	113.529	87.8906	113.667
90.8203	114.1	90.8203	113.883	90.8203	113.528	90.8203	113.744
95.2148	113.581	95.2148	113.38	95.2148	113.058	95.2148	113.254
98.1445	113.656	98.1445	113.458	98.1445	113.131	98.1445	113.329
101.074	113.94	101.074	113.739	101.074	113.437	101.074	113.623
105.469	113.37	105.469	113.119	105.469	112.794	105.469	113.002
108.398	113.656	108.398	113.38	108.398	113.022	108.398	113.252
112.793	113.688	112.793	113.381	112.793	112.959	112.793	113.228
117.188	113.788	117.188	113.424	117.188	112.787	117.188	113.178
120.117	113.714	120.117	113.356	120.117	112.727	120.117	113.113
