"Estimated In-Room Response"
"Estimated In-Room Response"
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
20.5078	50.0154
21.9727	53.5521
23.4375	52.8748
24.9023	50.2296
26.3672	44.9942
27.832	32.0082
29.2969	41.0847
30.7617	45.2528
32.2266	44.9737
33.6914	42.3724
35.1563	48.8871
36.6211	55.2634
38.0859	59.5615
39.5508	62.1287
41.0156	63.6419
42.4805	64.3624
43.9453	64.4928
45.4102	64.0249
46.875	63.3445
48.3398	62.8097
51.2695	63.5742
52.7344	64.7534
54.1992	66.0078
55.6641	67.0911
58.5938	68.729
60.0586	69.3568
62.9883	70.6876
64.4531	71.2287
67.3828	72.7441
68.8477	73.1361
71.7773	74.1251
74.707	74.8049
77.6367	75.1018
79.1016	75.3571
82.0313	76.0329
84.9609	76.4276
87.8906	76.6673
90.8203	77.17
95.2148	77.6524
98.1445	77.8677
101.074	78.2183
105.469	78.6801
108.398	78.8616
112.793	79.3526
117.188	79.5576
120.117	79.7542
124.512	80.0565
128.906	80.2348
133.301	80.4053
139.16	80.5332
143.555	80.6572
147.949	80.7266
153.809	80.7958
159.668	80.8697
165.527	80.9531
171.387	80.9466
177.246	80.8896
183.105	80.809
188.965	80.7588
196.289	80.7018
203.613	80.6052
210.938	80.4402
218.262	80.3127
225.586	80.164
232.91	80.0894
241.699	79.8633
250.488	79.5973
259.277	79.5937
268.066	79.2601
276.855	79.0735
287.109	79.0813
297.363	78.8059
307.617	78.9398
319.336	78.5652
329.59	78.3865
341.309	78.284
353.027	77.8616
366.211	77.8059
379.395	77.6559
392.578	77.2547
405.762	76.8166
420.41	76.3089
435.059	76.2757
451.172	76.9222
465.82	77.1368
483.398	76.9406
499.512	76.9302
517.09	76.919
536.133	76.5247
555.176	76.5963
574.219	76.3814
594.727	76.2044
615.234	76.3336
637.207	76.2713
659.18	75.9193
682.617	76.0617
707.52	75.953
732.422	75.9764
757.324	76.3074
785.156	77.3644
811.523	75.7374
840.82	71.7788
870.117	72.9872
900.879	73.1933
933.105	73.1455
965.332	73.3968
1,000.49	73.6121
1,035.64	74.0871
1,072.27	74.7977
1,108.89	74.8862
1,148.44	74.6087
1,189.45	74.8741
1,230.47	75.1275
1,274.41	74.6005
1,319.82	73.9332
1,366.7	77.8215
1,413.57	77.4263
1,463.38	76.9355
1,516.11	77.1239
1,568.85	76.7322
1,624.51	76.3573
1,681.64	76.0184
1,741.7	76.1833
1,803.22	75.8454
1,866.21	77.5904
1,932.13	75.2488
1,999.51	75.838
2,069.82	75.5627
2,143.07	75.5572
2,219.24	76.2261
2,296.88	76.1183
2,378.91	76.6513
2,462.4	76.6305
2,548.83	76.1738
2,639.65	76.6717
2,731.93	77.2493
2,828.61	76.9175
2,928.22	77.1882
3,030.76	77.1848
3,137.7	76.9414
3,249.02	76.7639
3,363.28	76.2883
3,481.93	76.003
3,604.98	76.0679
3,732.42	75.5496
3,864.26	75.3803
4,000.49	74.72
4,141.11	74.4592
4,287.6	74.0612
4,438.48	74.0457
4,595.21	73.4205
4,756.35	72.7919
4,924.8	71.8058
5,097.66	71.6728
5,277.83	71.7414
5,463.87	71.4598
5,657.23	71.1079
5,856.45	71.1792
6,062.99	71.5823
6,276.86	71.9661
6,498.05	72.4141
6,726.56	72.9204
6,963.87	73.2915
7,209.96	73.3918
7,464.84	73.5466
7,727.05	74.0639
7,999.51	74.4751
8,282.23	74.8802
8,573.73	75.1192
8,876.95	75.2355
9,188.96	75.0356
9,514.16	74.8041
9,849.61	74.6304
10,196.8	74.2085
10,555.7	73.9266
10,927.7	73.5737
11,313	73.2571
11,712.9	73.0167
12,126	72.7382
12,553.7	72.4307
12,996.1	71.9813
13,454.6	71.5312
13,929.2	71.1183
14,419.9	70.9447
14,928.2	70.885
15,455.6	70.7809
16,000.5	70.651
16,564.5	70.3566
17,148.9	70.1031
17,752.4	69.9151
18,379.4	69.9014
19,026.9	69.8125
19,697.8	69.3154
19,999.5	69.0606
