"Horizontal Reflections"							
"Front"		"Side"		"Rear"		"Total Horizontal Reflection"	
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
20.5078	56.8509	20.5078	56.7177	20.5078	56.5812	20.5078	56.6728
21.9727	58.6932	21.9727	58.5064	21.9727	58.0275	21.9727	58.2993
23.4375	59.5602	23.4375	59.3832	23.4375	58.9476	23.4375	59.1956
24.9023	60.382	24.9023	60.1598	24.9023	59.6308	24.9023	59.9356
26.3672	60.7996	26.3672	60.6872	26.3672	60.4058	26.3672	60.5638
27.832	62.419	27.832	62.2967	27.832	62.0273	27.832	62.1814
29.2969	63.1028	29.2969	62.908	29.2969	62.4775	29.2969	62.7267
30.7617	63.8977	30.7617	63.7695	30.7617	63.3978	30.7617	63.6036
32.2266	64.5162	32.2266	64.3836	32.2266	64.0648	32.2266	64.2454
33.6914	65.153	33.6914	65.0117	33.6914	64.6783	33.6914	64.8679
35.1562	65.7488	35.1562	65.6076	35.1562	65.2856	35.1562	65.4695
36.6211	66.3491	36.6211	66.2088	36.6211	65.8678	36.6211	66.061
38.0859	66.9158	38.0859	66.7733	38.0859	66.4238	38.0859	66.6216
39.5508	67.3716	39.5508	67.2201	39.5508	66.8715	39.5508	67.0708
41.0156	68.0379	41.0156	67.9598	41.0156	67.7816	41.0156	67.8823
42.4805	68.7802	42.4805	68.6268	42.4805	68.3067	42.4805	68.4922
43.9453	69.0685	43.9453	68.9017	43.9453	68.4994	43.9453	68.7286
45.4102	69.5671	45.4102	69.4142	45.4102	69.0304	45.4102	69.2475
46.875	69.8718	46.875	69.7556	46.875	69.4332	46.875	69.6122
48.3398	70.6785	48.3398	70.5117	48.3398	70.0956	48.3398	70.3317
51.2695	71.1772	51.2695	71.0352	51.2695	70.6921	51.2695	70.8866
52.7344	71.5584	52.7344	71.4399	52.7344	71.1761	52.7344	71.3267
54.1992	71.9991	54.1992	71.8779	54.1992	71.6254	54.1992	71.7711
55.6641	72.5585	55.6641	72.3938	55.6641	72.0749	55.6641	72.2622
58.5938	73.13	58.5938	72.9305	58.5938	72.4607	58.5938	72.7307
60.0586	73.5517	60.0586	73.3125	60.0586	72.7245	60.0586	73.063
62.9883	74.3927	62.9883	74.2036	62.9883	73.7102	62.9883	73.9898
64.4531	74.6373	64.4531	74.4686	64.4531	74.0745	64.4531	74.3
67.3828	74.8973	67.3828	74.8063	67.3828	74.6353	67.3828	74.7351
68.8477	75.235	68.8477	75.1414	68.8477	74.9919	68.8477	75.0818
71.7773	75.9228	71.7773	75.7996	71.7773	75.5947	71.7773	75.7175
74.707	76.5918	74.707	76.4609	74.707	76.152	74.707	76.3274
77.6367	77.025	77.6367	76.9158	77.6367	76.6997	77.6367	76.8251
79.1016	77.2318	79.1016	77.1004	79.1016	76.8747	79.1016	77.0093
82.0312	77.6918	82.0312	77.5198	82.0312	77.2529	82.0312	77.4161
84.9609	78.1147	84.9609	77.967	84.9609	77.7593	84.9609	77.8885
87.8906	78.6452	87.8906	78.4825	87.8906	78.2781	87.8906	78.4087
90.8203	79.2428	90.8203	78.9886	90.8203	78.5751	90.8203	78.8284
95.2148	79.8051	95.2148	79.5703	95.2148	79.1298	95.2148	79.3925
98.1445	80.1782	98.1445	79.9337	98.1445	79.4738	98.1445	79.7484
101.074	80.3757	101.074	80.1897	101.074	79.8552	101.074	80.0547
105.469	80.8867	105.469	80.6427	105.469	80.3623	105.469	80.5471
108.398	81.2266	108.398	80.9471	108.398	80.4883	108.398	80.7699
112.793	81.4547	112.793	81.1606	112.793	80.691	112.793	80.9812
117.188	81.9284	117.188	81.6273	117.188	81.0925	117.188	81.4173
120.117	82.2101	120.117	81.9115	120.117	81.2773	120.117	81.6526
124.512	82.2504	124.512	82.0169	124.512	81.6257	124.512	81.8634
128.906	82.3874	128.906	82.2038	128.906	81.9152	128.906	82.0914
133.301	82.6817	133.301	82.4649	133.301	82.1791	133.301	82.3609
139.16	82.8713	139.16	82.5932	139.16	82.2375	139.16	82.467
143.555	82.9118	143.555	82.602	143.555	82.2845	143.555	82.5017
147.949	83.0607	147.949	82.7686	147.949	82.4702	147.949	82.6741
153.809	83.0736	153.809	82.7677	153.809	82.5111	153.809	82.6972
159.668	83.297	159.668	82.9796	159.668	82.6994	159.668	82.8997
165.527	83.36	165.527	83.0221	165.527	82.7551	165.527	82.9532
171.387	83.4462	171.387	83.0666	171.387	82.6796	171.387	82.9467
177.246	83.4669	177.246	83.0236	177.246	82.6151	177.246	82.907
183.105	83.3858	183.105	82.9653	183.105	82.576	183.105	82.8532
188.965	83.2682	188.965	82.8212	188.965	82.4595	188.965	82.7286
196.289	83.2667	196.289	82.7808	196.289	82.3706	196.289	82.6729
203.613	83.2245	203.613	82.6804	203.613	82.1183	203.613	82.5116
210.938	83.0258	210.938	82.5189	210.938	82.0371	210.938	82.3806
218.262	82.7719	218.262	82.3113	218.262	82.0609	218.262	82.2772
225.586	82.7586	225.586	82.2757	225.586	81.8913	225.586	82.1798
232.91	82.6665	232.91	82.0504	232.91	81.5978	232.91	81.9511
241.699	82.215	241.699	81.7881	241.699	81.3351	241.699	81.646
250.488	81.8149	250.488	81.308	250.488	81.4273	250.488	81.4732
259.277	81.0304	259.277	80.7221	259.277	81.8254	259.277	81.3926
268.066	81.7551	268.066	80.3615	268.066	81.8465	268.066	81.4631
276.855	82.6335	276.855	81.1335	276.855	81.0351	276.855	81.4208
287.109	82.527	287.109	81.3594	287.109	80.6198	287.109	81.2598
297.363	82.657	297.363	81.0298	297.363	80.3021	297.363	81.0599
307.617	82.7928	307.617	81.3595	307.617	80.1707	307.617	81.1351
319.336	82.3905	319.336	80.8936	319.336	79.752	319.336	80.7074
329.59	82.1439	329.59	80.9512	329.59	79.492	329.59	80.5456
341.309	82.2658	341.309	80.5536	341.309	79.5056	341.309	80.4694
353.027	82.2951	353.027	80.6382	353.027	78.8631	353.027	80.2441
366.211	82.2916	366.211	80.5953	366.211	78.9035	366.211	80.2456
379.395	82.3449	379.395	80.7685	379.395	78.9337	379.395	80.3265
392.578	82.2278	392.578	80.5431	392.578	78.4138	392.578	80.0253
405.762	82.1682	405.762	80.2655	405.762	78.3867	405.762	79.9107
420.41	82.2825	420.41	80.4896	420.41	78.1999	420.41	79.9498
435.059	82.1882	435.059	80.4661	435.059	78.1678	435.059	79.8998
451.172	82.4706	451.172	80.5321	451.172	77.5644	451.172	79.8166
465.82	82.2001	465.82	80.4164	465.82	77.9739	465.82	79.8202
483.398	82.2843	483.398	80.8571	483.398	78.1924	483.398	80.0668
499.512	83.1061	499.512	81.1487	499.512	78.6248	499.512	80.5842
