"Early Reflections"											
"Floor Bounce"		"Ceiling Bounce"		"Front Wall Bounce"		"Side Wall Bounce"		"Rear Wall Bounce (full horizontal rear)"		"Total Early Reflection"	
"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"	"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"	"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"	"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"	"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"	"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"
20.1416	49.6824	20.1416	48.1858	20.1416	49.1234	20.1416	49.041	20.1416	50.0574	20.1416	49.2638
20.5078	43.4059	20.5078	38.1155	20.5078	41.2125	20.5078	41.2666	20.5078	44.1177	20.5078	42.0846
21.2402	50.0412	21.2402	48.6698	21.2402	49.5217	21.2402	49.2704	21.2402	47.843	21.2402	49.1332
21.9727	49.2957	21.9727	47.8105	21.9727	48.7682	21.9727	49.3329	21.9727	49.8242	21.9727	49.0583
22.7051	34.5739	22.7051	35.0784	22.7051	34.8688	22.7051	35.6375	22.7051	36.3723	22.7051	35.3541
23.8037	54.137	23.8037	54.0314	23.8037	53.945	23.8037	54.4654	23.8037	55.0488	23.8037	54.3447
24.5361	46.821	24.5361	47.4484	24.5361	46.8781	24.5361	47.4894	24.5361	48.5041	24.5361	47.4719
25.2686	35.0776	25.2686	28.5939	25.2686	33.1544	25.2686	36.0557	25.2686	39.3245	25.2686	35.706
26.3672	31.8414	26.3672	30.1298	26.3672	28.9647	26.3672	32.807	26.3672	36.9741	26.3672	33.112
27.0996	39.3481	27.0996	40.3771	27.0996	39.3049	27.0996	40.4442	27.0996	43.0805	27.0996	40.7509
28.1982	40.6775	28.1982	41.5791	28.1982	41.0426	28.1982	41.085	28.1982	42.0175	28.1982	41.3058
29.2969	35.1748	29.2969	36.2714	29.2969	34.5253	29.2969	36.4637	29.2969	39.4446	29.2969	36.7383
30.0293	38.0482	30.0293	41.543	30.0293	39.4917	30.0293	39.2216	30.0293	40.879	30.0293	40.0125
31.1279	51.3198	31.1279	52.44	31.1279	51.6484	31.1279	52.1303	31.1279	52.8294	31.1279	52.107
32.2266	51.7133	32.2266	53.8328	32.2266	52.3327	32.2266	52.9124	32.2266	54.0003	32.2266	53.0446
33.3252	53.8799	33.3252	55.3872	33.3252	54.3469	33.3252	55.0043	33.3252	55.8899	33.3252	54.9605
34.79	53.2665	34.79	53.9255	34.79	53.1343	34.79	54.0336	34.79	55.7652	34.79	54.1335
35.8887	55.6176	35.8887	58.3624	35.8887	56.605	35.8887	56.8974	35.8887	56.806	35.8887	56.9492
36.9873	58.0756	36.9873	60.1289	36.9873	58.8289	36.9873	59.0527	36.9873	58.9753	36.9873	59.063
38.4521	61.9554	38.4521	63.7036	38.4521	62.5743	38.4521	62.8272	38.4521	63.1764	38.4521	62.8867
39.917	64.1706	39.917	65.5307	39.917	64.6689	39.917	64.7665	39.917	64.8266	39.917	64.8148
41.3818	67.7146	41.3818	69.1387	41.3818	68.275	41.3818	68.1014	41.3818	67.477	41.3818	68.1801
42.8467	70.0259	42.8467	71.4086	42.8467	70.5195	42.8467	70.5271	42.8467	70.2423	42.8467	70.571
44.3115	71.7382	44.3115	73.0608	44.3115	72.2335	44.3115	72.207	44.3115	71.9223	44.3115	72.2568
45.7764	73.7163	45.7764	74.9025	45.7764	74.1782	45.7764	74.0971	45.7764	73.7242	45.7764	74.1458
47.2412	75.601	47.2412	76.7625	47.2412	76.0467	47.2412	76.0017	47.2412	75.634	47.2412	76.0299
49.0723	77.77	49.0723	78.832	49.0723	78.2309	49.0723	78.0667	49.0723	77.5977	49.0723	78.1209
50.9033	79.9311	50.9033	80.8532	50.9033	80.3491	50.9033	80.1279	50.9033	79.5278	50.9033	80.1803
52.7344	82.1053	52.7344	83.0032	52.7344	82.5091	52.7344	82.3269	52.7344	81.848	52.7344	82.3763
54.5654	83.6916	54.5654	84.5844	54.5654	84.0883	54.5654	83.9307	54.5654	83.5717	54.5654	83.9881
56.3965	84.7427	56.3965	85.5956	56.3965	85.1296	56.3965	85.0017	56.3965	84.6423	56.3965	85.0356
58.2275	85.3531	58.2275	86.2849	58.2275	85.7801	58.2275	85.6319	58.2275	85.2678	58.2275	85.6789
60.4248	85.236	60.4248	85.9885	60.4248	85.6324	60.4248	85.3638	60.4248	84.7776	60.4248	85.4184
62.6221	84.9978	62.6221	85.6468	62.6221	85.3548	62.6221	85.0742	62.6221	84.4003	62.6221	85.1144
64.8193	84.3707	64.8193	85.1361	64.8193	84.7534	64.8193	84.5159	64.8193	83.9908	64.8193	84.5702
67.0166	84.0993	67.0166	84.9042	67.0166	84.5071	67.0166	84.2574	67.0166	83.805	67.0166	84.3307
69.2139	84.2563	69.2139	85.0445	69.2139	84.6779	69.2139	84.3801	69.2139	83.8404	69.2139	84.4587
71.7773	84.5299	71.7773	85.2906	71.7773	84.9459	71.7773	84.6341	71.7773	84.0322	71.7773	84.7069
74.3408	84.7269	74.3408	85.4708	74.3408	85.1409	74.3408	84.82	74.3408	84.2503	74.3408	84.9011
76.9043	85.0475	76.9043	85.7879	76.9043	85.4801	76.9043	85.128	76.9043	84.4984	76.9043	85.21
79.834	85.2884	79.834	86.0457	79.834	85.7257	79.834	85.3844	79.834	84.7721	79.834	85.4643
82.3975	84.5498	82.3975	85.3928	82.3975	85.0081	82.3975	84.7156	82.3975	84.2701	82.3975	84.8045
85.3271	83.8903	85.3271	84.5053	85.3271	84.2862	85.3271	83.9209	85.3271	83.42	85.3271	84.0203
88.2568	84.6062	88.2568	85.2545	88.2568	85.0062	88.2568	84.6463	88.2568	83.9718	88.2568	84.7184
91.5527	85.3579	91.5527	86.1988	91.5527	85.8644	91.5527	85.5316	91.5527	85.0959	91.5527	85.627
94.8486	85.0679	94.8486	85.8847	94.8486	85.6405	94.8486	85.124	94.8486	84.3813	94.8486	85.2504
98.1445	84.3464	98.1445	85.228	98.1445	84.9784	98.1445	84.2723	98.1445	83.1684	98.1445	84.4555
101.44	84.6812	101.44	85.693	101.44	85.2036	101.44	84.7626	101.44	83.383	101.44	84.8102
105.103	84.0017	105.103	84.9472	105.103	84.4682	105.103	84.4507	105.103	84.3859	105.103	84.4612
108.765	84.2362	108.765	84.8445	108.765	84.7071	108.765	84.2136	108.765	84.0722	108.765	84.4254
112.793	84.8015	112.793	85.1136	112.793	85.1666	112.793	84.5711	112.793	83.9333	112.793	84.7397
116.455	84.1772	116.455	84.5043	116.455	84.5748	116.455	84.0359	116.455	83.3173	116.455	84.1445
120.85	84.0241	120.85	84.5176	120.85	84.5395	120.85	83.8915	120.85	83.0728	120.85	84.0411
124.878	83.828	124.878	84.2419	124.878	84.3364	124.878	83.6645	124.878	82.6642	124.878	83.7862
129.272	83.3389	129.272	83.7343	129.272	83.8249	129.272	83.1836	129.272	82.3647	129.272	83.3195
134.033	82.6654	134.033	83.146	134.033	83.1895	134.033	82.5046	134.033	81.8319	134.033	82.6951
138.794	81.9087	138.794	82.4698	138.794	82.5229	138.794	81.7533	138.794	81.4233	138.794	82.0362
143.555	81.3716	143.555	82.3245	143.555	82.1345	143.555	81.1346	143.555	80.1571	143.555	81.4918
148.682	82.1121	148.682	82.3283	148.682	82.5473	148.682	82.3714	148.682	80.6243	148.682	82.049
153.809	81.6437	153.809	82.0354	153.809	82.282	153.809	81.5205	153.809	80.5601	153.809	81.6471
159.302	81.5415	159.302	81.9261	159.302	82.2189	159.302	81.3103	159.302	80.3076	159.302	81.5086
164.795	81.3791	164.795	81.6904	164.795	82.0496	164.795	81.0918	164.795	80.1538	164.795	81.3191
170.654	81.2182	170.654	81.6061	170.654	81.9274	170.654	80.8277	170.654	79.9104	170.654	81.1524
176.88	81.1118	176.88	81.422	176.88	81.748	176.88	80.5924	176.88	79.4515	176.88	80.9358
183.105	80.6887	183.105	81.1422	183.105	81.3987	183.105	80.3614	183.105	79.4872	183.105	80.6655
189.331	80.3398	189.331	80.9361	189.331	81.2147	189.331	80.0312	189.331	79.4661	189.331	80.4424
196.289	80.1251	196.289	80.81	196.289	81.118	196.289	79.8977	196.289	79.336	196.289	80.3042
202.881	80.0889	202.881	80.7632	202.881	81.2783	202.881	79.7611	202.881	79.3055	202.881	80.2969
210.205	81.0417	210.205	81.2783	210.205	82.0967	210.205	80.4109	210.205	79.115	210.205	80.8981
217.529	80.9025	217.529	81.1202	217.529	81.8464	217.529	80.3372	217.529	79.01	217.529	80.7423
225.22	80.6357	225.22	80.8815	225.22	81.7204	225.22	79.9789	225.22	79.2038	225.22	80.5663
233.276	81.0965	233.276	81.2103	233.276	82.2472	233.276	80.3354	233.276	78.8959	233.276	80.8935
241.333	81.0151	241.333	80.8345	241.333	82.0421	241.333	80.2091	241.333	78.5909	241.333	80.6802
250.122	81.2186	250.122	80.8004	250.122	82.1721	250.122	80.3625	250.122	79.2396	250.122	80.8648
258.911	81.6963	258.911	81.0349	258.911	82.6958	258.911	80.5557	258.911	79.5047	258.911	81.2293
268.066	82.0434	268.066	81.6505	268.066	83.1145	268.066	80.9174	268.066	79.2295	268.066	81.5742
277.222	81.6107	277.222	81.5106	277.222	82.6424	277.222	80.4317	277.222	78.7609	277.222	81.1786
287.109	80.493	287.109	80.8514	287.109	81.7753	287.109	79.5751	287.109	78.0059	287.109	80.3185
297.363	80.3374	297.363	80.4342	297.363	81.8182	297.363	79.3522	297.363	78.5079	297.363	80.2338
307.617	81.6442	307.617	81.2909	307.617	82.9233	307.617	80.2278	307.617	78.7872	307.617	81.1905
318.604	81.8205	318.604	80.7077	318.604	82.7002	318.604	80.0437	318.604	78.6006	318.604	80.9999
329.956	82.7831	329.956	81.2406	329.956	83.557	329.956	80.674	329.956	79.2429	329.956	81.7637
341.675	82.4494	341.675	80.8942	341.675	82.9729	341.675	80.1736	341.675	77.7776	341.675	81.2119
353.394	82.7908	353.394	81.4985	353.394	83.2662	353.394	80.5709	353.394	78.0301	353.394	81.59
365.845	82.4273	365.845	81.477	365.845	83.0563	365.845	80.3005	365.845	77.998	365.845	81.3846
379.028	82.6696	379.028	81.0736	379.028	83.1373	379.028	80.1245	379.028	78.4978	379.028	81.4148
392.212	83.9011	392.212	81.5578	392.212	84.2154	392.212	81.1903	392.212	78.9881	392.212	82.3724
406.128	84.4441	406.128	81.5551	406.128	84.713	406.128	81.3258	406.128	78.8109	406.128	82.6907
420.41	84.8497	420.41	81.746	420.41	85.0562	420.41	81.4871	420.41	78.3485	420.41	82.9425
435.425	83.6087	435.425	81.1307	435.425	84.0634	435.425	80.3268	435.425	77.2176	435.425	81.9015
450.806	83.5992	450.806	80.2652	450.806	83.8519	450.806	80.1838	450.806	77.1816	450.806	81.6714
466.553	85.2001	466.553	80.6528	466.553	84.9424	466.553	81.187	466.553	77.0937	466.553	82.7511
483.032	84.8608	483.032	80.9083	483.032	85.1056	483.032	81.1972	483.032	77.0043	483.032	82.7205
499.878	83.3874	499.878	78.875	499.878	83.8338	499.878	80.1353	499.878	74.4159	499.878	81.2573
517.456	85.1617	517.456	80.7827	517.456	85.4308	517.456	81.3396	517.456	77.1741	517.456	82.9468
535.767	85.1225	535.767	79.2722	535.767	84.4599	535.767	81.0122	535.767	73.8928	535.767	82.2523
554.81	85.6474	554.81	80.4864	554.81	85.0057	554.81	81.5493	554.81	74.9008	554.81	82.875
574.219	84.9844	574.219	80.8345	574.219	84.77	574.219	81.3462	574.219	74.1714	574.219	82.5463
594.727	84.806	594.727	80.6472	594.727	84.5481	594.727	81.2149	594.727	73.8328	594.727	82.3548
615.601	85.68	615.601	80.7562	615.601	84.9841	615.601	81.0449	615.601	74.6648	615.601	82.8348
637.207	84.7907	637.207	81.6393	637.207	84.2918	637.207	80.5773	637.207	72.6202	637.207	82.2961
659.912	83.2141	659.912	80.0874	659.912	82.4773	659.912	78.357	659.912	72.8911	659.912	80.6183
682.983	83.4641	682.983	79.8893	682.983	82.7358	682.983	78.7112	682.983	72.5504	682.983	80.7887
707.153	83.833	707.153	80.2465	707.153	82.6497	707.153	78.5828	707.153	71.6533	707.153	80.9231
732.056	82.9031	732.056	79.8533	732.056	81.1537	732.056	77.2553	732.056	71.7037	732.056	79.9139
757.69	84.0927	757.69	80.1219	757.69	82.4322	757.69	78.2803	757.69	71.7302	757.69	80.9112
784.424	82.7537	784.424	80.1796	784.424	80.9422	784.424	77.1219	784.424	69.7256	784.424	79.8037
812.256	82.7926	812.256	78.7017	812.256	81.3558	812.256	78.1384	812.256	71.0154	812.256	79.8118
840.82	83.9698	840.82	79.2834	840.82	81.6038	840.82	77.783	840.82	72.0775	840.82	80.4537
