"Early Reflections"
"Floor Bounce"		"Ceiling Bounce"		"Front Wall Bounce"		"Side Wall Bounce"		"Rear Wall Bounce (full horizontal rear)"		"Total Early Reflection"
"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"	"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"	"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"	"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"	"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"	"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"
20.5078	75.7711	20.5078	75.2748	20.5078	75.5676	20.5078	75.5728	20.5078	75.5709	20.5078	75.5543
21.9727	77.2854	21.9727	76.7893	21.9727	77.0823	21.9727	77.0881	21.9727	77.086	21.9727	77.0691
23.4375	78.3529	23.4375	77.8622	23.4375	78.1513	23.4375	78.1563	23.4375	78.1545	23.4375	78.1382
24.9023	79.4196	24.9023	78.9393	24.9023	79.2224	24.9023	79.2276	24.9023	79.2257	24.9023	79.2096
26.3672	80.4155	26.3672	79.9394	26.3672	80.2202	26.3672	80.2252	26.3672	80.2234	26.3672	80.2074
27.832	81.3096	27.832	80.8312	27.832	81.1136	27.832	81.1194	27.832	81.1172	27.832	81.1009
29.2969	82.0564	29.2969	81.5686	29.2969	81.857	29.2969	81.8597	29.2969	81.8587	29.2969	81.8429
30.7617	82.8837	30.7617	82.408	30.7617	82.689	30.7617	82.693	30.7617	82.6916	30.7617	82.6757
32.2266	83.6105	32.2266	83.1404	32.2266	83.418	32.2266	83.4217	32.2266	83.4204	32.2266	83.4048
33.6914	84.2085	33.6914	83.7264	33.6914	84.0113	33.6914	84.015	33.6914	84.0136	33.6914	83.9977
35.1562	84.8318	35.1562	84.3499	35.1562	84.6347	35.1562	84.6376	35.1562	84.6365	35.1562	84.6208
36.6211	85.3882	36.6211	84.8995	36.6211	85.1886	36.6211	85.1907	36.6211	85.1899	36.6211	85.1742
38.0859	85.8391	38.0859	85.3359	38.0859	85.6346	38.0859	85.6354	38.0859	85.6351	38.0859	85.619
39.5508	86.0545	39.5508	85.5598	39.5508	85.8531	39.5508	85.8552	39.5508	85.8545	39.5508	85.8383
41.0156	86.26	41.0156	85.7895	41.0156	86.0682	41.0156	86.0697	41.0156	86.0692	41.0156	86.0539
42.4805	86.5878	42.4805	86.1177	42.4805	86.396	42.4805	86.397	42.4805	86.3966	42.4805	86.3816
43.9453	86.8616	43.9453	86.3876	43.9453	86.6684	43.9453	86.6676	43.9453	86.6679	43.9453	86.6532
45.4102	86.9609	45.4102	86.521	45.4102	86.7805	45.4102	86.7788	45.4102	86.7794	45.4102	86.7664
46.875	87.0041	46.875	86.6421	46.875	86.8494	46.875	86.8404	46.875	86.8437	46.875	86.8374
48.3398	86.7864	48.3398	86.3511	48.3398	86.6006	48.3398	86.5911	48.3398	86.5946	48.3398	86.587
51.2695	87.1887	51.2695	86.6755	51.2695	86.9775	51.2695	86.9777	51.2695	86.9776	51.2695	86.9625
52.7344	87.265	52.7344	86.7394	52.7344	87.0506	52.7344	87.0502	52.7344	87.0503	52.7344	87.0343
