"Directivity Index"
"Sound Power DI"		"Early Reflections DI"
"Frequency / Hz"	"Directivity Index  / dB"	"Frequency / Hz"	"Directivity Index  / dB"
20.5078	-0.0147153	20.5078	0.0133498
21.9727	-0.014703	21.9727	0.0132735
23.4375	-0.0147533	23.4375	0.0131127
24.9023	-0.0143388	24.9023	0.012831
26.3672	-0.0139607	26.3672	0.0128607
27.832	-0.0142802	27.832	0.012713
29.2969	-0.0125516	29.2969	0.0142609
30.7617	-0.0130646	30.7617	0.0133713
32.2266	-0.0127581	32.2266	0.0133105
33.6914	-0.0129045	33.6914	0.0137409
35.1562	-0.0125598	35.1562	0.0139759
36.6211	-0.0120811	36.6211	0.014573
38.0859	-0.0110115	38.0859	0.0158218
39.5508	-0.0117299	39.5508	0.014979
41.0156	-0.0108791	41.0156	0.0144246
42.4805	-0.0105582	42.4805	0.0146257
43.9453	-0.00969389	43.9453	0.0153972
45.4102	-0.00909474	45.4102	0.0143559
46.875	-0.00778156	46.875	0.0125904
48.3398	-0.010576	48.3398	0.014385
51.2695	-0.012975	51.2695	0.0153162
52.7344	-0.0115242	52.7344	0.0165725
54.1992	-0.0107918	54.1992	0.0171194
55.6641	-0.0112357	55.6641	0.0160272
58.5938	-0.0102419	58.5938	0.016656
60.0586	-0.00834517	60.0586	0.0168033
62.9883	-0.00319839	62.9883	0.0200951
64.4531	-0.00464574	64.4531	0.0193632
67.3828	-0.00953906	67.3828	0.0170148
68.8477	-0.00786205	68.8477	0.0181708
71.7773	-0.00645557	71.7773	0.0181234
74.707	-0.00711705	74.707	0.0173482
77.6367	-0.00860845	77.6367	0.0164796
79.1016	-0.00872672	79.1016	0.0167777
82.0312	-0.0066799	82.0312	0.0185984
84.9609	-0.00545941	84.9609	0.0191383
87.8906	-0.0032607	87.8906	0.0200233
90.8203	-0.0025579	90.8203	0.0204102
95.2148	-0.00803317	95.2148	0.0162764
98.1445	-0.00743567	98.1445	0.0153524
101.074	-0.00381022	101.074	0.0134572
105.469	-0.0168778	105.469	0.00778364
108.398	-0.0209297	108.398	0.0108182
112.793	-0.018762	112.793	0.0209957
117.188	0.00366715	117.188	0.0485513
120.117	0.0358603	120.117	0.0607376
124.512	0.036424	124.512	0.0485822
128.906	0.0296223	128.906	0.0429997
133.301	0.0286895	133.301	0.0412755
139.16	0.0284756	139.16	0.0414914
143.555	0.0380592	143.555	0.0498393
147.949	0.0183177	147.949	0.0343306
153.809	0.0149299	153.809	0.027965
159.668	0.0248452	159.668	0.035953
165.527	0.0347235	165.527	0.0444333
171.387	0.0458915	171.387	0.0529197
177.246	0.0681349	177.246	0.0655237
183.105	0.0754854	183.105	0.0668269
188.965	0.0601509	188.965	0.0568517
196.289	0.0585214	196.289	0.0635
203.613	0.155402	203.613	0.120896
210.938	0.183045	210.938	0.129879
218.262	0.178814	218.262	0.120807
225.586	0.177	225.586	0.119207
232.91	0.25278	232.91	0.165483
241.699	0.339413	241.699	0.215711
250.488	0.352895	250.488	0.215474
259.277	0.467923	259.277	0.285475
268.066	0.527668	268.066	0.320335
276.855	0.554206	276.855	0.322105
287.109	0.58056	287.109	0.330404
297.363	0.633618	297.363	0.355439
307.617	0.667261	307.617	0.356626
319.336	0.672258	319.336	0.347813
329.59	0.76374	329.59	0.405862
341.309	0.901618	341.309	0.488309
353.027	0.921067	353.027	0.500947
366.211	0.891829	366.211	0.482257
379.395	0.933696	379.395	0.500078
392.578	1.03733	392.578	0.56217
405.762	0.996886	405.762	0.534339
420.41	0.981011	420.41	0.532523
435.059	1.01483	435.059	0.558949
451.172	0.88501	451.172	0.475849
465.82	0.77999	465.82	0.402505
483.398	0.680046	483.398	0.344445
499.512	0.757912	499.512	0.411293
517.09	0.697907	517.09	0.376778
536.133	0.831782	536.133	0.461835
555.176	0.750175	555.176	0.400302
574.219	0.866488	574.219	0.477937
594.727	1.17659	594.727	0.685081
615.234	0.804557	615.234	0.42237
637.207	0.766959	637.207	0.382492
659.18	0.851104	659.18	0.463597
682.617	0.679428	682.617	0.272798
707.52	0.647695	707.52	0.220907
732.422	0.431511	732.422	0.0759474
757.324	0.206746	757.324	-0.108016
785.156	0.795175	785.156	0.296807
811.523	0.146379	811.523	-0.183184
840.82	0.194633	840.82	-0.111623
870.117	0.42957	870.117	0.0779124
900.879	0.472325	900.879	0.0543728
933.105	0.505321	933.105	0.17302
965.332	0.0575613	965.332	-0.16912
1,000.49	0.457678	1,000.49	0.233363
1,035.64	0.0121915	1,035.64	-0.0892987
1,072.27	-0.0730869	1,072.27	-0.0626396
1,108.89	-0.883573	1,108.89	-0.727374
1,148.44	-1.01183	1,148.44	-0.663226
1,189.45	-1.17565	1,189.45	-0.866136
1,230.47	-0.253417	1,230.47	-0.300243
1,274.41	-0.944603	1,274.41	-0.769626
1,319.82	0.121996	1,319.82	-0.127054
1,366.7	-0.0118154	1,366.7	-0.178173
1,413.57	-0.0317814	1,413.57	-0.0908106
1,463.38	0.253435	1,463.38	-0.0766175
1,516.11	-0.421882	1,516.11	-0.444911
1,568.85	-0.619066	1,568.85	-0.312155
1,624.51	0.493672	1,624.51	0.399983
1,681.64	0.4615	1,681.64	0.506673
1,741.7	1.41663	1,741.7	1.07478
1,803.22	1.86999	1,803.22	1.43473
1,866.21	1.66987	1,866.21	1.2789
1,932.13	1.66894	1,932.13	1.20912
1,999.51	2.07543	1,999.51	1.31862
2,069.82	2.77561	2,069.82	1.96853
2,143.07	3.14066	2,143.07	2.276
2,219.24	2.96273	2,219.24	2.20198
2,296.88	2.70427	2,296.88	1.90271
2,378.91	2.83132	2,378.91	2.03682
2,462.4	3.67576	2,462.4	2.72413
2,548.83	4.00586	2,548.83	2.99874
2,639.65	3.95513	2,639.65	2.90187
2,731.93	3.84234	2,731.93	2.83752
2,828.61	3.58969	2,828.61	2.87673
2,928.22	3.02633	2,928.22	2.83317
3,030.76	2.60688	3,030.76	2.78379
3,137.7	1.9262	3,137.7	2.46669
3,249.02	1.53641	3,249.02	2.16487
3,363.28	1.57843	3,363.28	2.33644
3,481.93	1.2197	3,481.93	2.31108
3,604.98	0.836973	3,604.98	1.89533
3,732.42	1.35835	3,732.42	1.89681
3,864.26	1.8558	3,864.26	2.27145
4,000.49	1.91695	4,000.49	2.03958
4,141.11	3.29609	4,141.11	2.52105
4,287.6	4.34914	4,287.6	3.2211
4,438.48	4.16672	4,438.48	3.15019
4,595.21	3.95723	4,595.21	3.03831
4,756.35	3.64613	4,756.35	3.26147
4,924.8	2.87278	4,924.8	2.63051
5,097.66	2.47714	5,097.66	1.97213
5,277.83	2.45031	5,277.83	1.47199
5,463.87	2.81401	5,463.87	1.45125
5,657.23	3.20091	5,657.23	1.65649
5,856.45	3.46833	5,856.45	1.90769
6,062.99	4.10921	6,062.99	2.4066
6,276.86	4.17105	6,276.86	2.47923
6,498.05	4.32254	6,498.05	2.41787
6,726.56	4.98624	6,726.56	2.69348
6,963.87	4.79863	6,963.87	2.63685
7,209.96	5.17208	7,209.96	3.08128
7,464.84	5.12429	7,464.84	3.15803
7,727.05	4.87968	7,727.05	2.91861
7,999.51	5.07894	7,999.51	2.91682
8,282.23	5.25347	8,282.23	3.00481
8,573.73	5.2413	8,573.73	3.05
8,876.95	5.20343	8,876.95	3.08355
9,188.96	5.48078	9,188.96	2.9703
9,514.16	5.65356	9,514.16	2.87147
9,849.61	5.45199	9,849.61	2.5515
10,196.8	4.64711	10,196.8	2.00665
10,555.7	3.50245	10,555.7	1.27698
10,927.7	1.74597	10,927.7	-0.0942738
11,313	-0.379765	11,313	-1.96021
11,712.9	-1.84305	11,712.9	-3.27562
12,126	-1.94605	12,126	-3.6516
12,553.7	-2.10995	12,553.7	-4.55343
12,996.1	-3.95531	12,996.1	-6.35226
13,454.6	-5.98204	13,454.6	-7.70175
13,929.2	-4.84891	13,929.2	-6.56651
14,419.9	-3.12771	14,419.9	-5.01571
14,928.2	-2.83655	14,928.2	-4.06754
15,455.6	-2.35266	15,455.6	-3.45346
16,000.5	-1.55662	16,000.5	-3.37275
16,564.5	-1.58949	16,564.5	-3.82069
17,148.9	-1.57748	17,148.9	-3.84782
17,752.4	-0.624867	17,752.4	-2.40948
18,379.4	-0.0611607	18,379.4	-0.812638
19,026.9	-0.0542101	19,026.9	-0.52603
19,697.8	0.0946395	19,697.8	-1.34444
19,999.5	-0.380572	19,999.5	-2.18688
