"Early Reflections"
"Floor Bounce"		"Ceiling Bounce"		"Front Wall Bounce"		"Side Wall Bounce"		"Rear Wall Bounce (full horizontal rear)"		"Total Early Reflection"
"Frequency [Hz]"	"Sound Pessure Level [dB]   [2.83  V @ 1. m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   [2.83  V @ 1. m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   [2.83  V @ 1. m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   [2.83  V @ 1. m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   [2.83  V @ 1. m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   [2.83  V @ 1. m]"
20.5078	48.9678	20.5078	53.0627	20.5078	51.1018	20.5078	50.3984	20.5078	48.5226	20.5078	50.7256
21.9727	54.9064	21.9727	57.219	21.9727	56.336	21.9727	55.8535	21.9727	54.6247	21.9727	55.8921
23.4375	50.2928	23.4375	56.0907	23.4375	53.8983	23.4375	53.1684	23.4375	51.7051	23.4375	53.4806
24.9023	51.3261	24.9023	57.126	24.9023	54.9372	24.9023	54.3389	24.9023	52.7044	24.9023	54.5372
26.3672	45.7554	26.3672	56.9982	26.3672	53.0766	26.3672	52.731	26.3672	52.1554	26.3672	53.3985
27.832	48.2531	27.832	57.8371	27.832	53.8485	27.832	53.2179	27.832	51.8416	27.832	54.0817
29.2969	52.2708	29.2969	58.9176	29.2969	55.0696	29.2969	54.6916	29.2969	53.8618	29.2969	55.5806
30.7617	55.3635	30.7617	59.4595	30.7617	55.7312	30.7617	55.5076	30.7617	55.1047	30.7617	56.5904
32.2266	63.3203	32.2266	60.3023	32.2266	61.0569	32.2266	60.4651	32.2266	58.9354	32.2266	61.0662
33.6914	67.029	33.6914	66.7542	33.6914	66.4839	33.6914	66.3565	33.6914	66.0112	33.6914	66.5408
35.1562	69.2717	35.1562	67.9378	35.1562	68.1955	35.1562	68.0597	35.1562	67.7778	35.1562	68.2824
36.6211	72.2885	36.6211	70.5966	36.6211	71.2171	36.6211	71.0577	36.6211	70.7177	36.6211	71.2188
38.0859	75.2633	38.0859	73.3911	38.0859	74.2447	38.0859	74.0402	38.0859	73.6022	38.0859	74.1591
39.5508	77.6039	39.5508	75.7187	39.5508	76.6696	39.5508	76.4292	39.5508	75.9426	39.5508	76.5242
41.0156	79.4551	41.0156	77.5689	41.0156	78.5796	41.0156	78.2951	41.0156	77.6922	41.0156	78.3728
42.4805	81.1297	42.4805	79.3719	42.4805	80.3896	42.4805	80.0581	42.4805	79.1473	42.4805	80.0788
43.9453	81.9631	43.9453	80.2894	43.9453	81.2488	43.9453	80.9715	43.9453	80.1919	43.9453	80.9826
45.4102	82.2424	45.4102	80.407	45.4102	81.383	45.4102	81.2599	45.4102	80.9218	45.4102	81.2854
46.875	83.0508	46.875	81.1311	46.875	82.1918	46.875	82.0717	46.875	81.8307	46.875	82.0996
48.3398	83.275	48.3398	81.5222	48.3398	82.5375	48.3398	82.358	48.3398	81.9979	48.3398	82.3776
51.2695	83.7762	51.2695	82.2335	51.2695	83.1823	51.2695	82.9356	51.2695	82.3719	51.2695	82.9365
52.7344	84.07	52.7344	82.5145	52.7344	83.4844	52.7344	83.2136	52.7344	82.5955	52.7344	83.2145
54.1992	84.2936	54.1992	82.8624	54.1992	83.7793	54.1992	83.4809	54.1992	82.7838	54.1992	83.4773
55.6641	84.636	55.6641	83.2041	55.6641	84.1176	55.6641	83.8281	55.6641	83.1132	55.6641	83.8175
58.5938	84.9518	58.5938	83.4765	58.5938	84.4021	58.5938	84.1621	58.5938	83.6023	58.5938	84.1528
60.0586	85.1194	60.0586	83.6466	60.0586	84.5785	60.0586	84.3306	60.0586	83.7747	60.0586	84.3237
62.9883	85.4267	62.9883	84.0467	62.9883	84.9347	62.9883	84.6882	62.9883	84.14	62.9883	84.6777
64.4531	85.5459	64.4531	84.1797	64.4531	85.0641	64.4531	84.8123	64.4531	84.2629	64.4531	84.803
67.3828	85.7884	67.3828	84.4445	67.3828	85.3205	67.3828	85.0701	67.3828	84.5166	67.3828	85.0574
68.8477	85.8866	68.8477	84.5764	68.8477	85.4326	68.8477	85.1896	68.8477	84.6581	68.8477	85.1764
71.7773	85.9874	71.7773	84.7036	71.7773	85.5481	71.7773	85.3166	71.7773	84.9217	71.7773	85.3194
74.707	86.0832	74.707	84.7829	74.707	85.6515	74.707	85.3926	74.707	84.9572	74.707	85.399
77.6367	86.0497	77.6367	84.7514	77.6367	85.6372	77.6367	85.3393	77.6367	84.8162	77.6367	85.3468
79.1016	86.0601	79.1016	84.7722	79.1016	85.66	79.1016	85.3482	79.1016	84.7958	79.1016	85.3559
82.0312	86.1002	82.0312	84.8379	82.0312	85.7189	82.0312	85.3784	82.0312	84.7522	82.0312	85.388
84.9609	86.023	84.9609	84.8018	84.9609	85.6573	84.9609	85.3277	84.9609	84.6901	84.9609	85.3293
87.8906	85.7931	87.8906	84.5485	87.8906	85.4245	87.8906	85.1007	87.8906	84.5611	87.8906	85.1128
90.8203	85.6687	90.8203	84.4142	90.8203	85.3012	90.8203	84.9481	90.8203	84.3749	90.8203	84.9705
95.2148	85.3232	95.2148	84.1989	95.2148	85.0005	95.2148	84.6618	95.2148	84.1508	95.2148	84.6908
98.1445	85.0566	98.1445	84.002	98.1445	84.8078	98.1445	84.4054	98.1445	83.8584	98.1445	84.4502
101.074	84.9579	101.074	83.8359	101.074	84.7127	101.074	84.2741	101.074	83.5547	101.074	84.2985
