"Early Reflections"
"Floor Bounce"		"Ceiling Bounce"		"Front Wall Bounce"		"Side Wall Bounce"		"Rear Wall Bounce (full horizontal rear)"		"Total Early Reflection"
"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"	"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"	"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"	"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"	"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"	"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"
20.5078	30.8718	20.5078	45.1216	20.5078	41.1461	20.5078	47.1007	20.5078	49.2412	20.5078	45.6116
21.9727	58.6793	21.9727	54.93	21.9727	56.4537	21.9727	56.7398	21.9727	57.516	21.9727	57.037
23.4375	61.471	23.4375	58.0081	23.4375	59.3933	23.4375	59.54	23.4375	59.6802	23.4375	59.762
24.9023	65.4223	24.9023	61.1226	24.9023	63.1252	24.9023	63.0515	24.9023	62.6392	24.9023	63.2997
26.3672	69.8746	26.3672	65.9568	26.3672	67.8608	26.3672	67.8083	26.3672	67.5966	26.3672	68.0009
27.832	72.8859	27.832	68.9874	27.832	70.9147	27.832	70.8879	27.832	70.6616	27.832	71.0458
29.2969	75.6417	29.2969	71.8339	29.2969	73.7665	29.2969	73.602	29.2969	73.0405	29.2969	73.7575
30.7617	78.1419	30.7617	74.4777	30.7617	76.3213	30.7617	76.1617	30.7617	75.5889	30.7617	76.307
32.2266	80.6133	32.2266	76.8896	32.2266	78.7782	32.2266	78.5818	32.2266	77.9327	32.2266	78.7364
33.6914	82.9843	33.6914	79.3192	33.6914	81.2068	33.6914	80.9896	33.6914	80.3155	33.6914	81.1358
35.1562	84.9017	35.1562	81.2692	35.1562	83.149	35.1562	82.9235	35.1562	82.2299	35.1562	83.0653
36.6211	86.6553	36.6211	83.0489	36.6211	84.9317	36.6211	84.6926	36.6211	83.9932	36.6211	84.8328
38.0859	88.304	38.0859	84.562	38.0859	86.5653	38.0859	86.2203	38.0859	85.3182	38.0859	86.3852
39.5508	89.7254	39.5508	85.9903	39.5508	88.0124	39.5508	87.616	39.5508	86.5499	39.5508	87.7788
41.0156	90.9687	41.0156	87.2846	41.0156	89.2989	41.0156	88.8899	41.0156	87.7835	41.0156	89.0425
42.4805	91.7646	42.4805	88.1694	42.4805	90.1342	42.4805	89.731	42.4805	88.6462	42.4805	89.8774
43.9453	92.311	43.9453	88.7508	43.9453	90.697	43.9453	90.2993	43.9453	89.307	43.9453	90.4536
45.4102	92.6218	45.4102	89.0144	45.4102	90.9957	45.4102	90.5879	45.4102	89.6279	45.4102	90.7528
46.875	92.9523	46.875	89.3302	46.875	91.3361	46.875	90.9196	46.875	90.0039	46.875	91.0907
48.3398	93.2306	48.3398	89.6337	48.3398	91.6479	48.3398	91.1936	48.3398	90.2306	48.3398	91.3707
51.2695	93.4459	51.2695	89.8379	51.2695	91.9108	51.2695	91.3667	51.2695	90.1342	51.2695	91.5401
52.7344	93.3931	52.7344	89.8274	52.7344	91.8856	52.7344	91.3282	52.7344	90.0482	52.7344	91.4971
54.1992	93.3903	54.1992	89.8804	54.1992	91.9094	54.1992	91.3381	54.1992	90.0065	54.1992	91.5046
55.6641	93.4333	55.6641	89.995	55.6641	91.9532	55.6641	91.4214	55.6641	90.2013	55.6641	91.5872
58.5938	93.384	58.5938	89.9171	58.5938	91.8929	58.5938	91.3718	58.5938	90.3647	58.5938	91.5631
60.0586	93.3284	60.0586	89.8624	60.0586	91.8434	60.0586	91.3078	60.0586	90.3429	60.0586	91.5125
62.9883	93.104	62.9883	89.5951	62.9883	91.6289	62.9883	91.0366	62.9883	90.0645	62.9883	91.2673
64.4531	93.0135	64.4531	89.4751	64.4531	91.5332	64.4531	90.9245	64.4531	89.9535	64.4531	91.1645
67.3828	92.8963	67.3828	89.2283	67.3828	91.3903	67.3828	90.7319	67.3828	89.7188	67.3828	90.9924
68.8477	92.8624	68.8477	89.1245	68.8477	91.3519	68.8477	90.6683	68.8477	89.6393	68.8477	90.9358
71.7773	92.8929	71.7773	89.2025	71.7773	91.4423	71.7773	90.6821	71.7773	89.5321	71.7773	90.9626
74.707	92.901	74.707	89.2677	74.707	91.4858	74.707	90.6888	74.707	89.4476	74.707	90.9729
77.6367	92.858	77.6367	89.2321	77.6367	91.449	77.6367	90.6366	77.6367	89.4935	77.6367	90.9432
79.1016	92.8101	79.1016	89.1686	79.1016	91.4062	79.1016	90.5645	79.1016	89.4225	79.1016	90.8865
82.0312	92.7633	82.0312	89.1222	82.0312	91.3808	82.0312	90.4655	82.0312	89.2136	82.0312	90.8122
84.9609	92.709	84.9609	89.0465	84.9609	91.3412	84.9609	90.3664	84.9609	88.9587	84.9609	90.7229
87.8906	92.4429	87.8906	88.782	87.8906	91.0651	87.8906	90.0983	87.8906	88.6933	87.8906	90.4544
90.8203	92.2567	90.8203	88.4069	90.8203	90.8195	90.8203	89.7905	90.8203	88.6369	90.8203	90.2247
95.2148	92.2515	95.2148	88.2308	95.2148	90.8611	95.2148	89.6293	95.2148	88.0381	95.2148	90.1019
98.1445	91.8504	98.1445	87.9709	98.1445	90.5241	98.1445	89.3085	98.1445	87.4992	98.1445	89.7325
101.074	91.4687	101.074	87.4246	101.074	90.0862	101.074	88.7953	101.074	87.1389	101.074	89.2945
105.469	91.8172	105.469	87.159	105.469	90.4073	105.469	88.7497	105.469	86.2802	105.469	89.3574
108.398	91.9181	108.398	87.4271	108.398	90.6434	108.398	89.0649	108.398	85.9579	108.398	89.5119
112.793	91.6372	112.793	87.3395	112.793	90.4685	112.793	88.9061	112.793	85.9863	112.793	89.3327
117.188	91.0498	117.188	86.7709	117.188	89.9063	117.188	88.261	117.188	85.0413	117.188	88.712
120.117	90.7565	120.117	86.4492	120.117	89.6379	120.117	87.8956	120.117	84.2523	120.117	88.3682
124.512	89.9517	124.512	85.9177	124.512	88.9114	124.512	87.251	124.512	82.9109	124.512	87.6108
128.906	88.8251	128.906	84.4025	128.906	87.651	128.906	85.9409	128.906	81.9331	128.906	86.3741
133.301	88.791	133.301	83.2617	133.301	87.4213	133.301	85.5671	133.301	81.0261	133.301	86.0383
139.16	91.6243	139.16	87.9807	139.16	90.9667	139.16	89.4751	139.16	85.9003	139.16	89.6438
143.555	89.0408	143.555	86.9955	143.555	89.0497	143.555	87.5917	143.555	84.6039	143.555	87.7364
147.949	87.4698	147.949	85.8522	147.949	87.7842	147.949	86.1453	147.949	83.1151	147.949	86.3551
153.809	87.3448	153.809	85.7507	153.809	87.8373	153.809	85.9386	153.809	82.7516	153.809	86.2474
159.668	89.0058	159.668	86.3646	159.668	88.7905	159.668	86.7092	159.668	83.864	159.668	87.3198
165.527	91.1828	165.527	87.7268	165.527	90.9405	165.527	88.9141	165.527	85.7416	165.527	89.3462
171.387	92.3415	171.387	88.9131	171.387	91.9721	171.387	90.0397	171.387	86.5701	171.387	90.4383
177.246	92.7819	177.246	89.5603	177.246	92.3905	177.246	90.5764	177.246	87.1662	177.246	90.9327
183.105	92.1658	183.105	88.7656	183.105	91.5545	183.105	89.7936	183.105	87.1613	183.105	90.2557
