"Vertical Reflections"					
"Floor Reflection"		"Ceiling Reflection"		"Total Vertical Reflection"	
"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"	"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"	"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"
20.5078	30.8718	20.5078	45.1216	20.5078	42.2715
21.9727	58.6793	21.9727	54.93	21.9727	57.1973
23.4375	61.471	23.4375	58.0081	23.4375	60.0759
24.9023	65.4223	24.9023	61.1226	24.9023	63.7842
26.3672	69.8746	26.3672	65.9568	26.3672	68.3433
27.832	72.8859	27.832	68.9874	27.832	71.3602
29.2969	75.6417	29.2969	71.8339	29.2969	74.1424
30.7617	78.1419	30.7617	74.4777	30.7617	76.6853
32.2266	80.6133	32.2266	76.8896	32.2266	79.1389
33.6914	82.9843	33.6914	79.3192	33.6914	81.5274
35.1562	84.9017	35.1562	81.2692	35.1562	83.4547
36.6211	86.6553	36.6211	83.0489	36.6211	85.2162
38.0859	88.304	38.0859	84.562	38.0859	86.8241
39.5508	89.7254	39.5508	85.9903	39.5508	88.2476
41.0156	90.9687	41.0156	87.2846	41.0156	89.5061
42.4805	91.7646	42.4805	88.1694	42.4805	90.3289
43.9453	92.311	43.9453	88.7508	43.9453	90.8859
45.4102	92.6218	45.4102	89.0144	45.4102	91.1824
46.875	92.9523	46.875	89.3302	46.875	91.5084
48.3398	93.2306	48.3398	89.6337	48.3398	91.7944
51.2695	93.4459	51.2695	89.8379	51.2695	92.0063
52.7344	93.3931	52.7344	89.8274	52.7344	91.9664
54.1992	93.3903	54.1992	89.8804	54.1992	91.9807
55.6641	93.4333	55.6641	89.995	55.6641	92.0459
58.5938	93.384	58.5938	89.9171	58.5938	91.9877
60.0586	93.3284	60.0586	89.8624	60.0586	91.9323
62.9883	93.104	62.9883	89.5951	62.9883	91.6947
64.4531	93.0135	64.4531	89.4751	64.4531	91.5951
67.3828	92.8963	67.3828	89.2283	67.3828	91.4386
68.8477	92.8624	68.8477	89.1245	68.8477	91.3838
71.7773	92.8929	71.7773	89.2025	71.7773	91.4284
74.707	92.901	74.707	89.2677	74.707	91.4537
77.6367	92.858	77.6367	89.2321	77.6367	91.4129
79.1016	92.8101	79.1016	89.1686	79.1016	91.3603
82.0312	92.7633	82.0312	89.1222	82.0312	91.3137
84.9609	92.709	84.9609	89.0465	84.9609	91.2529
87.8906	92.4429	87.8906	88.782	87.8906	90.9873
90.8203	92.2567	90.8203	88.4069	90.8203	90.7451
95.2148	92.2515	95.2148	88.2308	95.2148	90.6907
98.1445	91.8504	98.1445	87.9709	98.1445	90.3301
101.074	91.4687	101.074	87.4246	101.074	89.9013
105.469	91.8172	105.469	87.159	105.469	90.0849
108.398	91.9181	108.398	87.4271	108.398	90.2289
112.793	91.6372	112.793	87.3395	112.793	89.9996
117.188	91.0498	117.188	86.7709	117.188	89.4173
120.117	90.7565	120.117	86.4492	120.117	89.1163
124.512	89.9517	124.512	85.9177	124.512	88.3872
128.906	88.8251	128.906	84.4025	128.906	87.154
133.301	88.791	133.301	83.2617	133.301	86.8526
139.16	91.6243	139.16	87.9807	139.16	90.1739
143.555	89.0408	143.555	86.9955	143.555	88.1375
147.949	87.4698	147.949	85.8522	147.949	86.7359
153.809	87.3448	153.809	85.7507	153.809	86.6205
159.668	89.0058	159.668	86.3646	159.668	87.883
165.527	91.1828	165.527	87.7268	165.527	89.7899
171.387	92.3415	171.387	88.9131	171.387	90.9572
177.246	92.7819	177.246	89.5603	177.246	91.4632
183.105	92.1658	183.105	88.7656	183.105	90.7903
188.965	92.324	188.965	87.9605	188.965	90.6686
196.289	93.2492	196.289	89.1826	196.289	91.6755
203.613	92.0649	203.613	89.2414	203.613	90.8786
210.938	91.6956	210.938	87.9866	210.938	90.2256
218.262	91.2447	218.262	87.5172	218.262	89.7691
225.586	91.5829	225.586	87.7997	225.586	90.0909
232.91	91.9986	232.91	88.3561	232.91	90.5485
241.699	91.4456	241.699	87.4619	241.699	89.8954
250.488	91.4041	250.488	87.3924	250.488	89.8459
259.277	92.4244	259.277	87.9156	259.277	90.7306
268.066	90.6524	268.066	88.1812	268.066	89.5903
276.855	90.3292	276.855	87.326	276.855	89.0822
287.109	89.9906	287.109	86.64	287.109	88.6307
297.363	89.3248	297.363	87.1238	297.363	88.3623
307.617	90.9674	307.617	87.4198	307.617	89.5462
319.336	90.905	319.336	85.758	319.336	89.0531
329.59	92.5623	329.59	86.4669	329.59	90.5063
341.309	91.9453	341.309	86.4333	341.309	90.0107
353.027	91.4069	353.027	87.1759	353.027	89.7875
366.211	89.1791	366.211	87.4566	366.211	88.4027
379.395	89.3142	379.395	87.2113	379.395	88.3888
392.578	89.0414	392.578	86.7092	392.578	88.03
405.762	89.5142	405.762	86.9001	405.762	88.4009
420.41	90.6521	420.41	87.8406	420.41	89.47
435.059	88.8509	435.059	87.8473	435.059	88.378
451.172	85.2582	451.172	89.8456	451.172	88.1314
465.82	85.115	465.82	90.0496	465.82	88.2484
483.398	87.9209	483.398	90.5243	483.398	89.4148
499.512	86.696	499.512	89.4039	499.512	88.2577
517.09	86.5639	517.09	88.8937	517.09	87.8832
536.133	85.6322	536.133	89.9061	536.133	88.275
555.176	86.1145	555.176	88.3425	555.176	87.3698
574.219	86.9317	574.219	85.0042	574.219	86.074
594.727	85.622	594.727	85.7104	594.727	85.6665
615.234	86.3217	615.234	85.6482	615.234	85.998
637.207	87.0551	637.207	84.6	637.207	85.9988
659.18	87.6261	659.18	84.8549	659.18	86.4579
682.617	87.0823	682.617	84.6777	682.617	86.0444
707.52	88.1439	707.52	84.6166	707.52	86.729
732.422	88.7415	732.422	84.3271	732.422	87.0725
757.324	87.9987	757.324	83.9396	757.324	86.427
785.156	88.4059	785.156	84.9134	785.156	87.0017
811.523	88.9927	811.523	85.0884	811.523	87.4653
840.82	88.5134	840.82	83.3342	840.82	86.654
870.117	90.2586	870.117	84.6824	870.117	88.31
900.879	88.8599	900.879	83.9887	900.879	87.0742
933.105	88.9333	933.105	82.6496	933.105	86.8407
965.332	89.8739	965.332	83.6881	965.332	87.8002
1,000.49	88.6602	1,000.49	83.3162	1,000.49	86.763
1,035.64	87.3134	1,035.64	83.1912	1,035.64	85.7241
1,072.27	88.2141	1,072.27	83.6864	1,072.27	86.5153
1,108.89	88.6373	1,108.89	83.2014	1,108.89	86.7195
1,148.44	87.0291	1,148.44	83.3101	1,148.44	85.5561
1,189.45	85.2665	1,189.45	80.8979	1,189.45	83.6098
1,230.47	84.8704	1,230.47	81.1162	1,230.47	83.3869
1,274.41	85.1081	1,274.41	81.3008	1,274.41	83.609
1,319.82	87.2453	1,319.82	80.2609	1,319.82	85.0277
1,366.7	86.8196	1,366.7	79.7215	1,366.7	84.5832
1,413.57	87.7133	1,413.57	77.5907	1,413.57	85.1059
1,463.38	86.443	1,463.38	75.9868	1,463.38	83.807
1,516.11	85.5335	1,516.11	74.0795	1,516.11	82.8233
1,568.85	83.9277	1,568.85	76.8857	1,568.85	81.7006
1,624.51	82.259	1,624.51	77.94	1,624.51	80.6156
1,681.64	82.3198	1,681.64	77.5245	1,681.64	80.5529
1,741.7	83.8042	1,741.7	76.0044	1,741.7	81.4608
1,803.22	84.155	1,803.22	75.2262	1,803.22	81.6677
1,866.21	84.2048	1,866.21	74.5319	1,866.21	81.6392
1,932.13	83.6016	1,932.13	73.676	1,932.13	81.012
1,999.51	83.2048	1,999.51	76.3788	1,999.51	81.0141
2,069.82	82.2877	2,069.82	76.1892	2,069.82	80.231
2,143.07	80.4645	2,143.07	76.6715	2,143.07	78.9696
2,219.24	80.1084	2,219.24	76.5668	2,219.24	78.6891
2,296.88	81.232	2,296.88	75.1043	2,296.88	79.1696
2,378.91	83.74	2,378.91	73.762	2,378.91	81.1456
2,462.4	84.3678	2,462.4	77.9901	2,462.4	82.2575
2,548.83	83.6117	2,548.83	79.0836	2,548.83	81.9128
2,639.65	83.0015	2,639.65	80.1344	2,639.65	81.8004
2,731.93	82.7339	2,731.93	79.2701	2,731.93	81.3386
2,828.61	81.5137	2,828.61	78.0701	2,828.61	80.1246
2,928.22	79.9624	2,928.22	75.7916	2,928.22	78.3596
3,030.76	79.1901	3,030.76	74.3513	3,030.76	77.4124
3,137.7	79.7363	3,137.7	75.3191	3,137.7	78.0666
3,249.02	81.0252	3,249.02	74.6688	3,249.02	78.9189
3,363.28	81.5925	3,363.28	72.8292	3,363.28	79.1243
3,481.93	83.5247	3,481.93	72.979	3,481.93	80.8814
3,604.98	85.6964	3,604.98	76.6196	3,604.98	83.1925
3,732.42	85.8096	3,732.42	79.2021	3,732.42	83.6572
3,864.26	87.8112	3,864.26	81.599	3,864.26	85.7324
4,000.49	89.592	4,000.49	83.0007	4,000.49	87.4425
4,141.11	88.4043	4,141.11	82.1122	4,141.11	86.3101
4,287.6	85.863	4,287.6	79.1889	4,287.6	83.6987
4,438.48	83.3231	4,438.48	75.3528	4,438.48	80.9558
4,595.21	82.9671	4,595.21	73.4022	4,595.21	80.4121
4,756.35	83.5846	4,756.35	74.4958	4,756.35	81.0794
4,924.8	82.2176	4,924.8	74.7517	4,924.8	79.9233
5,097.66	81.6892	5,097.66	75.455	5,097.66	79.6061
5,277.83	80.496	5,277.83	75.7704	5,277.83	78.7466
5,463.87	81.7205	5,463.87	75.2657	5,463.87	79.5958
5,657.23	79.6351	5,657.23	75.0434	5,657.23	77.9198
5,856.45	78.7548	5,856.45	76.1441	5,856.45	77.6428
6,062.99	78.7502	6,062.99	76.8887	6,062.99	77.9184
6,276.86	79.6931	6,276.86	75.9964	6,276.86	78.2267
6,498.05	79.4893	6,498.05	73.3238	6,498.05	77.4195
6,726.56	79.8072	6,726.56	70.3972	6,726.56	77.2679
6,963.87	80.319	6,963.87	70.4603	6,963.87	77.7356
7,209.96	78.3249	7,209.96	70.1979	7,209.96	75.9363
7,464.84	76.6346	7,464.84	70.5639	7,464.84	74.5834
7,727.05	80.5887	7,727.05	72.4347	7,727.05	78.1966
7,999.51	81.8878	7,999.51	72.3388	7,999.51	79.3344
8,282.23	83.7579	8,282.23	73.5697	8,282.23	81.1447
8,573.73	80.2033	8,573.73	74.6399	8,573.73	78.2574
8,876.95	79.7388	8,876.95	73.4159	8,876.95	77.6388
9,188.96	80.4073	9,188.96	70.846	9,188.96	77.8527
9,514.16	81.6017	9,514.16	73.2117	9,514.16	79.179
9,849.61	84.7177	9,849.61	73.3697	9,849.61	82.0146
10,196.8	85.9306	10,196.8	73.3574	10,196.8	83.1541
10,555.7	72.5026	10,555.7	62.2057	10,555.7	69.8801
10,927.7	84.2201	10,927.7	70.2246	10,927.7	81.3796
11,313	85.228	11,313	71.4324	11,313	82.3952
11,712.9	88.2696	11,712.9	73.4166	11,712.9	85.3991
12,126	88.8618	12,126	73.9378	12,126	85.9891
12,553.7	88.9195	12,553.7	70.4969	12,553.7	85.9712
12,996.1	88.4082	12,996.1	72.1187	12,996.1	85.4988
13,454.6	87.7325	13,454.6	74.4252	13,454.6	84.9204
13,929.2	92.3039	13,929.2	81.6913	13,929.2	89.6553
14,419.9	89.7983	14,419.9	79.9351	14,419.9	87.2146
14,928.2	88.2984	14,928.2	78.4843	14,928.2	85.7193
15,455.6	85.9946	15,455.6	78.7958	15,455.6	83.742
16,000.5	81.2096	16,000.5	77.6137	16,000.5	79.7736
16,564.5	78.1892	16,564.5	75.6012	16,564.5	77.0852
17,148.9	78.5996	17,148.9	72.0575	17,148.9	76.459
17,752.4	83.6218	17,752.4	71.8873	17,752.4	80.8935
18,379.4	82.8557	18,379.4	71.9727	18,379.4	80.1861
19,026.9	71.4654	19,026.9	71.1644	19,026.9	71.3175
19,697.8	78.1146	19,697.8	70.1666	19,697.8	75.7504
19,999.5	78.1572	19,999.5	68.6175	19,999.5	75.6047
