"Estimated In-Room Response"	
"Estimated In-Room Response"	
"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"
20.5078	46.0311
21.9727	57.6411
23.4375	60.1379
24.9023	63.6747
26.3672	68.3212
27.832	71.3478
29.2969	73.9977
30.7617	76.5321
32.2266	78.9529
33.6914	81.3228
35.1562	83.2391
36.6211	84.991
38.0859	86.4953
39.5508	87.8605
41.0156	89.1065
42.4805	89.9391
43.9453	90.5157
45.4102	90.8102
46.875	91.1402
48.3398	91.4045
51.2695	91.5356
52.7344	91.4812
54.1992	91.4754
55.6641	91.5662
58.5938	91.559
60.0586	91.5051
62.9883	91.2471
64.4531	91.1416
67.3828	90.9587
68.8477	90.9004
71.7773	90.9007
74.707	90.8929
77.6367	90.8625
79.1016	90.7987
82.0312	90.7017
84.9609	90.5971
87.8906	90.3333
90.8203	90.112
95.2148	89.9262
98.1445	89.5541
101.074	89.1129
105.469	89.0585
108.398	89.1795
112.793	89.0065
117.188	88.3554
120.117	87.9668
124.512	87.1943
128.906	85.9748
133.301	85.5972
139.16	89.2456
143.555	87.3605
147.949	85.9517
153.809	85.8225
159.668	86.9136
165.527	88.9559
171.387	90.0496
177.246	90.5393
183.105	89.8841
188.965	89.658
196.289	90.5207
203.613	89.8242
210.938	89.2228
218.262	88.7226
225.586	89.0546
232.91	89.6342
241.699	88.7618
250.488	88.8158
259.277	89.6665
268.066	88.7864
276.855	88.4375
287.109	88.2192
297.363	88.1545
307.617	88.6743
319.336	88.379
329.59	89.8519
341.309	89.4588
353.027	89.438
366.211	88.3766
379.395	88.2604
392.578	88.3613
405.762	88.5601
420.41	89.1579
435.059	87.9535
451.172	87.7636
465.82	87.5405
483.398	88.3448
499.512	87.3384
517.09	86.9579
536.133	86.8873
555.176	85.5026
574.219	85.7154
594.727	84.9474
615.234	85.1048
637.207	84.9176
659.18	84.5783
682.617	84.948
707.52	84.8944
732.422	85.2122
757.324	84.6181
785.156	84.7418
811.523	85.2303
840.82	84.6409
870.117	85.2974
900.879	85.109
933.105	85.1461
965.332	85.5339
1,000.49	84.7218
1,035.64	84.5974
1,072.27	84.5049
1,108.89	84.5596
1,148.44	84.6567
1,189.45	83.9302
1,230.47	83.8705
1,274.41	84.0457
1,319.82	84.361
1,366.7	84.5471
1,413.57	84.4359
1,463.38	83.7222
1,516.11	83.4775
1,568.85	82.5464
1,624.51	82.0057
1,681.64	82.4463
1,741.7	82.9798
1,803.22	83.3085
1,866.21	83.1299
1,932.13	82.4922
1,999.51	82.5512
2,069.82	82.3062
2,143.07	82.7597
2,219.24	82.6855
2,296.88	82.064
2,378.91	81.8002
2,462.4	82.1643
2,548.83	82.9157
2,639.65	82.6272
2,731.93	81.4815
2,828.61	80.8096
2,928.22	80.4875
3,030.76	80.2633
3,137.7	81.0284
3,249.02	81.6592
3,363.28	81.6523
3,481.93	82.755
3,604.98	83.662
3,732.42	84.5659
3,864.26	85.5809
4,000.49	85.8051
4,141.11	85.5057
4,287.6	84.4431
4,438.48	83.7832
4,595.21	84.035
4,756.35	84.3159
4,924.8	83.9839
5,097.66	83.8703
5,277.83	83.5859
5,463.87	83.7885
5,657.23	82.4248
5,856.45	82.8811
6,062.99	82.9189
6,276.86	83.0023
6,498.05	83.4416
6,726.56	83.0862
6,963.87	81.6738
7,209.96	81.4138
7,464.84	80.7884
7,727.05	81.6082
7,999.51	83.5875
8,282.23	84.8988
8,573.73	83.2815
8,876.95	82.5339
9,188.96	82.0471
9,514.16	83.2006
9,849.61	86.6062
10,196.8	85.552
10,555.7	76.717
10,927.7	84.1583
11,313	85.9029
11,712.9	87.6175
12,126	87.9875
12,553.7	86.6089
12,996.1	83.8333
13,454.6	83.239
13,929.2	86.8089
14,419.9	87.3931
14,928.2	89
15,455.6	86.7487
16,000.5	88.5202
16,564.5	88.1761
17,148.9	77.4502
17,752.4	85.0931
18,379.4	85.4704
19,026.9	83.6368
19,697.8	81.6525
19,999.5	81.2618
