Freq[Hz]      Mag   Phase[Deg]
5.00000    -55.591     0.000
5.07273    -54.932     0.000
5.14651    -54.273     0.000
5.22137    -53.286     0.000
5.29732    -52.299     0.000
5.37437    -51.284     0.000
5.45254    -50.269     0.000
5.53185    -49.254     0.000
5.61231    -48.238     0.000
5.69394    -47.223     0.000
5.77676    -46.208     0.000
5.86079    -45.193     0.000
5.94604    -44.178     0.000
6.03252    -43.163     0.000
6.12027    -42.148     0.000
6.20929    -41.133     0.000
6.29961    -40.118     0.000
6.39124    -39.103     0.000
6.48420    -38.088     0.000
6.57851    -37.073     0.000
6.67420    -36.058     0.000
6.77128    -35.043     0.000
6.86977    -34.028     0.000
6.96969    -33.013     0.000
7.07107    -31.998     0.000
7.17392    -30.983     0.000
7.27827    -29.968     0.000
7.38413    -28.953     0.000
7.49154    -27.938     0.000
7.60050    -26.923     0.000
7.71105    -25.907     0.000
7.82321    -24.892     0.000
7.93701    -23.877     0.000
8.05245    -22.862     0.000
8.16958    -21.847     0.000
8.28841    -20.832     0.000
8.40896    -19.817     0.000
8.53128    -18.802     0.000
8.65537    -17.787     0.000
8.78126    -16.772     0.000
8.90899    -15.757     0.000
9.03857    -14.742     0.000
9.17004    -13.727     0.000
9.30342    -12.712     0.000
9.43874    -11.697     0.000
9.57603    -10.682     0.000
9.71532     -9.667     0.000
9.85663     -8.652     0.000
10.0000     -7.637     0.000
10.1455     -6.622     0.000
10.2930     -5.607     0.000
10.4427     -4.591     0.000
10.5946     -3.576     0.000
10.7487     -2.561     0.000
10.9051     -1.546     0.000
11.0637     -0.531     0.000
11.2246      0.484     0.000
11.3879      1.499     0.000
11.5535      2.514     0.000
11.7216      3.529     0.000
11.8921      4.544     0.000
12.0650      5.559     0.000
12.2405      6.574     0.000
12.4186      7.589     0.000
12.5992      8.604     0.000
12.7825      9.619     0.000
12.9684     10.634     0.000
13.1570     11.649     0.000
13.3484     12.664     0.000
13.5426     13.679     0.000
13.7395     14.694     0.000
13.9394     15.709     0.000
14.1421     16.724     0.000
14.3478     17.740     0.000
14.5565     18.755     0.000
14.7683     19.770     0.000
14.9831     20.785     0.000
15.2010     21.800     0.000
15.4221     22.815     0.000
15.6464     23.830     0.000
15.8740     24.845     0.000
16.1049     25.860     0.000
16.3392     26.875     0.000
16.5768     27.890     0.000
16.8179     28.905     0.000
17.0626     29.920     0.000
17.3107     30.935     0.000
17.5625     31.950     0.000
17.8180     32.965     0.000
18.0771     33.980     0.000
18.3401     34.995     0.000
18.6068     36.010     0.000
18.8775     37.025     0.000
19.1521     38.040     0.000
19.4306     39.055     0.000
19.7133     40.074     0.000
20.0000     41.093     0.000
20.2909     42.221     0.000
20.5860     43.348     0.000
20.8855     44.667     0.000
21.1893     45.985     0.000
21.4975     47.175     0.000
21.8102     48.365     0.000
22.1274     49.266     0.000
22.4492     50.168     0.000
22.7758     50.944     0.000
23.1071     51.720     0.000
23.4432     52.639     0.000
23.7841     53.559     0.000
24.1301     54.646     0.000
24.4811     55.733     0.000
24.8372     56.813     0.000
25.1984     57.894     0.000
25.5649     58.924     0.000
25.9368     59.953     0.000
26.3141     60.968     0.000
26.6968     61.984     0.000
27.0851     62.951     0.000
27.4791     63.918     0.000
27.8788     64.817     0.000
28.2843     65.716     0.000
28.6957     66.578     0.000
29.1131     67.440     0.000
29.5365     68.281     0.000
29.9661     69.122     0.000
