Freq[Hz]      Mag   Phase[Deg]
30.4020     69.959     0.000
30.8442     70.773     0.000
31.2929     71.518     0.000
31.7480     72.262     0.000
32.2098     72.979     0.000
32.6783     73.695     0.000
33.1536     74.393     0.000
33.6359     75.091     0.000
34.1251     75.730     0.000
34.6215     76.370     0.000
35.1250     76.931     0.000
35.6359     77.494     0.000
36.1543     77.997     0.000
36.6802     78.503     0.000
37.2137     78.943     0.000
37.7550     79.387     0.000
38.3041     79.702     0.000
38.8613     80.019     0.000
39.4265     80.214     0.000
40.0000     80.411     0.000
40.5818     80.541     0.000
41.1721     80.672     0.000
41.7710     80.728     0.000
42.3785     80.782     0.000
42.9949     80.746     0.000
43.6203     80.704     0.000
44.2548     80.591     0.000
44.8985     80.473     0.000
45.5515     80.360     0.000
46.2141     80.242     0.000
46.8863     80.161     0.000
47.5683     80.078     0.000
48.2602     80.032     0.000
48.9621     79.987     0.000
49.6743     80.005     0.000
50.3968     80.027     0.000
51.1299     80.057     0.000
51.8736     80.094     0.000
52.6281     80.138     0.000
53.3936     80.189     0.000
54.1702     80.237     0.000
54.9581     80.287     0.000
55.7575     80.274     0.000
56.5685     80.257     0.000
57.3914     80.233     0.000
58.2261     80.202     0.000
59.0730     80.180     0.000
59.9323     80.153     0.000
60.8040     80.069     0.000
61.6884     79.989     0.000
62.5857     79.944     0.000
63.4960     79.906     0.000
64.4196     79.947     0.000
65.3566     79.991     0.000
66.3073     80.009     0.000
67.2717     80.023     0.000
68.2502     79.984     0.000
69.2429     79.936     0.000
70.2501     79.852     0.000
71.2719     79.767     0.000
72.3086     79.706     0.000
73.3603     79.649     0.000
74.4274     79.670     0.000
75.5099     79.691     0.000
76.6083     79.764     0.000
77.7226     79.833     0.000
78.8531     79.866     0.000
80.0000     79.904     0.000
81.1636     79.881     0.000
82.3442     79.866     0.000
83.5419     79.877     0.000
84.7570     79.889     0.000
85.9899     79.906     0.000
87.2406     79.913     0.000
88.5096     79.878     0.000
89.7970     79.842     0.000
91.1031     79.864     0.000
92.4282     79.899     0.000
93.7726     79.987     0.000
95.1366     80.077     0.000
96.5204     80.093     0.000
97.9243     80.089     0.000
99.3486     80.011     0.000
100.794     79.927     0.000
102.260     79.907     0.000
103.747     79.898     0.000
105.256     79.922     0.000
106.787     79.953     0.000
108.340     79.957     0.000
109.916     79.957     0.000
111.515     79.951     0.000
113.137     79.944     0.000
114.783     79.941     0.000
116.452     79.941     0.000
118.146     79.954     0.000
119.865     79.964     0.000
