Freq[Hz]      Mag   Phase[Deg]
5.00000    -53.449     0.000
5.07273    -52.876     0.000
5.14651    -52.302     0.000
5.22137    -51.398     0.000
5.29732    -50.492     0.000
5.37437    -49.557     0.000
5.45254    -48.620     0.000
5.53185    -47.682     0.000
5.61231    -46.742     0.000
5.69394    -45.801     0.000
5.77676    -44.858     0.000
5.86079    -43.915     0.000
5.94604    -42.969     0.000
6.03252    -42.023     0.000
6.12027    -41.075     0.000
6.20929    -40.126     0.000
6.29961    -39.175     0.000
6.39124    -38.223     0.000
6.48420    -37.270     0.000
6.57851    -36.316     0.000
6.67420    -35.360     0.000
6.77128    -34.403     0.000
6.86977    -33.445     0.000
6.96969    -32.486     0.000
7.07107    -31.526     0.000
7.17392    -30.564     0.000
7.27827    -29.602     0.000
7.38413    -28.638     0.000
7.49154    -27.673     0.000
7.60050    -26.706     0.000
7.71105    -25.739     0.000
7.82321    -24.771     0.000
7.93701    -23.802     0.000
8.05245    -22.832     0.000
8.16958    -21.861     0.000
8.28841    -20.890     0.000
8.40896    -19.917     0.000
8.53128    -18.943     0.000
8.65537    -17.969     0.000
8.78126    -16.993     0.000
8.90899    -16.017     0.000
9.03857    -15.040     0.000
9.17004    -14.062     0.000
9.30342    -13.084     0.000
9.43874    -12.104     0.000
9.57603    -11.124     0.000
9.71532    -10.143     0.000
9.85663     -9.161     0.000
10.0000     -8.179     0.000
10.1455     -7.196     0.000
10.2930     -6.212     0.000
10.4427     -5.227     0.000
10.5946     -4.241     0.000
10.7487     -3.256     0.000
10.9051     -2.270     0.000
11.0637     -1.283     0.000
11.2246     -0.295     0.000
11.3879      0.693     0.000
11.5535      1.682     0.000
11.7216      2.670     0.000
11.8921      3.660     0.000
12.0650      4.651     0.000
12.2405      5.642     0.000
12.4186      6.633     0.000
12.5992      7.625     0.000
12.7825      8.617     0.000
12.9684      9.610     0.000
13.1570     10.603     0.000
13.3484     11.597     0.000
13.5426     12.591     0.000
13.7395     13.586     0.000
13.9394     14.581     0.000
14.1421     15.577     0.000
14.3478     16.574     0.000
14.5565     17.570     0.000
14.7683     18.567     0.000
14.9831     19.564     0.000
15.2010     20.562     0.000
15.4221     21.560     0.000
15.6464     22.558     0.000
15.8740     23.557     0.000
16.1049     24.556     0.000
16.3392     25.555     0.000
16.5768     26.555     0.000
16.8179     27.556     0.000
17.0626     28.556     0.000
17.3107     29.557     0.000
17.5625     30.558     0.000
17.8180     31.559     0.000
18.0771     32.562     0.000
18.3401     33.564     0.000
18.6068     34.566     0.000
18.8775     35.569     0.000
19.1521     36.572     0.000
19.4306     37.576     0.000
19.7133     38.583     0.000
20.0000     39.592     0.000
20.2909     40.708     0.000
20.5860     41.840     0.000
20.8855     43.160     0.000
21.1893     44.478     0.000
21.4975     45.665     0.000
21.8102     46.850     0.000
22.1274     47.745     0.000
22.4492     48.638     0.000
22.7758     49.404     0.000
23.1071     50.168     0.000
23.4432     51.075     0.000
23.7841     51.981     0.000
24.1301     53.055     0.000
24.4811     54.128     0.000
24.8372     55.196     0.000
25.1984     56.264     0.000
25.5649     57.283     0.000
25.9368     58.303     0.000
26.3141     59.311     0.000
26.6968     60.322     0.000
27.0851     61.285     0.000
27.4791     62.250     0.000
27.8788     63.149     0.000
28.2843     64.049     0.000
28.6957     64.913     0.000
29.1131     65.778     0.000
29.5365     66.622     0.000
29.9661     67.466     0.000
30.4020     68.285     0.000
30.8442     69.103     0.000
31.2929     69.853     0.000
31.7480     70.602     0.000
32.2098     71.324     0.000
32.6783     72.045     0.000
33.1536     72.748     0.000
33.6359     73.451     0.000
34.1251     74.094     0.000
34.6215     74.738     0.000
35.1250     75.304     0.000
35.6359     75.871     0.000
36.1543     76.379     0.000
36.6802     76.889     0.000
37.2137     77.334     0.000
37.7550     77.781     0.000
38.3041     78.097     0.000
38.8613     78.413     0.000
39.4265     78.606     0.000
40.0000     78.797     0.000
40.5818     78.918     0.000
41.1721     79.036     0.000
41.7710     79.078     0.000
42.3785     79.117     0.000
42.9949     79.064     0.000
43.6203     79.009     0.000
44.2548     78.886     0.000
44.8985     78.761     0.000
45.5515     78.648     0.000
46.2141     78.536     0.000
46.8863     78.467     0.000
47.5683     78.401     0.000
