* Freq[Hz]      Mag   Phase[Deg]
5.00000      0.165     0.000
5.07273      0.167     0.000
5.14651      0.170     0.000
5.22137      0.174     0.000
5.29732      0.178     0.000
5.37437      0.182     0.000
5.45254      0.185     0.000
5.53185      0.189     0.000
5.61231      0.192     0.000
5.69394      0.196     0.000
5.77676      0.199     0.000
5.86079      0.203     0.000
5.94604      0.206     0.000
6.03252      0.209     0.000
6.12027      0.212     0.000
6.20929      0.214     0.000
6.29961      0.217     0.000
6.39124      0.219     0.000
6.48420      0.221     0.000
6.57851      0.223     0.000
6.67420      0.224     0.000
6.77128      0.226     0.000
6.86977      0.227     0.000
6.96969      0.227     0.000
7.07107      0.227     0.000
7.17392      0.227     0.000
7.27827      0.227     0.000
7.38413      0.226     0.000
7.49154      0.224     0.000
7.60050      0.222     0.000
7.71105      0.220     0.000
7.82321      0.217     0.000
7.93701      0.213     0.000
8.05245      0.209     0.000
8.16958      0.205     0.000
8.28841      0.200     0.000
8.40896      0.194     0.000
8.53128      0.188     0.000
8.65537      0.181     0.000
8.78126      0.174     0.000
8.90899      0.166     0.000
9.03857      0.157     0.000
9.17004      0.148     0.000
9.30342      0.139     0.000
9.43874      0.129     0.000
9.57603      0.118     0.000
9.71532      0.090     0.000
9.85663      0.073     0.000
10.0000      0.061     0.000
10.1455      0.060     0.000
10.2930      0.056     0.000
10.4427      0.049     0.000
10.5946      0.037     0.000
10.7487      0.025     0.000
10.9051      0.014     0.000
11.0637      0.002     0.000
11.2246     -0.009     0.000
11.3879     -0.019     0.000
11.5535     -0.029     0.000
11.7216     -0.039     0.000
11.8921     -0.048     0.000
12.0650     -0.058     0.000
12.2405     -0.067     0.000
12.4186     -0.073     0.000
12.5992     -0.077     0.000
12.7825     -0.080     0.000
12.9684     -0.082     0.000
13.1570     -0.083     0.000
13.3484     -0.082     0.000
13.5426     -0.079     0.000
13.7395     -0.075     0.000
13.9394     -0.066     0.000
14.1421     -0.055     0.000
14.3478     -0.046     0.000
14.5565     -0.037     0.000
14.7683     -0.026     0.000
14.9831     -0.014     0.000
15.2010     -0.001     0.000
15.4221      0.012     0.000
15.6464      0.029     0.000
15.8740      0.050     0.000
16.1049      0.068     0.000
16.3392      0.083     0.000
16.5768      0.096     0.000
16.8179      0.108     0.000
17.0626      0.119     0.000
17.3107      0.129     0.000
17.5625      0.138     0.000
17.8180      0.144     0.000
18.0771      0.149     0.000
18.3401      0.151     0.000
18.6068      0.150     0.000
18.8775      0.148     0.000
19.1521      0.144     0.000
19.4306      0.139     0.000
19.7133      0.132     0.000
20.0000      0.125     0.000
20.2909      0.116     0.000
20.5860      0.107     0.000
20.8855      0.099     0.000
21.1893      0.093     0.000
21.4975      0.088     0.000
21.8102      0.086     0.000
22.1274      0.085     0.000
22.4492      0.088     0.000
22.7758      0.093     0.000
23.1071      0.101     0.000
23.4432      0.112     0.000
23.7841      0.127     0.000
24.1301      0.144     0.000
24.4811      0.162     0.000
24.8372      0.182     0.000
25.1984      0.202     0.000
25.5649      0.222     0.000
25.9368      0.241     0.000
26.3141      0.258     0.000
26.6968      0.273     0.000
27.0851      0.285     0.000
27.4791      0.293     0.000
27.8788      0.299     0.000
28.2843      0.301     0.000
28.6957      0.300     0.000
29.1131      0.297     0.000
29.5365      0.292     0.000
29.9661      0.286     0.000
30.4020      0.280     0.000
30.8442      0.274     0.000
31.2929      0.269     0.000
31.7480      0.266     0.000
32.2098      0.265     0.000
32.6783      0.266     0.000
33.1536      0.269     0.000
33.6359      0.274     0.000
34.1251      0.280     0.000
34.6215      0.286     0.000
35.1250      0.293     0.000
35.6359      0.300     0.000
36.1543      0.305     0.000
36.6802      0.310     0.000
37.2137      0.315     0.000
37.7550      0.318     0.000
38.3041      0.322     0.000
38.8613      0.326     0.000
39.4265      0.332     0.000
40.0000      0.338     0.000
40.5818      0.346     0.000
41.1721      0.356     0.000
41.7710      0.366     0.000
42.3785      0.377     0.000
42.9949      0.388     0.000
43.6203      0.397     0.000
44.2548      0.405     0.000
44.8985      0.411     0.000
45.5515      0.415     0.000
46.2141      0.417     0.000
46.8863      0.418     0.000
47.5683      0.417     0.000
48.2602      0.417     0.000
48.9621      0.418     0.000
49.6743      0.420     0.000
50.3968      0.425     0.000
51.1299      0.433     0.000
51.8736      0.444     0.000
52.6281      0.458     0.000
53.3936      0.474     0.000
54.1702      0.492     0.000
54.9581      0.509     0.000
55.7575      0.524     0.000
56.5685      0.535     0.000
57.3914      0.542     0.000
58.2261      0.542     0.000
59.0730      0.537     0.000
59.9323      0.530     0.000
60.8040      0.523     0.000
61.6884      0.521     0.000
62.5857      0.528     0.000
63.4960      0.541     0.000
64.4196      0.560     0.000
65.3566      0.578     0.000
66.3073      0.591     0.000
67.2717      0.595     0.000
68.2502      0.588     0.000
69.2429      0.577     0.000
70.2501      0.568     0.000
71.2719      0.573     0.000
72.3086      0.594     0.000
73.3603      0.631     0.000
74.4274      0.673     0.000
75.5099      0.710     0.000
76.6083      0.730     0.000
77.7226      0.726     0.000
78.8531      0.707     0.000
80.0000      0.689     0.000
81.1636      0.691     0.000
