Freq[Hz]      Mag   Phase[Deg]
5.00000    -54.633     0.000
5.07273    -53.996     0.000
5.14651    -53.360     0.000
5.22137    -52.395     0.000
5.29732    -51.431     0.000
5.37437    -50.438     0.000
5.45254    -49.445     0.000
5.53185    -48.452     0.000
5.61231    -47.458     0.000
5.69394    -46.465     0.000
5.77676    -45.472     0.000
5.86079    -44.478     0.000
5.94604    -43.485     0.000
6.03252    -42.491     0.000
6.12027    -41.497     0.000
6.20929    -40.504     0.000
6.29961    -39.510     0.000
6.39124    -38.516     0.000
6.48420    -37.521     0.000
6.57851    -36.527     0.000
6.67420    -35.533     0.000
6.77128    -34.538     0.000
6.86977    -33.544     0.000
6.96969    -32.549     0.000
7.07107    -31.554     0.000
7.17392    -30.559     0.000
7.27827    -29.564     0.000
7.38413    -28.569     0.000
7.49154    -27.574     0.000
7.60050    -26.578     0.000
7.71105    -25.582     0.000
7.82321    -24.586     0.000
7.93701    -23.590     0.000
8.05245    -22.595     0.000
8.16958    -21.599     0.000
8.28841    -20.603     0.000
8.40896    -19.606     0.000
8.53128    -18.610     0.000
8.65537    -17.614     0.000
8.78126    -16.617     0.000
8.90899    -15.621     0.000
9.03857    -14.624     0.000
9.17004    -13.627     0.000
9.30342    -12.630     0.000
9.43874    -11.633     0.000
9.57603    -10.636     0.000
9.71532     -9.638     0.000
9.85663     -8.641     0.000
10.0000     -7.644     0.000
10.1455     -6.646     0.000
10.2930     -5.648     0.000
10.4427     -4.649     0.000
10.5946     -3.651     0.000
10.7487     -2.653     0.000
10.9051     -1.655     0.000
11.0637     -0.657     0.000
11.2246      0.342     0.000
11.3879      1.340     0.000
11.5535      2.339     0.000
11.7216      3.338     0.000
11.8921      4.336     0.000
12.0650      5.336     0.000
12.2405      6.335     0.000
12.4186      7.334     0.000
12.5992      8.333     0.000
12.7825      9.333     0.000
12.9684     10.332     0.000
13.1570     11.332     0.000
13.3484     12.332     0.000
13.5426     13.332     0.000
13.7395     14.332     0.000
13.9394     15.332     0.000
14.1421     16.333     0.000
14.3478     17.334     0.000
14.5565     18.335     0.000
14.7683     19.335     0.000
14.9831     20.336     0.000
15.2010     21.337     0.000
15.4221     22.338     0.000
15.6464     23.339     0.000
15.8740     24.340     0.000
16.1049     25.342     0.000
16.3392     26.343     0.000
16.5768     27.345     0.000
16.8179     28.347     0.000
17.0626     29.348     0.000
17.3107     30.351     0.000
17.5625     31.353     0.000
17.8180     32.355     0.000
18.0771     33.357     0.000
18.3401     34.360     0.000
18.6068     35.362     0.000
18.8775     36.365     0.000
19.1521     37.368     0.000
19.4306     38.371     0.000
19.7133     39.378     0.000
20.0000     40.385     0.000
20.2909     41.501     0.000
20.5860     42.636     0.000
20.8855     43.958     0.000
21.1893     45.277     0.000
21.4975     46.465     0.000
21.8102     47.650     0.000
22.1274     48.543     0.000
22.4492     49.434     0.000
22.7758     50.196     0.000
23.1071     50.957     0.000
23.4432     51.860     0.000
23.7841     52.762     0.000
24.1301     53.831     0.000
24.4811     54.901     0.000
24.8372     55.966     0.000
25.1984     57.033     0.000
25.5649     58.052     0.000
25.9368     59.073     0.000
26.3141     60.083     0.000
26.6968     61.097     0.000
27.0851     62.066     0.000
27.4791     63.037     0.000
27.8788     63.943     0.000
28.2843     64.851     0.000
28.6957     65.723     0.000
29.1131     66.595     0.000
29.5365     67.446     0.000
29.9661     68.296     0.000
30.4020     69.120     0.000
30.8442     69.941     0.000
31.2929     70.692     0.000
31.7480     71.441     0.000
32.2098     72.161     0.000
32.6783     72.879     0.000
33.1536     73.578     0.000
33.6359     74.275     0.000
34.1251     74.913     0.000
34.6215     75.550     0.000
35.1250     76.109     0.000
35.6359     76.671     0.000
36.1543     77.173     0.000
36.6802     77.678     0.000
37.2137     78.119     0.000
37.7550     78.563     0.000
38.3041     78.878     0.000
38.8613     79.195     0.000
39.4265     79.389     0.000
40.0000     79.584     0.000
40.5818     79.710     0.000
41.1721     79.836     0.000
41.7710     79.887     0.000
42.3785     79.937     0.000
42.9949     79.895     0.000
43.6203     79.850     0.000
44.2548     79.736     0.000
44.8985     79.618     0.000
45.5515     79.507     0.000
46.2141     79.393     0.000
46.8863     79.316     0.000
47.5683     79.236     0.000
48.2602     79.194     0.000
48.9621     79.152     0.000
49.6743     79.170     0.000
50.3968     79.191     0.000
51.1299     79.217     0.000
51.8736     79.249     0.000
52.6281     79.287     0.000
53.3936     79.330     0.000
54.1702     79.370     0.000
54.9581     79.413     0.000
55.7575     79.394     0.000
56.5685     79.374     0.000
57.3914     79.350     0.000
58.2261     79.322     0.000
59.0730     79.307     0.000
59.9323     79.289     0.000
60.8040     79.215     0.000
61.6884     79.141     0.000
62.5857     79.098     0.000
63.4960     79.058     0.000
64.4196     79.092     0.000
65.3566     79.130     0.000
66.3073     79.146     0.000
67.2717     79.163     0.000
68.2502     79.133     0.000
69.2429     79.099     0.000
70.2501     79.026     0.000
71.2719     78.943     0.000
72.3086     78.872     0.000
73.3603     78.794     0.000
74.4274     78.790     0.000
75.5099     78.788     0.000
76.6083     78.850     0.000
77.7226     78.923     0.000
78.8531     78.973     0.000
80.0000     79.029     0.000
81.1636     79.009     0.000
82.3442     78.979     0.000
83.5419     78.963     0.000
84.7570     78.945     0.000
85.9899     78.945     0.000
87.2406     78.957     0.000
88.5096     78.950     0.000
89.7970     78.945     0.000
91.1031     78.979     0.000
92.4282     79.002     0.000
