"Estimated In-Room Response"
"Estimated In-Room Response"
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
20.5078	52.0124
21.9727	50.3097
23.4375	52.1664
24.9023	53.5056
26.3672	54.6398
27.832	54.7798
29.2969	57.756
30.7617	59.8244
32.2266	60.6248
33.6914	61.8479
35.1562	63.6086
36.6211	65.1028
38.0859	66.5584
39.5508	67.9022
41.0156	69.0367
42.4805	70.4939
43.9453	71.8749
45.4102	73.1075
46.875	76.2621
48.3398	77.3574
51.2695	79.4216
52.7344	80.37
54.1992	81.2661
55.6641	82.0549
58.5938	83.3644
60.0586	83.8892
62.9883	84.6952
64.4531	84.968
67.3828	85.307
68.8477	85.3979
71.7773	85.5898
74.707	85.7134
77.6367	85.7211
79.1016	85.7291
82.0312	85.5753
84.9609	85.5778
87.8906	85.578
90.8203	85.6866
95.2148	85.7236
98.1445	85.7611
101.074	85.8175
105.469	85.9047
108.398	86.0169
112.793	86.1707
117.188	86.3869
120.117	86.4666
124.512	86.5512
128.906	86.5479
133.301	86.5402
139.16	86.513
143.555	86.5421
147.949	86.6228
153.809	86.5889
159.668	86.5687
165.527	86.6412
171.387	86.5433
177.246	86.4024
183.105	86.3095
188.965	86.1528
196.289	86.0734
203.613	85.8329
210.938	85.0656
218.262	85.3595
225.586	85.6294
232.91	85.5929
241.699	85.357
250.488	85.2243
259.277	85.3689
268.066	84.9563
276.855	84.9921
287.109	84.8234
297.363	84.7987
307.617	84.803
319.336	84.4015
329.59	84.0768
341.309	83.9075
353.027	83.9655
366.211	83.9823
379.395	84.1618
392.578	83.7352
405.762	83.539
420.41	83.6341
435.059	83.3808
451.172	83.762
465.82	83.5202
483.398	83.3708
499.512	83.3981
517.09	83.3323
536.133	83.1883
555.176	83.8175
574.219	83.8829
594.727	83.5087
615.234	83.652
637.207	83.5584
659.18	82.8598
682.617	83.075
707.52	83.2304
732.422	83.3215
757.324	83.8218
785.156	83.6719
811.523	84.2496
840.82	85.2677
870.117	85.6553
900.879	85.7038
933.105	85.5267
965.332	85.3397
1,000.49	85.2674
1,035.64	85.0654
1,072.27	84.4678
1,108.89	84.8106
1,148.44	84.7892
1,189.45	84.547
1,230.47	84.7428
1,274.41	85.3067
1,319.82	86.2069
1,366.7	86.2745
1,413.57	85.8633
1,463.38	84.974
1,516.11	84.0905
1,568.85	83.8277
1,624.51	83.8712
1,681.64	84.6368
1,741.7	84.2319
1,803.22	83.8758
1,866.21	83.4362
1,932.13	83.1318
1,999.51	83.0865
2,069.82	83.3962
2,143.07	82.9812
2,219.24	81.9276
2,296.88	81.0972
2,378.91	81.6639
2,462.4	82.7717
2,548.83	83.0078
2,639.65	82.2577
2,731.93	81.6489
2,828.61	81.8673
2,928.22	82.3328
3,030.76	82.2617
3,137.7	82.0433
3,249.02	81.6269
3,363.28	81.4163
3,481.93	81.5004
3,604.98	81.7746
3,732.42	82.173
3,864.26	81.6385
4,000.49	81.6409
4,141.11	81.9916
4,287.6	81.9398
4,438.48	81.9908
4,595.21	81.452
4,756.35	81.5414
4,924.8	81.8513
5,097.66	81.564
5,277.83	81.6929
5,463.87	81.7364
5,657.23	81.6192
5,856.45	81.1701
6,062.99	81.4952
6,276.86	81.1189
6,498.05	81.3592
6,726.56	81.3667
6,963.87	81.2541
7,209.96	81.654
7,464.84	81.3774
7,727.05	81.6815
7,999.51	81.3077
8,282.23	81.3724
8,573.73	81.3288
8,876.95	81.4769
9,188.96	81.2977
9,514.16	81.3957
9,849.61	80.9962
10,196.8	80.8055
10,555.7	80.5474
10,927.7	80.9263
11,313	81.3744
11,712.9	81.4094
12,126	81.161
12,553.7	81.0484
12,996.1	81.1543
13,454.6	81.6297
13,929.2	83.1031
14,419.9	84.8802
14,928.2	86.3526
15,455.6	85.7712
16,000.5	83.3094
16,564.5	80.8576
17,148.9	79.1668
17,752.4	77.4172
18,379.4	76.0477
19,026.9	75.0233
19,697.8	74.156
19,999.5	73.7829
