"Early Reflections"
"Floor Bounce"		"Ceiling Bounce"		"Front Wall Bounce"		"Side Wall Bounce"		"Rear Wall Bounce"		"Total Early Reflection"
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
20.5078	54.9517	20.5078	51.2856	20.5078	54.4739	20.5078	51.8429	20.5078	46.597	20.5078	52.8123
21.9727	52.417	21.9727	45.7648	21.9727	51.5292	21.9727	47.3249	21.9727	51.2577	21.9727	49.9544
23.4375	53.6022	23.4375	48.4599	23.4375	52.8301	23.4375	49.5232	23.4375	53.4823	23.4375	51.655
24.9023	54.969	24.9023	49.2893	24.9023	54.1341	24.9023	50.5556	24.9023	54.9699	24.9023	52.9163
26.3672	55.8663	26.3672	50.364	26.3672	55.0311	26.3672	51.5998	26.3672	56.3284	26.3672	53.9441
27.832	54.3281	27.832	48.6898	27.832	53.4523	27.832	50.0223	27.832	57.8257	27.832	53.1807
29.2969	56.4149	29.2969	54.7529	29.2969	55.9873	29.2969	55.2939	29.2969	60.372	29.2969	56.5101
30.7617	60.1158	30.7617	57.3766	30.7617	59.5066	30.7617	58.224	30.7617	61.3368	30.7617	59.2137
32.2266	60.6827	32.2266	57.664	32.2266	59.9543	32.2266	58.5431	32.2266	62.5721	32.2266	59.7884
33.6914	61.8408	33.6914	59.2188	33.6914	61.206	33.6914	60.0166	33.6914	63.6889	33.6914	61.0855
35.1562	62.8506	35.1562	61.4196	35.1562	62.3952	35.1562	61.968	35.1562	65.6562	35.1562	62.7399
36.6211	64.5931	36.6211	63.1911	36.6211	64.1488	36.6211	63.7536	36.6211	66.8699	36.6211	64.3882
38.0859	66.1414	38.0859	64.8361	38.0859	65.7174	38.0859	65.3889	38.0859	68.1613	38.0859	65.9284
39.5508	67.524	39.5508	66.3139	39.5508	67.1153	39.5508	66.8585	39.5508	69.3984	39.5508	67.3258
41.0156	68.6455	41.0156	67.5031	41.0156	68.2515	41.0156	68.0409	41.0156	70.5027	41.0156	68.4752
42.4805	70.0589	42.4805	69.0906	42.4805	69.6854	42.4805	69.6103	42.4805	71.8991	42.4805	69.9618
43.9453	71.4296	43.9453	70.5733	43.9453	71.0727	43.9453	71.0846	43.9453	73.2132	43.9453	71.3743
45.4102	72.7007	45.4102	71.8815	45.4102	72.3463	45.4102	72.3941	45.4102	74.3671	45.4102	72.6431
46.875	75.635	46.875	75.3641	46.875	75.3848	46.875	75.81	46.875	77.4168	46.875	75.8564
48.3398	76.7704	48.3398	76.5002	48.3398	76.521	48.3398	76.9449	48.3398	78.4549	48.3398	76.9759
51.2695	78.9189	51.2695	78.6268	51.2695	78.6649	51.2695	79.0779	51.2695	80.4107	51.2695	79.0844
52.7344	79.8847	52.7344	79.5996	52.7344	79.6285	52.7344	80.0538	52.7344	81.3253	52.7344	80.0463
54.1992	80.8135	54.1992	80.5278	54.1992	80.5568	54.1992	80.9809	54.1992	82.1728	54.1992	80.9617
55.6641	81.628	55.6641	81.3461	55.6641	81.3727	55.6641	81.7968	55.6641	82.9192	55.6641	81.7672
58.5938	82.9967	58.5938	82.7025	58.5938	82.7384	58.5938	83.1574	58.5938	84.144	58.5938	83.1094
60.0586	83.5513	60.0586	83.2478	60.0586	83.2907	60.0586	83.7049	60.0586	84.628	60.0586	83.6494
62.9883	84.4062	62.9883	84.0862	62.9883	84.1396	62.9883	84.5514	62.9883	85.3647	62.9883	84.4809
64.4531	84.7026	64.4531	84.3732	64.4531	84.4322	64.4531	84.8426	64.4531	85.6046	64.4531	84.7653
67.3828	85.0889	67.3828	84.7367	67.3828	84.8103	67.3828	85.216	67.3828	85.8804	67.3828	85.1268
68.8477	85.1985	68.8477	84.8411	68.8477	84.9184	68.8477	85.3216	68.8477	85.9435	68.8477	85.2276
71.7773	85.4157	71.7773	85.0704	71.7773	85.1418	71.7773	85.5407	71.7773	86.0843	71.7773	85.438
74.707	85.564	74.707	85.2266	74.707	85.2952	74.707	85.6893	74.707	86.1591	74.707	85.5788
