"Estimated In-Room Response"	
"Estimated In-Room Response"	
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
20.5078	51.2594
21.9727	53.1051
23.4375	54.2462
24.9023	55.9715
26.3672	57.3946
27.832	58.7896
29.2969	60.2444
30.7617	61.4222
32.2266	62.8319
33.6914	64.253
35.1563	65.6047
36.6211	66.8155
38.0859	67.9883
39.5508	69.1737
41.0156	70.4347
42.4805	71.3843
43.9453	72.6361
45.4102	73.7814
46.875	74.7343
48.3398	75.7059
51.2695	77.733
52.7344	78.6068
54.1992	79.3973
55.6641	80.2285
58.5938	81.5953
60.0586	82.1677
62.9883	83.3589
64.4531	83.83
67.3828	84.5974
68.8477	84.7753
71.7773	85.1548
74.707	85.6051
77.6367	85.7345
79.1016	85.6859
82.0313	85.8474
84.9609	86.016
87.8906	85.7905
90.8203	85.7852
95.2148	85.7443
98.1445	85.6648
101.074	85.5296
105.469	85.5968
108.398	85.607
112.793	85.47
117.188	85.4307
120.117	85.3353
124.512	85.3908
128.906	85.2095
133.301	85.1213
139.16	84.9912
143.555	84.8924
147.949	84.7616
153.809	84.5996
159.668	84.6558
165.527	84.6809
171.387	84.5612
177.246	84.4358
183.105	84.2212
188.965	84.1303
196.289	84.128
203.613	83.9233
210.938	83.8619
218.262	83.7631
225.586	83.63
232.91	83.6934
241.699	83.6446
250.488	83.44
259.277	83.6539
268.066	83.431
276.855	83.3161
287.109	83.514
297.363	83.3981
307.617	83.4696
319.336	83.1967
329.59	83.2698
341.309	83.2395
353.027	82.9033
366.211	82.9977
379.395	83.4112
392.578	83.109
405.762	82.4897
420.41	82.6083
435.059	82.5173
451.172	82.5177
465.82	82.726
483.398	83.2462
499.512	83.2338
517.09	83.3112
536.133	82.4778
555.176	82.5811
574.219	82.2443
594.727	81.8408
615.234	81.6779
637.207	82.4616
659.18	82.928
682.617	82.6803
707.52	82.6472
732.422	82.3078
757.324	82.2994
785.156	82.5207
811.523	82.1256
840.82	82.6407
870.117	82.4463
900.879	82.4536
933.105	82.4165
965.332	82.25
1,000.49	82.213
1,035.64	82.1963
1,072.27	82.1646
1,108.89	82.0247
1,148.44	81.8957
1,189.45	81.6962
1,230.47	81.9691
1,274.41	81.966
1,319.82	81.9001
1,366.7	81.5896
1,413.57	81.341
1,463.38	81.6888
1,516.11	81.9291
1,568.85	81.8246
1,624.51	81.3373
1,681.64	81.35
1,741.7	81.9627
1,803.22	81.958
1,866.21	81.6886
1,932.13	81.9472
1,999.51	82.1234
2,069.82	81.9745
2,143.07	81.6516
2,219.24	82.0947
2,296.88	81.6767
2,378.91	81.7615
2,462.4	81.9115
2,548.83	80.8941
2,639.65	81.5383
2,731.93	81.632
2,828.61	81.294
2,928.22	81.6322
3,030.76	81.6554
3,137.7	81.664
3,249.02	81.7363
3,363.28	81.7355
3,481.93	81.6306
3,604.98	81.7716
3,732.42	81.4764
3,864.26	81.7368
4,000.49	81.5629
4,141.11	82.0434
4,287.6	81.9
4,438.48	81.9931
4,595.21	81.7586
4,756.35	81.8816
4,924.8	81.3709
5,097.66	81.6137
5,277.83	81.8439
5,463.87	81.74
5,657.23	81.6654
5,856.45	81.4334
6,062.99	80.9774
6,276.86	80.7438
6,498.05	80.6937
6,726.56	80.5084
6,963.87	80.275
7,209.96	80.086
7,464.84	79.7576
7,727.05	79.4628
7,999.51	79.3725
8,282.23	79.3087
8,573.73	79.3893
8,876.95	79.3977
9,188.96	79.4444
9,514.16	79.4682
9,849.61	79.4557
10,196.8	79.4812
10,555.7	79.3509
10,927.7	79.1704
11,313	79.0596
11,712.9	79.0429
12,126	79.083
12,553.7	79.1065
12,996.1	79.0097
13,454.6	78.9013
13,929.2	78.7759
14,419.9	78.6397
14,928.2	78.4446
15,455.6	78.2951
16,000.5	78.0373
16,564.5	77.6417
17,148.9	77.1349
17,752.4	76.7396
18,379.4	76.4545
19,026.9	75.9691
19,697.8	75.3619
19,999.5	75.0952
