"Horizontal Reflections"							
"Front"		"Side"		"Rear"		"Total Horizontal Reflection"	
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
20.5078	66.5535	20.5078	66.8866	20.5078	73.3502	20.5078	71.3515
21.9727	67.5731	21.9727	68.3936	21.9727	75.3207	21.9727	73.2222
23.4375	71.7072	23.4375	72.3715	23.4375	77.6221	23.4375	75.8208
24.9023	74.2135	24.9023	74.832	24.9023	79.5939	24.9023	77.8992
26.3672	76.8549	26.3672	77.6856	26.3672	81.9398	26.3672	80.3432
27.832	79.5409	27.832	80.1878	27.832	83.6194	27.832	82.2518
29.2969	81.3189	29.2969	81.9111	29.2969	84.9363	29.2969	83.6911
30.7617	82.5685	30.7617	83.1357	30.7617	85.7325	30.7617	84.6221
32.2266	82.7995	32.2266	83.3391	32.2266	85.7093	32.2266	84.6758
33.6914	83.1931	33.6914	83.7393	33.6914	85.9105	33.6914	84.9429
35.1562	83.383	35.1562	83.894	35.1562	85.8205	35.1562	84.9425
36.6211	83.5532	36.6211	84.0345	36.6211	85.7621	36.6211	84.9597
38.0859	83.6793	38.0859	84.1314	38.0859	85.6712	38.0859	84.9426
39.5508	83.7801	39.5508	84.2041	39.5508	85.5873	39.5508	84.9224
41.0156	83.975	41.0156	84.3599	41.0156	85.5758	41.0156	84.9821
42.4805	84.1669	42.4805	84.5204	42.4805	85.6026	42.4805	85.0671
43.9453	84.2939	43.9453	84.6336	43.9453	85.6176	43.9453	85.1242
45.4102	84.6734	45.4102	84.9862	45.4102	85.8683	45.4102	85.4212
46.875	84.9169	46.875	85.2436	46.875	86.0916	46.875	85.6564
48.3398	85.1667	48.3398	85.4763	48.3398	86.2271	48.3398	85.8355
51.2695	85.6871	51.2695	85.9447	51.2695	86.5113	51.2695	86.2074
52.7344	85.9594	52.7344	86.1836	52.7344	86.6364	52.7344	86.3881
54.1992	86.3293	54.1992	86.511	54.1992	86.8318	54.1992	86.6499
55.6641	86.6237	55.6641	86.7957	55.6641	87.0705	55.6641	86.9111
58.5938	87.1666	58.5938	87.3235	58.5938	87.5007	58.5938	87.3885
60.0586	87.3535	60.0586	87.5093	60.0586	87.6675	60.0586	87.5643
62.9883	87.8323	62.9883	87.9491	62.9883	87.9971	62.9883	87.9522
64.4531	88.0284	64.4531	88.1213	64.4531	88.1043	64.4531	88.0944
67.3828	88.4327	67.3828	88.4699	67.3828	88.3002	67.3828	88.3738
68.8477	88.6628	68.8477	88.6777	68.8477	88.4638	68.8477	88.5632
71.7773	89.177	71.7773	89.1179	71.7773	88.7191	71.7773	88.9241
74.707	89.6614	74.707	89.5621	74.707	89.0286	74.707	89.3095
77.6367	89.9707	77.6367	89.8527	77.6367	89.3	77.6367	89.5945
79.1016	90.0175	79.1016	89.892	79.1016	89.337	79.1016	89.6343
82.0312	90.2111	82.0312	90.0708	82.0312	89.5317	82.0312	89.8241
84.9609	90.4139	84.9609	90.2396	84.9609	89.67	84.9609	89.9851
87.8906	90.3956	87.8906	90.1577	87.8906	89.4577	87.8906	89.8537
90.8203	90.241	90.8203	90.0125	90.8203	89.4206	90.8203	89.7588
95.2148	90.4121	95.2148	89.9367	95.2148	88.8563	95.2148	89.5092
98.1445	90.7523	98.1445	90.1722	98.1445	88.7823	98.1445	89.633
101.074	90.3273	101.074	89.7707	101.074	88.4007	101.074	89.2342
105.469	90.5122	105.469	89.8049	105.469	88.0775	105.469	89.1559
108.398	90.9241	108.398	90.1821	108.398	88.399	108.398	89.5195
112.793	91.1156	112.793	90.2487	112.793	88.1558	112.793	89.4974
117.188	91.1238	117.188	90.2749	117.188	88.0031	117.188	89.45
120.117	91.2403	120.117	90.438	120.117	88.1539	120.117	89.5951
124.512	91.2884	124.512	90.5791	124.512	88.4566	124.512	89.7723
128.906	91.452	128.906	90.683	128.906	88.4401	128.906	89.8464
133.301	91.3223	133.301	90.6606	133.301	88.7167	133.301	89.9115
139.16	90.9092	139.16	90.2287	139.16	88.554	139.16	89.5944
143.555	90.6673	143.555	89.8519	143.555	88.2113	143.555	89.2676
147.949	90.542	147.949	89.5467	147.949	87.6947	147.949	88.9262
153.809	90.7991	153.809	89.5334	153.809	86.8847	153.809	88.697
159.668	91.7315	159.668	90.5413	159.668	87.287	159.668	89.4789
165.527	91.9427	165.527	90.7247	165.527	87.491	165.527	89.678
171.387	91.7171	171.387	90.7554	171.387	87.9917	171.387	89.7848
177.246	91.5502	177.246	90.4853	177.246	88.1621	177.246	89.7042
183.105	91.1871	183.105	89.9632	183.105	87.6587	183.105	89.2368
188.965	91.7807	188.965	90.2144	188.965	86.9795	188.965	89.2845
196.289	93.0374	196.289	91.5931	196.289	87.4928	196.289	90.3683
