* Freq[Hz]     dBSPL  Phase[Deg]
5.00000    102.043   -92.220
5.07273    101.175   -92.822
5.14651    100.308   -93.433
5.22137     99.441   -94.054
5.29732     98.575   -94.685
5.37437     97.710   -95.326
5.45254     96.846   -95.977
5.53185     95.982   -96.638
5.61231     95.120   -97.310
5.69394     94.258   -97.993
5.77676     93.397   -98.687
5.86079     92.536   -99.392
5.94604     91.677  -100.108
6.03252     90.819  -100.836
6.12027     89.962  -101.575
6.20929     89.105  -102.327
6.29961     88.250  -103.090
6.39124     87.396  -103.866
6.48420     86.543  -104.655
6.57851     85.691  -105.456
6.67420     84.841  -106.271
6.77128     83.992  -107.099
6.86977     83.144  -107.940
6.96969     82.297  -108.795
7.07107     81.452  -109.664
7.17392     80.608  -110.547
7.27827     79.766  -111.444
7.38413     78.925  -112.357
7.49154     78.086  -113.284
7.60050     77.248  -114.226
7.71105     76.412  -115.184
7.82321     75.578  -116.158
7.93701     74.745  -117.147
8.05245     73.915  -118.153
8.16958     73.086  -119.175
8.28841     72.258  -120.214
8.40896     71.433  -121.270
8.53128     70.610  -122.343
8.65537     69.788  -123.434
8.78126     68.969  -124.542
8.90899     68.151  -125.669
9.03857     67.336  -126.814
9.17004     66.523  -127.978
9.30342     65.711  -129.161
9.43874     64.902  -130.363
9.57603     64.096  -131.585
9.71532     63.291  -132.827
9.85663     62.489  -134.089
10.0000     61.688  -135.372
10.1455     60.891  -136.676
10.2930     60.095  -138.001
10.4427     59.302  -139.347
10.5946     58.511  -140.716
10.7487     57.722  -142.107
10.9051     56.936  -143.520
11.0637     56.152  -144.957
11.2246     55.370  -146.418
11.3879     54.591  -147.902
11.5535     53.814  -149.411
11.7216     53.039  -150.945
11.8921     52.267  -152.505
12.0650     51.497  -154.091
12.2405     50.729  -155.704
12.4186     49.964  -157.344
12.5992     49.201  -159.012
12.7825     48.440  -160.708
12.9684     47.681  -162.434
13.1570     46.925  -164.190
13.3484     46.170  -165.977
13.5426     45.418  -167.796
13.7395     44.668  -169.646
13.9394     43.921  -171.530
14.1421     43.175  -173.446
14.3478     42.431  -175.396
14.5565     41.690  -177.381
14.7683     40.950  -179.399
