"Directivity Index"			
"Sound Power DI"		"Early Reflections DI"	
"Frequency [Hz]"	"[dB] Directivity Index "	"Frequency [Hz]"	"[dB] Directivity Index "
20.5078	-3.83479	20.5078	0.201074
21.9727	-2.31665	21.9727	0.728733
23.4375	-1.67137	23.4375	0.771429
24.9023	-0.593185	24.9023	0.931361
26.3672	-0.275795	26.3672	0.889473
27.832	-0.224265	27.832	0.781597
29.2969	-0.433868	29.2969	0.607162
30.7617	-0.26644	30.7617	0.547648
32.2266	-0.453873	32.2266	0.405129
33.6914	-0.366773	33.6914	0.357414
35.1563	-0.307606	35.1563	0.314754
36.6211	-0.343905	36.6211	0.259807
38.0859	-0.40715	38.0859	0.198707
39.5508	-0.197272	39.5508	0.251014
41.0156	-0.348088	41.0156	0.147374
42.4805	-0.241724	42.4805	0.168219
43.9453	-0.191401	43.9453	0.15602
45.4102	-0.203816	45.4102	0.132147
46.875	-0.228139	46.875	0.1119
48.3398	-0.402349	48.3398	0.0128564
51.2695	-0.31646	51.2695	0.00393067
52.7344	-0.302738	52.7344	-0.00855578
54.1992	-0.313172	54.1992	-0.0283683
55.6641	-0.311655	55.6641	-0.0442913
58.5938	-0.279402	58.5938	-0.0566454
60.0586	-0.25983	60.0586	-0.0607916
62.9883	-0.258063	62.9883	-0.0791883
64.4531	-0.277575	64.4531	-0.0988848
67.3828	-0.270529	67.3828	-0.112659
68.8477	-0.256854	68.8477	-0.114553
71.7773	-0.260923	71.7773	-0.129095
74.707	-0.237569	74.707	-0.130139
77.6367	-0.228141	77.6367	-0.13788
79.1016	-0.208498	79.1016	-0.134722
82.0313	-0.162752	82.0313	-0.124523
84.9609	-0.173674	84.9609	-0.134396
87.8906	-0.233882	87.8906	-0.160768
90.8203	-0.426617	90.8203	-0.241379
95.2148	0.0992847	95.2148	-0.0485362
98.1445	-0.141255	98.1445	-0.143656
101.074	-0.0827755	101.074	-0.120002
105.469	-0.125172	105.469	-0.136598
108.398	-0.0195262	108.398	-0.0976193
112.793	-0.00752251	112.793	-0.086667
117.188	0.00626642	117.188	-0.0710991
120.117	0.155001	120.117	-0.00693238
124.512	0.233897	124.512	-0.00441436
128.906	0.349378	128.906	0.0374611
133.301	0.226599	133.301	-0.00782048
139.16	-0.0582917	139.16	-0.112922
143.555	-0.026656	143.555	-0.076759
147.949	0.137543	147.949	0.0064132
153.809	0.49804	153.809	0.135058
159.668	0.596112	159.668	0.146287
165.527	0.395158	165.527	0.0731908
171.387	0.120166	171.387	0.00306357
177.246	-0.0808614	177.246	-0.0108924
183.105	0.253145	183.105	0.209684
188.965	0.911239	188.965	0.400555
196.289	0.983777	196.289	0.410071
203.613	1.1397	203.613	0.490713
210.938	1.32896	210.938	0.544699
218.262	1.29573	218.262	0.530136
225.586	1.31515	225.586	0.590438
232.91	1.78233	232.91	0.754335
241.699	1.75921	241.699	0.704919
250.488	1.90494	250.488	0.770933
259.277	1.88171	259.277	0.73265
268.066	1.75966	268.066	0.701547
276.855	2.00193	276.855	0.773001
287.109	2.05788	287.109	0.83204
297.363	2.30544	297.363	0.982383
307.617	2.23844	307.617	0.799419
319.336	2.31276	319.336	0.88996
329.59	2.38841	329.59	0.863019
341.309	2.02488	341.309	0.765928
353.027	2.57009	353.027	1.07413
366.211	2.74944	366.211	1.07247
379.395	2.80607	379.395	0.98113
392.578	2.48367	392.578	0.862791
405.762	2.49451	405.762	1.02865
420.41	3.25702	420.41	1.2009
435.059	2.61136	435.059	0.934787
451.172	3.34047	451.172	1.34552
465.82	3.4664	465.82	1.22632
483.398	2.93736	483.398	1.06963
499.512	3.33861	499.512	1.2484
517.09	3.34463	517.09	1.20634
536.133	3.61145	536.133	1.52129
555.176	4.00957	555.176	1.49567
574.219	3.88569	574.219	1.49167
594.727	3.84942	594.727	1.54424
615.234	4.85901	615.234	2.24639
637.207	4.95718	637.207	2.25839
659.18	5.00988	659.18	2.2105
682.617	4.4519	682.617	1.91022
707.52	4.63651	707.52	2.03013
732.422	4.48863	732.422	1.86432
757.324	4.34094	757.324	1.8107
785.156	4.44085	785.156	1.80377
811.523	4.55308	811.523	1.94874
840.82	4.99448	840.82	2.23353
870.117	4.91525	870.117	2.08526
900.879	5.56341	900.879	2.4827
933.105	5.39838	933.105	2.26248
965.332	5.33231	965.332	2.21606
1,000.49	5.64567	1,000.49	2.41966
1,035.64	5.43446	1,035.64	2.34516
1,072.27	4.94847	1,072.27	1.90808
1,108.89	5.45778	1,108.89	2.34114
1,148.44	5.59709	1,148.44	2.37022
1,189.45	5.35813	1,189.45	2.22659
1,230.47	5.36794	1,230.47	2.14968
1,274.41	5.60637	1,274.41	2.26681
1,319.82	5.45593	1,319.82	2.13019
1,366.7	5.58704	1,366.7	2.16996
1,413.57	5.76048	1,413.57	2.3506
1,463.38	6.20078	1,463.38	2.42055
1,516.11	6.16316	1,516.11	2.29417
1,568.85	6.28803	1,568.85	2.48673
1,624.51	6.82552	1,624.51	2.85051
1,681.64	6.8057	1,681.64	2.76248
1,741.7	7.51343	1,741.7	3.17196
1,803.22	7.46764	1,803.22	3.23368
1,866.21	7.75332	1,866.21	3.44976
1,932.13	7.92384	1,932.13	3.51617
1,999.51	7.99994	1,999.51	3.54867
2,069.82	8.21352	2,069.82	3.60964
2,143.07	8.54418	2,143.07	3.81343
2,219.24	8.43855	2,219.24	3.87976
2,296.88	8.34956	2,296.88	3.93793
2,378.91	8.683	2,378.91	4.02383
2,462.4	8.49813	2,462.4	3.89275
2,548.83	8.00274	2,548.83	3.72698
2,639.65	7.83047	2,639.65	3.63842
2,731.93	8.07863	2,731.93	3.65981
2,828.61	7.81982	2,828.61	3.39765
2,928.22	7.86944	2,928.22	3.36891
3,030.76	7.82894	3,030.76	3.47312
3,137.7	7.78581	3,137.7	3.4269
3,249.02	7.54271	3,249.02	3.29232
3,363.28	7.24896	3,363.28	3.14528
3,481.93	6.52495	3,481.93	2.55409
3,604.98	6.17202	3,604.98	2.22542
3,732.42	6.52451	3,732.42	2.5043
3,864.26	6.87661	3,864.26	2.63112
4,000.49	6.97073	4,000.49	2.63807
4,141.11	7.3019	4,141.11	2.79204
4,287.6	7.25603	4,287.6	2.73996
4,438.48	8.15791	4,438.48	3.25089
4,595.21	8.54626	4,595.21	3.45932
4,756.35	8.93433	4,756.35	3.64723
4,924.8	8.71753	4,924.8	3.56345
5,097.66	8.42885	5,097.66	3.58708
5,277.83	7.85787	5,277.83	3.43141
5,463.87	7.56951	5,463.87	3.19116
5,657.23	7.84338	5,657.23	3.34516
5,856.45	7.69188	5,856.45	3.20962
6,062.99	7.23359	6,062.99	2.92348
6,276.86	7.1486	6,276.86	2.8817
6,498.05	7.40448	6,498.05	2.99209
6,726.56	7.52521	6,726.56	3.07938
6,963.87	7.43251	6,963.87	3.03111
7,209.96	7.50427	7,209.96	3.09814
7,464.84	7.25494	7,464.84	2.93796
7,727.05	7.24589	7,727.05	2.94271
7,999.51	7.39728	7,999.51	3.10387
8,282.23	7.42405	8,282.23	3.17281
8,573.73	7.44722	8,573.73	3.14902
8,876.95	7.51066	8,876.95	3.11718
9,188.96	7.57241	9,188.96	3.16887
9,514.16	7.74676	9,514.16	3.3168
9,849.61	7.92449	9,849.61	3.47066
10,196.8	8.18809	10,196.8	3.65166
10,555.7	8.5501	10,555.7	3.87702
10,927.7	8.8425	10,927.7	3.96318
11,313	9.05179	11,313	4.09915
11,712.9	9.11751	11,712.9	4.25102
12,126	9.40009	12,126	4.48016
12,553.7	9.82182	12,553.7	4.64229
12,996.1	10.1642	12,996.1	4.79528
13,454.6	10.4349	13,454.6	5.00817
13,929.2	10.6828	13,929.2	5.22823
14,419.9	10.9408	14,419.9	5.38274
14,928.2	11.1847	14,928.2	5.47876
15,455.6	11.3656	15,455.6	5.59825
16,000.5	11.1529	16,000.5	5.58149
16,564.5	10.9063	16,564.5	5.49939
17,148.9	10.9756	17,148.9	5.52882
17,752.4	11.2934	17,752.4	5.705
18,379.4	11.3282	18,379.4	5.848
19,026.9	11.1427	19,026.9	5.81646
19,697.8	10.9863	19,697.8	5.66101
19,999.5	10.9025	19,999.5	5.55039
