* Measurement data measured by REW V5.20 Beta 53
* Source: C:\Users\Napie\Music\REW\Top Speakers\New Folder\1-On Axis.txt
* Format: Comma/Tab/Space delimited data
* Dated: May 26, 2020 2:33:40 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\Napie\Music\REW\Top Speakers\New Folder\1-On Axis.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced
* Measurement: 1-On Axis
* Smoothing: None
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	49.862774	-50.5608
20.144928	50.081409	-49.5041
20.290907	50.337746	-48.1693
20.437943	50.678654	-46.4938
20.586044	51.113651	-44.6403
20.735220	51.636589	-42.5327
20.885475	52.341049	-40.8246
21.036821	53.410473	-40.0791
21.189262	54.570553	-40.4936
21.342808	55.622643	-42.7538
21.497467	56.521030	-45.9567
21.653246	57.066254	-49.3465
21.810154	57.521389	-53.1597
21.968201	58.208023	-57.4686
22.127390	58.753555	-62.0150
22.287735	58.785767	-66.7702
22.449242	58.621170	-71.1159
22.611917	58.464485	-74.2866
22.775772	58.282230	-76.6925
22.940815	58.102097	-78.4359
23.107054	57.944183	-79.6766
23.274498	57.865917	-80.6672
23.443153	57.783138	-81.2316
23.613033	57.577042	-81.2602
23.784142	57.408104	-80.8036
23.956491	57.415112	-79.7022
24.130091	57.545780	-78.4783
24.304947	57.838291	-77.6765
24.481071	58.159595	-77.0727
24.658470	58.347252	-76.6782
24.837156	58.526730	-76.3285
25.017136	58.789040	-75.8175
25.198421	59.076702	-75.2795
25.381020	59.358234	-74.8252
25.564941	59.645721	-74.3225
25.750195	59.929932	-73.6912
25.936790	60.243580	-72.8852
26.124741	60.571892	-71.5855
26.314051	61.048149	-70.5291
26.504732	61.938866	-70.4622
26.696796	62.831005	-71.0439
26.890253	63.286877	-72.3985
27.085112	63.642593	-73.8704
27.281382	64.073715	-74.4808
27.479073	64.628120	-75.3194
27.678198	65.552048	-77.3139
27.878765	66.425919	-79.9818
28.080786	66.789574	-83.3659
28.284271	67.006729	-86.8104
28.489231	67.299202	-89.4229
28.695675	67.637474	-91.9514
28.903616	68.112991	-94.8626
29.113064	68.583374	-98.1171
29.324028	68.912621	-101.8758
29.536524	69.171730	-106.0009
29.750557	69.428764	-110.5022
29.966141	69.557953	-115.0968
30.183289	69.401894	-119.5504
30.402010	69.122391	-123.7270
30.622314	68.887909	-127.5531
30.844217	68.522568	-130.6079
31.067726	67.771210	-132.3361
31.292856	67.037987	-133.0656
31.519617	66.765785	-132.8556
31.748020	66.587227	-131.9594
31.978081	66.165306	-130.6189
32.209808	65.846275	-128.9304
32.443211	65.967522	-126.9429
