"Vertical Reflections"
"Floor Reflection"		"Ceiling Reflection"		"Total Vertical Reflection"
"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"	"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"	"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"
20.5078	61.4768	20.5078	59.918	20.5078	60.7669
21.9727	57.5435	21.9727	56.8864	21.9727	57.2273
23.4375	60.9078	23.4375	59.1952	23.4375	60.1354
24.9023	65.7437	24.9023	63.1266	24.9023	64.6294
26.3672	67.2302	26.3672	64.8303	26.3672	66.194
27.832	70.4674	27.832	68.0076	27.832	69.4094
29.2969	72.1665	29.2969	69.6861	29.2969	71.101
30.7617	75.2763	30.7617	72.9779	30.7617	74.2774
32.2266	77.1299	32.2266	74.9787	32.2266	76.1862
33.6914	79.2375	33.6914	77.2403	33.6914	78.3527
35.1562	81.2495	35.1562	79.3311	35.1562	80.3953
36.6211	83.0686	36.6211	81.182	36.6211	82.227
38.0859	84.8731	38.0859	83.0572	38.0859	84.0594
39.5508	86.5777	39.5508	84.8259	39.5508	85.7895
41.0156	88.078	41.0156	86.3254	41.0156	87.2895
42.4805	89.3947	42.4805	88.0248	42.4805	88.7636
43.9453	90.4016	43.9453	88.9317	43.9453	89.7285
45.4102	91.3492	45.4102	89.9172	45.4102	90.6919
46.875	92.233	46.875	90.8286	46.875	91.5873
48.3398	92.9424	48.3398	91.5539	48.3398	92.3034
51.2695	94.1223	51.2695	92.759	51.2695	93.4939
52.7344	94.5126	52.7344	93.2128	52.7344	93.9111
54.1992	94.9051	54.1992	93.6133	54.1992	94.307
55.6641	95.1331	55.6641	93.8809	55.6641	94.552
58.5938	95.5563	58.5938	94.308	58.5938	94.9768
60.0586	95.7084	60.0586	94.5016	60.0586	95.1468
62.9883	95.811	62.9883	94.6219	62.9883	95.2571
64.4531	95.8217	64.4531	94.6339	64.4531	95.2683
67.3828	95.8428	67.3828	94.6593	67.3828	95.2912
68.8477	95.853	68.8477	94.667	68.8477	95.3004
71.7773	95.9711	71.7773	94.8025	71.7773	95.426
74.707	95.9981	74.707	94.8652	74.707	95.4685
77.6367	95.9938	77.6367	94.8597	77.6367	95.4637
79.1016	95.9839	79.1016	94.8461	79.1016	95.4521
82.0312	95.9209	82.0312	94.7986	82.0312	95.3959
84.9609	95.8458	84.9609	94.7395	84.9609	95.3278
87.8906	95.8902	87.8906	94.7429	87.8906	95.3543
90.8203	95.9123	90.8203	94.7592	90.8203	95.3739
95.2148	95.7011	95.2148	94.5485	95.2148	95.163
98.1445	95.6657	98.1445	94.5037	98.1445	95.1235
101.074	95.6348	101.074	94.4518	101.074	95.0834
105.469	95.7156	105.469	94.553	105.469	95.1731
108.398	95.8458	108.398	94.715	108.398	95.3171
112.793	95.9256	112.793	94.8223	112.793	95.4089
117.188	96.026	117.188	94.8382	117.188	95.4726
120.117	96.0216	120.117	94.9109	120.117	95.5017
124.512	95.9699	124.512	94.8421	124.512	95.4425
128.906	95.9544	128.906	94.7996	128.906	95.4153
133.301	96.0011	133.301	94.8076	133.301	95.4452
