"Directivity Index"			
"Sound Power DI"		"Early Reflections DI"	
"Frequency [Hz]"	"[dB] Directivity Index "	"Frequency [Hz]"	"[dB] Directivity Index "
20.5078	-0.0787664	20.5078	-0.00802721
21.2402	0.0442921	21.2402	0.0388258
21.9727	0.0401863	21.9727	0.0372617
22.7051	0.120744	22.7051	0.0669728
23.4375	0.120363	23.4375	0.0647099
24.1699	0.136943	24.1699	0.0725796
25.6348	0.146692	25.6348	0.0765534
26.3672	0.147065	26.3672	0.077506
27.0996	0.150175	27.0996	0.078388
27.832	0.142409	27.832	0.0770915
29.2969	0.165343	29.2969	0.084929
30.0293	0.129872	30.0293	0.0726893
31.4941	0.158819	31.4941	0.0823298
32.2266	0.183838	32.2266	0.0920213
33.6914	0.190525	33.6914	0.09377
34.4238	0.189258	34.4238	0.0945035
35.8887	0.188943	35.8887	0.0943855
37.3535	0.197083	37.3535	0.0979469
38.8184	0.233267	38.8184	0.11097
39.5508	0.218324	39.5508	0.106232
41.0156	0.224719	41.0156	0.109465
42.4805	0.260164	42.4805	0.125724
43.9453	0.301275	43.9453	0.139815
45.4102	0.294569	45.4102	0.136424
47.6074	0.239749	47.6074	0.115813
49.0723	0.211936	49.0723	0.105636
50.5371	0.19933	50.5371	0.101432
52.7344	0.21153	52.7344	0.106051
54.1992	0.224987	54.1992	0.110789
56.3965	0.222706	56.3965	0.110384
58.5938	0.206273	58.5938	0.105838
60.0586	0.191618	60.0586	0.100184
62.2559	0.200448	62.2559	0.103344
64.4531	0.201106	64.4531	0.10414
66.6504	0.20297	66.6504	0.105905
69.5801	0.201124	69.5801	0.106018
71.7773	0.202221	71.7773	0.107134
73.9746	0.211445	73.9746	0.110997
76.9043	0.21588	76.9043	0.113633
79.834	0.230902	79.834	0.120349
82.7637	0.230363	82.7637	0.120414
85.6934	0.212536	85.6934	0.115255
88.623	0.206681	88.623	0.114671
91.5527	0.234534	91.5527	0.12633
94.4824	0.281352	94.4824	0.14411
98.1445	0.228759	98.1445	0.124307
101.807	0.227636	101.807	0.126014
105.469	0.25034	105.469	0.136548
109.131	0.272446	109.131	0.146868
112.793	0.26635	112.793	0.146826
116.455	0.275779	116.455	0.152132
120.85	0.283025	120.85	0.15696
125.244	0.291359	125.244	0.162902
129.639	0.313501	129.639	0.173886
134.033	0.328194	134.033	0.18263
138.428	0.346588	138.428	0.191725
143.555	0.354199	143.555	0.197843
148.682	0.367829	148.682	0.207257
153.809	0.39528	153.809	0.220463
159.668	0.409322	159.668	0.231764
164.795	0.43518	164.795	0.242413
170.654	0.433295	170.654	0.246556
176.514	0.472604	176.514	0.266803
183.105	0.519277	183.105	0.288466
189.697	0.546208	189.697	0.298249
196.289	0.552421	196.289	0.306576
202.881	0.592761	202.881	0.329775
210.205	0.633773	210.205	0.345389
217.529	0.60075	217.529	0.340982
225.586	0.704952	225.586	0.391939
232.91	0.799619	232.91	0.422278
241.699	0.753189	241.699	0.410268
249.756	0.896091	249.756	0.475715
258.545	0.851545	258.545	0.447626
268.066	0.888854	268.066	0.464227
277.588	0.762772	277.588	0.434309
287.109	0.570468	287.109	0.401095
297.363	0.895863	297.363	0.568307
307.617	1.09952	307.617	0.575076
318.604	1.00279	318.604	0.486611
329.59	0.100156	329.59	0.0467675
341.309	-4.95208	341.309	-2.35839
353.76	0.765709	353.76	1.81925
366.211	2.98072	366.211	1.71784
378.662	3.07386	378.662	1.59066
392.578	3.06459	392.578	1.50102
405.762	3.12978	405.762	1.53059
420.41	3.4633	420.41	1.58335
435.059	3.68135	435.059	1.63477
450.439	4.08839	450.439	1.47364
466.553	2.91406	466.553	0.732615
482.666	2.45282	482.666	0.76031
500.244	2.72054	500.244	0.976739
517.822	2.60625	517.822	0.936478
536.133	3.12042	536.133	1.20004
554.443	3.23375	554.443	1.15501
574.219	3.27732	574.219	1.16426
594.727	3.35394	594.727	1.14188
615.234	3.37964	615.234	1.15902
637.207	3.39021	637.207	1.08579
659.912	3.37332	659.912	1.0872
683.35	3.39088	683.35	1.08792
706.787	3.20791	706.787	0.932159
731.689	3.47465	731.689	1.08557
758.057	3.60971	758.057	1.15337
784.424	3.59141	784.424	1.24426
812.256	3.83671	812.256	1.46259
840.82	4.16241	840.82	1.68266
870.85	4.58979	870.85	1.92464
901.611	4.90318	901.611	2.09625
933.105	5.6241	933.105	2.39982
966.064	5.51406	966.064	2.30159
999.756	5.53218	999.756	2.36459
1,034.91	5.49246	1,034.91	2.38348
1,071.53	5.33945	1,071.53	2.32223
1,109.62	5.19297	1,109.62	2.31135
1,148.44	5.32312	1,148.44	2.46725
1,189.45	5.8476	1,189.45	2.805
1,231.2	5.91276	1,231.2	2.7022
1,274.41	5.93998	1,274.41	2.71397
1,319.82	5.81038	1,319.82	2.53208
1,365.97	5.46728	1,365.97	2.32622
1,414.31	5.23834	1,414.31	2.23469
1,464.11	5.01393	1,464.11	2.12552
1,515.38	5.14593	1,515.38	2.15045
1,568.85	5.15111	1,568.85	2.12348
1,624.51	5.32083	1,624.51	2.18502
1,681.64	5.25936	1,681.64	2.17514
1,740.97	5.38538	1,740.97	2.22014
1,802.49	5.7184	1,802.49	2.38855
1,866.21	5.6407	1,866.21	2.32741
1,932.13	5.35332	1,932.13	2.06757
2,000.24	5.30651	2,000.24	1.94157
2,070.56	5.87785	2,070.56	2.21195
2,143.8	5.81857	2,143.8	2.16364
2,219.24	5.48967	2,219.24	2.04884
2,297.61	6.0646	2,297.61	2.24087
2,378.17	6.69518	2,378.17	2.62857
2,462.4	6.63674	2,462.4	2.55251
2,548.83	6.70702	2,548.83	2.59226
2,638.92	7.03013	2,638.92	2.7248
2,731.93	7.25681	2,731.93	2.91895
2,828.61	7.72825	2,828.61	3.30075
2,928.22	7.585	2,928.22	3.20148
3,031.49	6.76892	3,031.49	2.93826
3,138.43	6.09641	3,138.43	2.63413
3,249.02	5.26325	3,249.02	2.42074
3,363.28	5.26962	3,363.28	2.66677
3,481.93	5.31579	3,481.93	2.55478
3,604.98	5.88206	3,604.98	2.96236
3,732.42	6.39178	3,732.42	3.35602
3,863.53	6.45197	3,863.53	3.45959
3,999.76	5.4855	3,999.76	2.78627
4,141.11	3.0781	4,141.11	1.0698
4,286.87	4.32359	4,286.87	2.6883
4,438.48	3.90525	4,438.48	1.81305
4,594.48	3.33352	4,594.48	1.36865
4,757.08	3.45561	4,757.08	1.16407
4,924.8	3.38873	4,924.8	0.86567
5,098.39	3.70159	5,098.39	0.951435
5,277.83	3.31566	5,277.83	0.800737
5,463.87	3.92824	5,463.87	0.994171
5,656.49	3.57066	5,656.49	0.852854
5,856.45	3.47451	5,856.45	0.703896
6,062.99	3.60078	6,062.99	0.784519
6,276.86	4.32867	6,276.86	1.29953
6,498.05	4.4889	6,498.05	1.37958
6,727.29	4.87893	6,727.29	1.35713
6,964.6	5.35332	6,964.6	1.59078
7,209.96	5.35882	7,209.96	1.54902
7,464.11	5.20726	7,464.11	1.51259
7,727.78	4.90574	7,727.78	1.51469
8,000.24	5.06039	8,000.24	1.64468
8,282.23	6.03588	8,282.23	2.22149
8,574.46	6.49555	8,574.46	2.48841
8,876.22	6.73441	8,876.22	2.63472
9,189.7	6.58572	9,189.7	2.53274
9,513.43	6.53632	9,513.43	2.50306
9,848.88	6.66312	9,848.88	2.64681
10,196.8	7.25859	10,196.8	3.0285
10,556.4	7.6729	10,556.4	3.20852
10,928.5	7.7018	10,928.5	3.14823
11,313.7	7.54992	11,313.7	3.03833
11,712.9	7.59056	11,712.9	3.20087
12,126	7.75123	12,126	3.31352
12,553.7	8.10344	12,553.7	3.45202
12,996.1	8.281	12,996.1	3.55469
13,454.6	8.35012	13,454.6	3.72688
13,928.5	8.22243	13,928.5	3.72665
14,419.9	8.35828	14,419.9	3.66975
14,928.2	8.77029	14,928.2	3.71953
15,454.8	9.24159	15,454.8	4.01331
15,999.8	9.53995	15,999.8	4.2599
16,564.5	9.58976	16,564.5	4.33354
17,148.2	9.6204	17,148.2	4.33313
17,753.2	9.97848	17,753.2	4.42633
18,379.4	9.89673	18,379.4	4.43654
19,027.6	9.9214	19,027.6	4.51255
19,698.5	10.571	19,698.5	4.78085
19,999.5	10.6857	19,999.5	4.81921
