* Measurement data measured by REW V5.20 Beta 53
* Source: C:\Users\Napie\Music\REW\Top Speakers\New Folder\8-SP.txt
* Format: Comma/Tab/Space delimited data
* Dated: May 26, 2020 3:10:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\Napie\Music\REW\Top Speakers\New Folder\8-SP.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: 8-SP
* Smoothing: None
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	59.214806	-128.3464
20.144928	59.426998	-129.0508
20.290907	59.623837	-129.7574
20.437943	59.768085	-130.3849
20.586044	59.910896	-130.9736
20.735220	60.109695	-131.5355
20.885475	60.308773	-132.0744
21.036821	60.453262	-132.5993
21.189262	60.597805	-133.1074
21.342808	60.799252	-133.6076
21.497467	60.996777	-134.0735
21.653246	61.126717	-134.5026
21.810154	61.253819	-134.8317
21.968201	61.418900	-134.9054
22.127390	61.630737	-134.9968
22.287735	61.951454	-135.3975
22.449242	62.261784	-135.8996
22.611917	62.406559	-136.3830
22.775772	62.554775	-136.8744
22.940815	62.868374	-137.2906
23.107054	63.214546	-137.8411
23.274498	63.503239	-138.7697
23.443153	63.766659	-139.8914
23.613033	64.011864	-141.1223
23.784142	64.224831	-142.4009
23.956491	64.386177	-143.6607
24.130091	64.518860	-144.8327
24.304947	64.628487	-145.7813
24.481071	64.747833	-146.6399
24.658470	64.931923	-147.4995
24.837156	65.119751	-148.3538
25.017136	65.252716	-149.2451
25.198421	65.377869	-150.1181
25.381020	65.529228	-150.9093
25.564941	65.687851	-151.6853
25.750195	65.845261	-152.4934
25.936790	66.003799	-153.3279
26.124741	66.166901	-154.2091
26.314051	66.322777	-155.1057
26.504732	66.453888	-155.9911
26.696796	66.580841	-156.8719
26.890253	66.725647	-157.7464
27.085112	66.866837	-158.6130
27.281382	66.983101	-159.4693
27.479073	67.095840	-160.3159
27.678198	67.226807	-161.1551
27.878765	67.353821	-161.9798
28.080786	67.453926	-162.7837
28.284271	67.550865	-163.5659
28.489231	67.668968	-164.3248
28.695675	67.783844	-165.0570
28.903616	67.871445	-165.7705
29.113064	67.954872	-166.4291
29.324028	68.045181	-166.9560
29.536524	68.154861	-167.4803
29.750557	68.320747	-168.1278
29.966141	68.480835	-168.8342
30.183289	68.568039	-169.6140
30.402010	68.633919	-170.3561
30.622314	68.706093	-170.9120
30.844217	68.789894	-171.4084
31.067726	68.912895	-171.9336
31.292856	69.035835	-172.4562
31.519617	69.117271	-172.9927
31.748020	69.190910	-173.4874
31.978081	69.278137	-173.8681
32.209808	69.374870	-174.2016
32.443211	69.489975	-174.5442
32.678310	69.605850	-174.8566
32.915108	69.698387	-175.1215
33.153625	69.795868	-175.3278
33.393871	69.918610	-175.4234
33.635857	70.066757	-175.5138
33.879597	70.259827	-175.7101
34.125103	70.459732	-175.9447
34.372387	70.608902	-176.1389
34.621464	70.784691	-176.4364
34.872345	71.090630	-176.9799
35.125042	71.391670	-177.6950
35.379574	71.546715	-178.5905
35.635948	71.675842	-179.5588
35.894180	71.877731	179.5334
36.154285	72.076729	178.6004
36.416275	72.213867	177.5824
36.680161	72.336807	176.5346
36.945961	72.482841	175.5168
37.213688	72.624809	174.4566
37.483353	72.756317	173.2438
37.754974	72.851891	172.0508
38.028561	72.857071	171.0297
38.304131	72.851990	170.1321
38.581699	72.923264	169.3688
38.861279	72.997902	168.7119
39.142883	73.003998	168.1639
39.426529	73.023941	167.6447
39.712231	73.155930	167.0591
40.000000	73.281845	166.4549
40.289856	73.284279	165.7922
40.581814	73.258034	165.2397
40.875885	73.266479	164.9845
41.172089	73.287956	164.9319
41.470440	73.308372	165.0856
41.770950	73.367851	165.3356
42.073643	73.515915	165.6155
42.378525	73.710701	165.7969
42.685616	73.929306	165.7304
42.994934	74.163666	165.4117
43.306492	74.414276	164.7383
43.620308	74.632713	163.8555
