* Measurement data measured by REW V5.20 Beta 53
* Source: C:\Users\Napie\Music\REW\Top Speakers\New Folder\8-LW.txt
* Format: Comma/Tab/Space delimited data
* Dated: May 26, 2020 3:09:36 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\Napie\Music\REW\Top Speakers\New Folder\8-LW.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: 8-LW
* Smoothing: None
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	59.674820	-134.4908
20.144928	59.859081	-134.6819
20.290907	60.053822	-134.8349
20.437943	60.268208	-134.8970
20.586044	60.516811	-135.0538
20.735220	60.852203	-135.5331
20.885475	61.169666	-136.1562
21.036821	61.338062	-136.8340
21.189262	61.488792	-137.5251
21.342808	61.742050	-138.1227
21.497467	62.001698	-138.7342
21.653246	62.191452	-139.4520
21.810154	62.370754	-140.2160
21.968201	62.592728	-141.0066
22.127390	62.800789	-141.7941
22.287735	62.934761	-142.5488
22.449242	63.057896	-143.2515
22.611917	63.229767	-143.8693
22.775772	63.401802	-144.4144
22.940815	63.525528	-144.8742
23.107054	63.659801	-145.2895
23.274498	63.866257	-145.6749
23.443153	64.088692	-146.0954
23.613033	64.283791	-146.6433
23.784142	64.473831	-147.2505
23.956491	64.672119	-147.8857
24.130091	64.862793	-148.5293
24.304947	65.025169	-149.1476
24.481071	65.186775	-149.7512
24.658470	65.374100	-150.3227
24.837156	65.569725	-150.9131
25.017136	65.767761	-151.5864
25.198421	65.959808	-152.2873
25.381020	66.125404	-152.9646
25.564941	66.294830	-153.6693
25.750195	66.505203	-154.4261
25.936790	66.715752	-155.2639
26.124741	66.898148	-156.2628
26.314051	67.051804	-157.2935
26.504732	67.157623	-158.2628
26.696796	67.242897	-159.1420
26.890253	67.330025	-159.8666
27.085112	67.414902	-160.4514
27.281382	67.491577	-160.8586
27.479073	67.587845	-161.1816
27.678198	67.746826	-161.5079
27.878765	67.916763	-161.8176
28.080786	68.043640	-162.1359
28.284271	68.176796	-162.4137
28.489231	68.346741	-162.5473
28.695675	68.556679	-162.7237
28.903616	68.835205	-163.0795
29.113064	69.136566	-163.6630
29.324028	69.428627	-164.6056
29.536524	69.698692	-165.7935
29.750557	69.921387	-167.1839
29.966141	70.102814	-168.6933
30.183289	70.243797	-170.2668
30.402010	70.334915	-171.7762
30.622314	70.346687	-173.0647
30.844217	70.340004	-174.1618
31.067726	70.376007	-175.0054
31.292856	70.424927	-175.7140
31.519617	70.477486	-176.3923
31.748020	70.532936	-177.0203
31.978081	70.589737	-177.6269
32.209808	70.640930	-178.1693
32.443211	70.674080	-178.6247
32.678310	70.703964	-178.9617
32.915108	70.738579	-179.1389
33.153625	70.785934	-179.1631
33.393871	70.842575	-178.9558
33.635857	70.950783	-178.7303
33.879597	71.185310	-178.6692
34.125103	71.445656	-178.7867
34.372387	71.639862	-179.2108
34.621464	71.815750	-179.7811
34.872345	71.991882	179.6451
35.125042	72.164787	178.9938
35.379574	72.347916	178.2095
35.635948	72.508827	177.3790
35.894180	72.605148	176.5538
36.154285	72.679893	175.7861
36.416275	72.765747	175.1630
36.680161	72.851868	174.6317
36.945961	72.938309	174.1558
37.213688	73.024879	173.7725
37.483353	73.100815	173.5344
37.754974	73.197823	173.3602
38.028561	73.354385	173.2174
38.304131	73.539749	173.0123
38.581699	73.739021	172.6271
38.861279	73.942696	172.1019
39.142883	74.135414	171.4351
39.426529	74.319748	170.6352
39.712231	74.500572	169.6903
40.000000	74.655792	168.6606
40.289856	74.762871	167.5540
40.581814	74.827942	166.5154
40.875885	74.838760	165.6682
41.172089	74.828026	165.0856
41.470440	74.801140	164.9755
41.770950	74.827888	165.0578
42.073643	75.009468	165.2020
42.378525	75.257622	165.1643
42.685616	75.535629	164.5721
42.994934	75.788673	163.6794
43.306492	75.930893	162.5566
43.620308	76.018890	161.3857
43.936401	76.080421	160.3700
44.254780	76.116951	159.5172
44.575470	76.118980	158.9723
44.898483	76.146912	158.5257
45.223835	76.295822	158.0198
45.551544	76.452805	157.4409
45.881630	76.519310	156.6492
46.214108	76.545990	155.8661
46.548996	76.553200	155.2368
46.886307	76.534058	154.8524
47.226067	76.458366	154.8972
47.568283	76.416008	155.2372
47.912983	76.495041	155.9445
