"CEA2034"													
"On Axis"		"Listening Window"		"Early Reflections"		"Sound Power"		"Sound Power DI"		"Early Reflections DI"		"DI offset"	
"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"	"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"	"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"	"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"	"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"	"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"	"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"
20.5078	52.0036	20.5078	52.0411	20.5078	52.3816	20.5078	52.9417	20.5078	49.0995	20.5078	49.6595	20.5078	50
21.9727	54.6513	21.9727	54.6758	21.9727	54.8541	21.9727	55.2703	21.9727	49.4054	21.9727	49.8216	21.9727	50
23.4375	56.5294	23.4375	56.5398	23.4375	56.6367	23.4375	57.0076	23.4375	49.5322	23.4375	49.9031	23.4375	50
24.9023	58.5876	24.9023	58.5984	24.9023	58.6787	24.9023	59.0174	24.9023	49.5811	24.9023	49.9197	24.9023	50
26.3672	61.1573	26.3672	61.1636	26.3672	61.177	26.3672	61.4113	26.3672	49.7523	26.3672	49.9866	26.3672	50
27.832	62.4059	27.832	62.4118	27.832	62.4262	27.832	62.6537	27.832	49.7582	27.832	49.9856	27.832	50
29.2969	64.1512	29.2969	64.1545	29.2969	64.1428	29.2969	64.3343	29.2969	49.8203	29.2969	50.0117	29.2969	50
30.7617	65.8657	30.7617	65.8686	30.7617	65.8561	30.7617	66.0402	30.7617	49.8284	30.7617	50.0124	30.7617	50
32.2266	67.2189	32.2266	67.2211	32.2266	67.2042	32.2266	67.3687	32.2266	49.8524	32.2266	50.0169	32.2266	50
