"Estimated In-Room Response"
"Estimated In-Room Response"
"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"
20.5078	52.5998
21.9727	55.0221
23.4375	56.7927
24.9023	58.8218
26.3672	61.2801
27.832	62.5261
29.2969	64.2295
30.7617	65.9395
32.2266	67.2793
33.6914	68.7815
35.1562	70.1662
36.6211	71.3405
38.0859	72.7361
39.5508	74.0384
41.0156	75.2758
42.4805	76.5423
43.9453	77.6878
45.4102	78.7511
46.875	79.7369
48.3398	80.5599
51.2695	81.9192
52.7344	82.4083
54.1992	82.7866
55.6641	82.9621
58.5938	83.1944
60.0586	83.2891
62.9883	83.2909
64.4531	83.2395
67.3828	83.0679
68.8477	83.013
71.7773	82.9539
74.707	82.9647
77.6367	82.9125
79.1016	82.846
82.0312	82.6757
84.9609	82.613
87.8906	82.5141
90.8203	82.796
95.2148	82.3189
98.1445	82.3417
101.074	82.197
105.469	82.3249
108.398	82.4114
112.793	82.409
117.188	82.3065
120.117	82.4002
124.512	82.164
128.906	82.1445
133.301	82.0426
139.16	81.9401
143.555	81.8324
147.949	81.7252
153.809	81.579
159.668	81.5737
165.527	81.5922
171.387	81.5737
177.246	81.3239
183.105	80.9669
188.965	80.9184
196.289	80.9677
203.613	80.6993
210.938	80.7
218.262	80.5136
225.586	80.4547
232.91	80.4305
241.699	79.919
250.488	79.3963
259.277	79.1316
268.066	81.5083
276.855	81.3337
287.109	81.0618
297.363	81.2428
307.617	81.4389
319.336	81.2118
329.59	81.521
341.309	81.919
353.027	82.7927
366.211	82.7878
379.395	75.2199
392.578	75.8943
405.762	76.8098
420.41	77.795
435.059	77.6017
451.172	78.2661
465.82	78.5664
483.398	78.792
499.512	78.6778
517.09	79.6666
536.133	79.2009
555.176	79.5711
574.219	79.8687
594.727	79.7558
615.234	79.9244
637.207	79.9014
659.18	80.8731
682.617	82.243
707.52	82.0908
732.422	81.0772
757.324	78.9892
785.156	81.8132
811.523	77.8837
840.82	78.9067
870.117	77.2163
900.879	77.5031
933.105	76.4367
965.332	79.0572
1,000.49	78.2379
1,035.64	77.726
1,072.27	78.0017
1,108.89	78.4162
1,148.44	77.442
1,189.45	78.4364
1,230.47	79.0907
1,274.41	78.398
1,319.82	79.8928
1,366.7	80.6369
1,413.57	80.2473
1,463.38	80.4647
1,516.11	79.6702
1,568.85	79.5055
1,624.51	79.4355
1,681.64	80.4399
1,741.7	80.3063
1,803.22	80.6989
1,866.21	80.6392
1,932.13	79.5325
1,999.51	79.1206
2,069.82	78.5737
2,143.07	77.4398
2,219.24	75.8932
2,296.88	78.4803
2,378.91	79.6645
2,462.4	80.5374
2,548.83	79.142
2,639.65	75.7331
2,731.93	77.8741
2,828.61	79.8709
2,928.22	80.9134
3,030.76	81.0092
3,137.7	80.3258
3,249.02	79.5144
3,363.28	79.0973
3,481.93	78.5642
3,604.98	78.2775
3,732.42	77.0724
3,864.26	78.0038
4,000.49	79.3808
4,141.11	79.484
4,287.6	79.5775
4,438.48	79.0693
4,595.21	78.1042
4,756.35	78.4307
4,924.8	78.0026
5,097.66	78.9131
5,277.83	79.6883
5,463.87	79.7785
5,657.23	78.9188
5,856.45	79.4871
6,062.99	80.6308
6,276.86	79.0984
6,498.05	77.7368
6,726.56	77.3281
6,963.87	81.6931
7,209.96	83.5504
7,464.84	82.5445
7,727.05	79.4008
7,999.51	80.8249
8,282.23	82.6422
8,573.73	82.9356
8,876.95	81.1556
9,188.96	82.9387
9,514.16	84.2047
9,849.61	83.5282
10,196.8	83.0567
10,555.7	82.0159
10,927.7	81.0461
11,313	81.8399
11,712.9	82.3908
12,126	83.8295
12,553.7	84.2335
12,996.1	84.4999
13,454.6	84.0826
13,929.2	85.3551
14,419.9	85.3258
14,928.2	85.3144
15,455.6	85.2221
16,000.5	84.4843
16,564.5	84.6836
17,148.9	83.7412
17,752.4	82.8334
18,379.4	81.6265
19,026.9	80.3278
19,697.8	80.1979
19,999.5	80.5202
