"Early Reflections"
"Floor Bounce"		"Ceiling Bounce"		"Front Wall Bounce"		"Side Wall Bounce"		"Rear Wall Bounce (full horizontal rear)"		"Total Early Reflection"
"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"	"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"	"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"	"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"	"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"	"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa/V)  [2.83  V @ 1. m]"
20.5078	53.572	20.5078	50.9872	20.5078	52.0341	20.5078	52.2515	20.5078	52.6579	20.5078	52.3816
21.9727	56.0493	21.9727	53.4998	21.9727	54.669	21.9727	54.7797	21.9727	54.8968	21.9727	54.8541
23.4375	57.9236	23.4375	55.1344	23.4375	56.5307	23.4375	56.546	23.4375	56.6031	23.4375	56.6367
24.9023	59.9427	24.9023	57.1606	24.9023	58.5904	24.9023	58.6122	24.9023	58.6461	24.9023	58.6787
26.3672	62.2928	26.3672	59.8787	26.3672	61.1573	26.3672	61.1513	26.3672	61.0708	26.3672	61.177
27.832	63.5019	27.832	61.1769	27.832	62.4058	27.832	62.4011	27.832	62.3357	27.832	62.4262
29.2969	65.1818	29.2969	62.946	29.2969	64.1488	29.2969	64.126	29.2969	64.0243	29.2969	64.1428
30.7617	66.8294	30.7617	64.735	30.7617	65.8633	30.7617	65.842	30.7617	65.7591	30.7617	65.8561
32.2266	68.1658	32.2266	66.101	32.2266	67.2159	32.2266	67.1928	32.2266	67.1004	32.2266	67.2042
33.6914	69.6658	33.6914	67.7134	33.6914	68.8101	33.6914	68.7441	33.6914	68.5091	33.6914	68.7335
35.1562	71.0917	35.1562	69.0771	35.1562	70.1921	35.1562	70.1084	35.1562	69.8615	35.1562	70.1144
36.6211	72.2517	36.6211	70.2791	36.6211	71.3745	36.6211	71.285	36.6211	71.0417	36.6211	71.2927
38.0859	73.6393	38.0859	71.7452	38.0859	72.8112	38.0859	72.7011	38.0859	72.3921	38.0859	72.7016
39.5508	74.9109	39.5508	73.095	39.5508	74.1191	39.5508	74.0061	39.5508	73.7049	39.5508	74.0076
41.0156	76.1516	41.0156	74.3745	41.0156	75.389	41.0156	75.2563	41.0156	74.903	41.0156	75.2546
42.4805	77.4092	42.4805	75.6734	42.4805	76.6729	42.4805	76.5282	42.4805	76.1558	42.4805	76.5264
43.9453	78.5525	43.9453	76.8373	43.9453	77.8353	43.9453	77.6789	43.9453	77.2885	43.9453	77.6766
45.4102	79.6079	45.4102	77.9368	45.4102	78.9173	45.4102	78.7493	45.4102	78.334	45.4102	78.746
46.875	80.5628	46.875	78.959	46.875	79.9032	46.875	79.7378	46.875	79.3344	46.875	79.7336
48.3398	81.3648	48.3398	79.7985	48.3398	80.7237	48.3398	80.5618	48.3398	80.1758	48.3398	80.5573
51.2695	82.7099	51.2695	81.1995	51.2695	82.1028	51.2695	81.9286	51.2695	81.5217	51.2695	81.9234
52.7344	83.2033	52.7344	81.7159	52.7344	82.615	52.7344	82.4237	52.7344	81.9824	52.7344	82.4191
54.1992	83.5776	54.1992	82.1232	54.1992	83.0089	54.1992	82.8038	54.1992	82.3446	54.1992	82.8021
55.6641	83.7441	55.6641	82.2897	55.6641	83.1738	55.6641	82.9779	55.6641	82.5413	55.6641	82.9752
58.5938	84.0258	58.5938	82.531	58.5938	83.4604	58.5938	83.2259	58.5938	82.6941	58.5938	83.2212
60.0586	84.1165	60.0586	82.6585	60.0586	83.5708	60.0586	83.3305	60.0586	82.7591	60.0586	83.3206
