* Freq[Hz]      Mag   Phase[Deg]
5.00000    -25.619     0.000
5.07273    -25.242     0.000
5.14651    -24.981     0.000
5.22137    -25.043     0.000
5.29732    -25.105     0.000
5.37437    -25.167     0.000
5.45254    -25.229     0.000
5.53185    -25.542     0.000
5.61231    -26.119     0.000
5.69394    -26.697     0.000
5.77676    -27.274     0.000
5.86079    -27.844     0.000
5.94604    -27.986     0.000
6.03252    -28.128     0.000
6.12027    -28.270     0.000
6.20929    -28.411     0.000
6.29961    -27.432     0.000
6.39124    -26.205     0.000
6.48420    -24.978     0.000
6.57851    -23.750     0.000
6.67420    -22.907     0.000
6.77128    -22.126     0.000
6.86977    -21.345     0.000
6.96969    -20.644     0.000
7.07107    -20.548     0.000
7.17392    -20.451     0.000
7.27827    -20.355     0.000
7.38413    -20.661     0.000
7.49154    -21.277     0.000
7.60050    -21.894     0.000
7.71105    -22.385     0.000
7.82321    -22.326     0.000
7.93701    -22.266     0.000
8.05245    -22.207     0.000
8.16958    -20.699     0.000
8.28841    -19.136     0.000
8.40896    -17.574     0.000
8.53128    -16.520     0.000
8.65537    -15.532     0.000
8.78126    -14.545     0.000
8.90899    -14.090     0.000
9.03857    -13.670     0.000
9.17004    -13.186     0.000
9.30342    -12.192     0.000
9.43874    -11.197     0.000
9.57603     -9.812     0.000
9.71532     -7.830     0.000
9.85663     -5.849     0.000
10.0000     -4.039     0.000
10.1455     -2.279     0.000
10.2930     -0.657     0.000
10.4427      0.573     0.000
10.5946      1.802     0.000
10.7487      2.624     0.000
10.9051      3.365     0.000
11.0637      3.862     0.000
11.2246      4.100     0.000
11.3879      4.223     0.000
11.5535      3.928     0.000
11.7216      3.626     0.000
11.8921      2.972     0.000
12.0650      2.319     0.000
12.2405      2.432     0.000
12.4186      2.644     0.000
12.5992      4.019     0.000
12.7825      5.653     0.000
12.9684      7.270     0.000
13.1570      8.884     0.000
13.3484     10.060     0.000
13.5426     11.165     0.000
13.7395     11.757     0.000
13.9394     12.267     0.000
14.1421     12.298     0.000
14.3478     12.134     0.000
14.5565     11.550     0.000
14.7683     10.498     0.000
14.9831      9.085     0.000
15.2010      6.467     0.000
15.4221      3.353     0.000
15.6464     -1.041     0.000
15.8740     -0.858     0.000
16.1049      2.981     0.000
16.3392      6.002     0.000
16.5768      8.376     0.000
16.8179      9.851     0.000
17.0626     10.533     0.000
17.3107     10.856     0.000
17.5625     10.786     0.000
17.8180     10.256     0.000
18.0771      9.572     0.000
18.3401      8.800     0.000
18.6068      8.266     0.000
18.8775      8.297     0.000
19.1521      8.802     0.000
19.4306      9.760     0.000
19.7133     11.062     0.000
20.0000     12.511     0.000
20.2909     14.015     0.000
20.5860     15.493     0.000
20.8855     16.849     0.000
21.1893     17.933     0.000
21.4975     18.733     0.000
21.8102     19.280     0.000
22.1274     19.650     0.000
22.4492     19.985     0.000
22.7758     20.474     0.000
23.1071     21.262     0.000
23.4432     22.320     0.000
23.7841     23.448     0.000
24.1301     24.467     0.000
24.4811     25.330     0.000
24.8372     26.068     0.000
25.1984     26.759     0.000
25.5649     27.476     0.000
25.9368     28.243     0.000
26.3141     29.032     0.000
26.6968     29.799     0.000
27.0851     30.520     0.000
27.4791     31.219     0.000
27.8788     31.934     0.000
28.2843     32.684     0.000
28.6957     33.451     0.000
29.1131     34.199     0.000
29.5365     34.909     0.000
29.9661     35.590     0.000
30.4020     36.279     0.000
30.8442     37.007     0.000
31.2929     37.765     0.000
31.7480     38.527     0.000
32.2098     39.273     0.000
32.6783     40.005     0.000
33.1536     40.746     0.000
33.6359     41.511     0.000
34.1251     42.291     0.000
34.6215     43.065     0.000
35.1250     43.826     0.000
35.6359     44.585     0.000
36.1543     45.357     0.000
36.6802     46.139     0.000
37.2137     46.920     0.000
37.7550     47.694     0.000
38.3041     48.470     0.000
38.8613     49.254     0.000
39.4265     50.041     0.000
40.0000     50.811     0.000
40.5818     51.568     0.000
41.1721     52.325     0.000
41.7710     53.071     0.000
42.3785     53.764     0.000
42.9949     54.389     0.000
43.6203     54.990     0.000
44.2548     55.640     0.000
44.8985     56.352     0.000
45.5515     57.065     0.000
46.2141     57.731     0.000
46.8863     58.356     0.000
47.5683     58.969     0.000
48.2602     59.568     0.000
48.9621     60.138     0.000
49.6743     60.672     0.000
50.3968     61.174     0.000
51.1299     61.641     0.000
51.8736     62.076     0.000
52.6281     62.482     0.000
53.3936     62.858     0.000
54.1702     63.201     0.000
54.9581     63.518     0.000
55.7575     63.813     0.000
56.5685     64.084     0.000
57.3914     64.331     0.000
58.2261     64.558     0.000
59.0730     64.761     0.000
59.9323     64.946     0.000
60.8040     65.122     0.000
61.6884     65.299     0.000
62.5857     65.478     0.000
63.4960     65.651     0.000
64.4196     65.817     0.000
65.3566     65.978     0.000
66.3073     66.132     0.000
67.2717     66.279     0.000
68.2502     66.423     0.000
69.2429     66.573     0.000
70.2501     66.741     0.000
71.2719     66.923     0.000
72.3086     67.108     0.000
73.3603     67.280     0.000
74.4274     67.457     0.000
75.5099     67.641     0.000
76.6083     67.799     0.000
77.7226     67.972     0.000
78.8531     68.185     0.000
80.0000     68.416     0.000
81.1636     68.663     0.000
82.3442     68.917     0.000
83.5419     69.167     0.000
84.7570     69.407     0.000
85.9899     69.637     0.000
87.2406     69.864     0.000
88.5096     70.108     0.000
89.7970     70.364     0.000
91.1031     70.600     0.000
92.4282     70.796     0.000
93.7726     70.960     0.000
95.1366     71.114     0.000
96.5204     71.282     0.000
97.9243     71.461     0.000
99.3486     71.654     0.000
100.794     71.848     0.000
102.260     72.023     0.000
103.747     72.181     0.000
105.256     72.321     0.000
106.787     72.441     0.000
108.340     72.527     0.000
109.916     72.564     0.000
111.515     72.586     0.000
113.137     72.630     0.000
114.783     72.663     0.000
116.452     72.676     0.000
118.146     72.684     0.000
119.865     72.694     0.000
121.608     72.687     0.000
123.377     72.672     0.000
125.171     72.652     0.000
126.992     72.616     0.000
128.839     72.565     0.000
130.713     72.495     0.000
132.615     72.402     0.000
134.543     72.307     0.000
136.500     72.237     0.000
138.486     72.168     0.000
140.500     72.068     0.000
142.544     71.925     0.000
144.617     71.775     0.000
146.721     71.688     0.000
148.855     71.653     0.000
151.020     71.604     0.000
153.217     71.511     0.000
155.445     71.428     0.000
157.706     71.297     0.000
160.000     71.043     0.000
162.327     70.878     0.000
164.688     70.788     0.000
167.084     70.781     0.000
169.514     70.770     0.000
171.980     70.469     0.000
174.481     70.224     0.000
177.019     70.110     0.000
179.594     70.062     0.000
182.206     70.043     0.000
184.856     70.072     0.000
187.545     70.107     0.000
190.273     70.161     0.000
193.041     70.168     0.000
195.849     70.142     0.000
198.697     70.110     0.000
201.587     70.000     0.000
204.520     69.814     0.000
207.494     69.632     0.000
210.512     69.520     0.000
213.574     69.492     0.000
216.681     69.460     0.000
219.833     69.353     0.000
223.030     69.255     0.000
226.274     69.211     0.000
229.565     69.254     0.000
232.905     69.199     0.000
236.292     69.172     0.000
239.729     69.210     0.000
243.216     69.300     0.000
246.754     69.252     0.000
250.343     69.103     0.000
253.984     69.069     0.000
257.678     69.075     0.000
261.426     69.116     0.000
265.229     69.087     0.000
269.087     68.856     0.000
273.001     68.789     0.000
276.972     68.899     0.000
281.000     68.893     0.000
285.088     68.924     0.000
289.234     69.013     0.000
293.441     69.161     0.000
297.709     69.081     0.000
302.040     69.005     0.000
306.433     68.741     0.000
310.890     68.822     0.000
315.412     68.916     0.000
320.000     68.739     0.000
324.655     68.529     0.000
329.377     68.538     0.000
334.168     68.576     0.000
339.028     68.515     0.000
343.959     68.740     0.000
348.962     68.655     0.000
354.038     68.484     0.000
359.188     68.543     0.000
364.412     68.438     0.000
369.713     68.404     0.000
375.090     68.470     0.000
380.546     68.473     0.000
386.081     68.592     0.000
391.697     68.507     0.000
397.394     68.449     0.000
403.175     68.318     0.000
409.039     68.269     0.000
414.989     68.276     0.000
421.025     68.283     0.000
427.149     68.266     0.000
433.362     68.233     0.000
439.665     68.259     0.000
446.060     68.222     0.000
452.548     68.221     0.000
459.131     68.213     0.000
