"Vertical Reflections"					
"Floor Reflection"		"Ceiling Reflection"		"Total Vertical Reflection"	
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
20.5078	38.7418	20.5078	37.5139	20.5078	38.1711
21.9727	45.6151	21.9727	43.4657	21.9727	44.672
23.4375	47.1627	23.4375	45.0391	23.4375	46.2294
24.9023	48.0435	24.9023	45.8127	24.9023	47.0698
26.3672	50.5637	26.3672	48.5549	26.3672	49.6744
27.832	52.9642	27.832	50.4805	27.832	51.8975
29.2969	53.7591	29.2969	51.7932	29.2969	52.8864
30.7617	54.5167	30.7617	53.0967	30.7617	53.8645
32.2266	57.2701	32.2266	56.0519	32.2266	56.7036
33.6914	58.6559	33.6914	57.6172	33.6914	58.1675
35.1562	60.4103	35.1562	59.3659	35.1562	59.9194
36.6211	62.1291	36.6211	61.2887	36.6211	61.7292
38.0859	63.6424	38.0859	62.9245	38.0859	63.2983
39.5508	65.1749	39.5508	64.6888	39.5508	64.9387
41.0156	67.1192	41.0156	66.7977	41.0156	66.9614
42.4805	68.6526	42.4805	68.2498	42.4805	68.4559
43.9453	70.0898	43.9453	69.8057	43.9453	69.9501
45.4102	71.8638	45.4102	71.5873	45.4102	71.7278
46.875	73.5595	46.875	73.2878	46.875	73.4258
48.3398	75.1283	48.3398	74.859	48.3398	74.9958
51.2695	78.0965	51.2695	77.908	51.2695	78.0033
52.7344	79.4364	52.7344	79.2584	52.7344	79.3483
54.1992	80.6193	54.1992	80.4573	54.1992	80.5391
55.6641	81.5539	55.6641	81.3709	55.6641	81.4634
58.5938	82.8438	58.5938	82.6801	58.5938	82.7627
60.0586	83.1657	60.0586	83.0056	60.0586	83.0864
62.9883	83.3746	62.9883	83.2173	62.9883	83.2967
64.4531	83.3341	64.4531	83.1776	64.4531	83.2565
67.3828	83.1779	67.3828	83.0353	67.3828	83.1072
68.8477	83.1259	68.8477	82.9865	68.8477	83.0567
71.7773	83.0723	71.7773	82.9377	71.7773	83.0055
74.707	83.0654	74.707	82.9497	74.707	83.0079
77.6367	83.0418	77.6367	82.9312	77.6367	82.9868
79.1016	83.0462	79.1016	82.9392	79.1016	82.993
82.0312	83.0903	82.0312	82.9936	82.0312	83.0422
84.9609	83.1749	84.9609	83.0573	84.9609	83.1165
87.8906	83.1882	87.8906	83.1106	87.8906	83.1496
90.8203	83.2747	90.8203	83.2299	90.8203	83.2523
95.2148	83.4354	95.2148	83.4509	95.2148	83.4432
98.1445	83.565	98.1445	83.6139	98.1445	83.5895
101.074	83.7478	101.074	83.8224	101.074	83.7853
105.469	83.7869	105.469	83.9746	105.469	83.8818
108.398	84.1271	108.398	84.2328	108.398	84.1803
112.793	84.4943	112.793	84.4976	112.793	84.496
117.188	84.6064	117.188	84.6176	117.188	84.612
120.117	84.7654	120.117	84.7494	120.117	84.7574
124.512	85.0646	124.512	84.9753	124.512	85.0201
128.906	85.2006	128.906	85.0901	128.906	85.1457
133.301	85.1526	133.301	85.0649	133.301	85.109
139.16	85.1168	139.16	85.0483	139.16	85.0827
143.555	85.2958	143.555	85.1151	143.555	85.2064
147.949	85.499	147.949	85.2433	147.949	85.373
153.809	85.5312	153.809	85.2035	153.809	85.3704
159.668	85.4874	159.668	85.0848	159.668	85.2908
165.527	85.6315	165.527	85.2026	165.527	85.4223
171.387	85.5108	171.387	85.0581	171.387	85.2904
177.246	85.3816	177.246	84.971	177.246	85.1811
183.105	85.6132	183.105	84.89	183.105	85.2666
188.965	85.5204	188.965	84.9921	188.965	85.2643
196.289	85.5285	196.289	84.9864	196.289	85.2659
203.613	85.5091	203.613	84.8543	203.613	85.194
210.938	85.4996	210.938	84.711	210.938	85.1232
218.262	85.2037	218.262	84.4973	218.262	84.8648
225.586	85.0735	225.586	84.2356	225.586	84.6747
232.91	85.2279	232.91	84.3087	232.91	84.7926
241.699	85.2333	241.699	83.9637	241.699	84.6447
250.488	85.552	250.488	83.7513	250.488	84.7443
259.277	85.1047	259.277	83.6144	259.277	84.4231
268.066	85.1015	268.066	83.1551	268.066	84.2365
276.855	84.8802	276.855	83.3651	276.855	84.1884
287.109	84.2308	287.109	83.2687	287.109	83.7763
297.363	84.2819	297.363	83.5561	297.363	83.9342
307.617	84.1476	307.617	83.367	307.617	83.7748
319.336	84.1564	319.336	82.6069	319.336	83.4504
329.59	84.1595	329.59	82.2703	329.59	83.3168
341.309	84.9367	341.309	82.9489	341.309	84.0555
353.027	84.8253	353.027	82.8566	353.027	83.9516
366.211	84.8687	366.211	82.8896	366.211	83.9909
379.395	84.8897	379.395	83.3404	379.395	84.1838
392.578	84.2837	392.578	82.6209	392.578	83.5314
405.762	84.2178	405.762	82.7052	405.762	83.5271
420.41	84.1272	420.41	82.7635	420.41	83.4986
435.059	83.9431	435.059	82.1619	435.059	83.1432
451.172	84.6174	451.172	82.2037	451.172	83.5761
465.82	83.9838	465.82	82.0757	465.82	83.1337
483.398	83.5213	483.398	82.2027	483.398	82.9119
499.512	84.1765	499.512	82.0228	499.512	83.2318
517.09	83.8369	517.09	81.9533	517.09	82.9964
536.133	84.1939	536.133	80.2952	536.133	82.6681
555.176	84.3894	555.176	80.546	555.176	82.8797
