"Directivity Index"
"Sound Power DI"		"Early Reflections DI"
"Frequency [Hz]"	"[dB] Directivity Index "	"Frequency [Hz]"	"[dB] Directivity Index "
20.5078	0.97322	20.5078	0.354835
23.4375	0.521584	23.4375	0.278871
26.3672	-0.345427	26.3672	-0.00800991
29.2969	-0.1674	29.2969	0.0264071
32.2266	-0.240546	32.2266	0.0104206
35.1563	-0.160923	35.1563	0.0306002
38.0859	-0.133166	38.0859	0.0549174
41.0156	-0.111502	41.0156	0.0606918
43.9453	-0.0224468	43.9453	0.091363
46.875	-0.0644774	46.875	0.0761525
49.8047	-0.0405408	49.8047	0.0848513
55.6641	-0.0315904	55.6641	0.0859734
58.5938	-0.0167415	58.5938	0.10213
61.5234	-0.00109187	61.5234	0.107987
67.3828	0.0145489	67.3828	0.116257
73.2422	0.0586343	73.2422	0.135592
76.1719	0.0969641	76.1719	0.150932
82.0313	0.0667093	82.0313	0.141639
87.8906	0.160733	87.8906	0.181437
93.75	0.0940309	93.75	0.166899
102.539	0.287563	102.539	0.252252
108.398	0.528039	108.398	0.343718
117.188	0.616504	117.188	0.362187
125.977	0.700985	125.977	0.397541
134.766	0.722323	134.766	0.411963
143.555	0.856676	143.555	0.459258
155.273	1.10663	155.273	0.573182
164.063	1.48594	164.063	0.694171
175.781	1.50563	175.781	0.673459
190.43	2.04797	190.43	0.885892
202.148	2.3011	202.148	0.900409
216.797	2.47297	216.797	0.938144
234.375	2.82808	234.375	1.04568
249.023	3.0294	249.023	1.11608
266.602	3.61353	266.602	1.21366
287.109	3.59415	287.109	1.23251
307.617	3.89405	307.617	1.31471
331.055	3.81509	331.055	1.2954
354.492	4.00809	354.492	1.31904
377.93	3.73638	377.93	1.19911
407.227	3.86929	407.227	1.5265
436.523	4.2799	436.523	1.76074
465.82	4.2329	465.82	1.576
500.977	4.47009	500.977	1.77204
536.133	4.75605	536.133	1.91312
574.219	4.49428	574.219	1.8161
615.234	4.8848	615.234	1.96776
659.18	5.02401	659.18	2.099
706.055	4.73376	706.055	1.85659
758.789	4.83489	758.789	2.04217
811.523	4.70873	811.523	2.0238
870.117	4.54038	870.117	1.86281
931.641	5.02408	931.641	2.17409
999.023	4.91131	999.023	2.33435
1,072.27	4.17245	1,072.27	2.00588
1,148.44	4.33757	1,148.44	1.96265
1,230.47	4.5251	1,230.47	1.88112
1,318.36	4.57237	1,318.36	1.8846
1,415.04	3.95886	1,415.04	1.32095
1,514.65	4.08749	1,514.65	1.22473
1,623.05	4.34824	1,623.05	1.28175
1,740.23	4.85177	1,740.23	1.59121
1,866.21	5.48417	1,866.21	1.92712
2,000.98	6.00181	2,000.98	2.366
2,144.53	6.42033	2,144.53	2.62041
2,296.88	6.0483	2,296.88	2.48284
2,460.94	5.87451	2,460.94	2.2976
2,639.65	5.27752	2,639.65	1.9204
2,827.15	4.71795	2,827.15	1.49985
3,032.23	4.50279	3,032.23	1.21762
3,249.02	4.2193	3,249.02	1.04475
3,483.4	4.62803	3,483.4	1.27806
3,732.42	5.00538	3,732.42	1.42924
3,999.02	5.49645	3,999.02	1.68075
4,286.13	6.07853	4,286.13	2.11075
4,593.75	6.52689	4,593.75	2.43904
4,924.8	6.79945	4,924.8	2.71738
5,279.3	6.71568	5,279.3	2.68879
5,657.23	6.92293	5,657.23	2.76909
6,061.52	6.90638	6,061.52	2.66207
6,498.05	6.68489	6,498.05	2.50926
6,963.87	6.31978	6,963.87	2.29725
7,464.84	6.26433	7,464.84	2.30586
8,000.98	6.80063	8,000.98	2.67617
8,575.2	7.36071	8,575.2	2.95312
9,190.43	7.4718	9,190.43	3.01457
9,849.61	7.79312	9,849.61	3.24969
10,555.7	8.24229	10,555.7	3.48135
11,314.5	8.47439	11,314.5	3.60644
12,126	8.64032	12,126	3.7275
12,996.1	8.95265	12,996.1	3.91052
13,927.7	9.16783	13,927.7	4.01494
14,929.7	9.27886	14,929.7	4.00334
15,999	9.42248	15,999	4.08459
17,147.5	9.52229	17,147.5	4.1323
18,377.9	9.75672	18,377.9	4.27973
19,699.2	10.0197	19,699.2	4.48793
19,998	10.0661	19,998	4.55016
