"Horizontal Reflections"
"Front"		"Side"		"Rear"		"Total Horizontal Reflection"
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
20.5078	53.0385	20.5078	49.7834	20.5078	50.4726	20.5078	50.9487
21.9727	53.3542	21.9727	50.6007	21.9727	57.0122	21.9727	55.3052
23.4375	50.4666	23.4375	47.3806	23.4375	59.0811	23.4375	56.6649
24.9023	55.3266	24.9023	54.5301	24.9023	61.915	24.9023	59.847
26.3672	58.0845	26.3672	57.6487	26.3672	63.8222	26.3672	61.9292
27.832	60.5332	27.832	60.3843	27.832	65.9271	27.832	64.1321
29.2969	62.9058	29.2969	63.0732	29.2969	68.1475	29.2969	66.423
30.7617	65.4074	30.7617	65.7947	30.7617	70.2172	30.7617	68.6205
32.2266	68.2262	32.2266	68.5243	32.2266	72.3252	32.2266	70.8938
33.6914	70.4396	33.6914	70.8067	33.6914	74.2966	33.6914	72.9426
35.1562	72.6681	35.1562	73.0795	35.1562	76.3045	35.1562	75.021
36.6211	75.0555	36.6211	75.4562	36.6211	78.3247	36.6211	77.1493
38.0859	77.0974	38.0859	77.5152	38.0859	80.1878	38.0859	79.0715
39.5508	79.0529	39.5508	79.4818	39.5508	81.9327	39.5508	80.8866
41.0156	80.7538	41.0156	81.1491	41.0156	83.2824	41.0156	82.3478
42.4805	81.7949	42.4805	82.1651	42.4805	84.1274	42.4805	83.2561
43.9453	82.5415	43.9453	82.8929	43.9453	84.6881	43.9453	83.8795
45.4102	82.8433	45.4102	83.2114	45.4102	84.9162	45.4102	84.1384
46.875	83.0707	46.875	83.4351	46.875	84.9968	46.875	84.2728
48.3398	83.1031	48.3398	83.4529	48.3398	84.8643	48.3398	84.1997
51.2695	83.0275	51.2695	83.3509	51.2695	84.5102	51.2695	83.9485
52.7344	82.9741	52.7344	83.2799	52.7344	84.3218	52.7344	83.8102
54.1992	82.9698	54.1992	83.2638	54.1992	84.2233	54.1992	83.7473
55.6641	83.0474	55.6641	83.3325	55.6641	84.2157	55.6641	83.7726
58.5938	83.1005	58.5938	83.3737	58.5938	84.0891	58.5938	83.7186
60.0586	83.2471	60.0586	83.5086	60.0586	84.1172	60.0586	83.7944
62.9883	83.4677	62.9883	83.6996	62.9883	84.1469	62.9883	83.8996
64.4531	83.5483	64.4531	83.7656	64.4531	84.1358	64.4531	83.9254
67.3828	83.7525	67.3828	83.9312	67.3828	84.1432	67.3828	84.0111
68.8477	83.8807	68.8477	84.0523	68.8477	84.2188	68.8477	84.1088
71.7773	84.2865	71.7773	84.4259	71.7773	84.4637	71.7773	84.4193
74.707	84.4996	74.707	84.6521	74.707	84.6911	74.707	84.6436
77.6367	84.6819	77.6367	84.8383	77.6367	84.837	77.6367	84.8076
79.1016	84.8194	79.1016	84.9607	79.1016	84.9082	79.1016	84.9058
82.0312	85.1154	82.0312	85.2198	82.0312	85.0738	82.0312	85.1229
84.9609	85.3566	84.9609	85.4245	84.9609	85.1667	84.9609	85.2768
87.8906	85.3727	87.8906	85.471	87.8906	85.2578	87.8906	85.3403
90.8203	85.5937	90.8203	85.6721	90.8203	85.4156	90.8203	85.523
95.2148	85.8163	95.2148	85.7917	95.2148	85.3703	95.2148	85.5794
98.1445	86.0623	98.1445	85.97	98.1445	85.2745	98.1445	85.6365
101.074	86.2172	101.074	86.0605	101.074	85.1419	101.074	85.6343
105.469	86.1171	105.469	86.0817	105.469	85.4649	105.469	85.7745
