"Vertical Reflections"
"Floor Reflection"		"Ceiling Reflection"		"Total Vertical Reflection"
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
20.5078	44.8445	20.5078	41.9078	20.5078	43.6198
21.9727	47.4431	21.9727	48.037	21.9727	47.7502
23.4375	53.0014	23.4375	48.9797	23.4375	51.4404
24.9023	52.1541	24.9023	48.8708	24.9023	50.8156
26.3672	54.3338	26.3672	52.2827	26.3672	53.4282
27.832	57.263	27.832	55.304	27.832	56.393
29.2969	58.3567	29.2969	57.4583	29.2969	57.9307
30.7617	60.5318	30.7617	59.0533	30.7617	59.8552
32.2266	61.5891	32.2266	60.5043	32.2266	61.0805
33.6914	62.9611	33.6914	62.2829	33.6914	62.6352
35.1562	64.2385	35.1562	63.8984	35.1562	64.0718
36.6211	65.8702	36.6211	65.4974	36.6211	65.6878
38.0859	66.9843	38.0859	66.6932	38.0859	66.8412
39.5508	68.3647	39.5508	68.1444	39.5508	68.256
41.0156	69.5986	41.0156	69.4764	41.0156	69.538
42.4805	70.9749	42.4805	70.8096	42.4805	70.893
43.9453	72.0007	43.9453	71.9441	43.9453	71.9725
45.4102	73.1513	45.4102	73.0924	45.4102	73.1219
46.875	74.2144	46.875	74.1784	46.875	74.1964
48.3398	75.0655	48.3398	75.0176	48.3398	75.0416
51.2695	76.896	51.2695	76.8689	51.2695	76.8824
52.7344	77.758	52.7344	77.7356	52.7344	77.7468
54.1992	78.516	54.1992	78.4869	54.1992	78.5015
55.6641	79.1461	55.6641	79.1184	55.6641	79.1323
58.5938	80.2117	58.5938	80.1777	58.5938	80.1947
60.0586	80.6841	60.0586	80.6378	60.0586	80.661
62.9883	81.5917	62.9883	81.5182	62.9883	81.5551
64.4531	81.9725	64.4531	81.8824	64.4531	81.9277
67.3828	82.5019	67.3828	82.39	67.3828	82.4463
68.8477	82.6685	68.8477	82.5621	68.8477	82.6156
71.7773	83.0975	71.7773	83.0028	71.7773	83.0504
74.707	83.5384	74.707	83.4323	74.707	83.4857
77.6367	83.7992	77.6367	83.6897	77.6367	83.7448
79.1016	83.8727	79.1016	83.7416	79.1016	83.8076
82.0312	84.0991	82.0312	83.8999	82.0312	84.0006
84.9609	84.1346	84.9609	83.9654	84.9609	84.0508
87.8906	84.0776	87.8906	84.038	87.8906	84.0578
90.8203	84.254	90.8203	84.1695	90.8203	84.212
95.2148	84.7638	95.2148	84.567	95.2148	84.6665
98.1445	84.5712	98.1445	84.4421	98.1445	84.5071
101.074	84.561	101.074	84.3962	101.074	84.4794
105.469	84.599	105.469	84.4411	105.469	84.5208
108.398	84.7653	108.398	84.629	108.398	84.6976
112.793	84.8811	112.793	84.7053	112.793	84.7941
117.188	85.0085	117.188	84.7695	117.188	84.8906
120.117	85.2132	120.117	84.9256	120.117	85.0718
124.512	85.3071	124.512	84.9598	124.512	85.1369
128.906	84.9883	128.906	84.6709	128.906	84.8325
133.301	84.7652	133.301	84.3822	133.301	84.5779
139.16	84.7735	139.16	84.444	139.16	84.6119
143.555	84.8484	143.555	84.5327	143.555	84.6934
147.949	84.6147	147.949	84.2546	147.949	84.4383
