"Estimated In-Room Response"
"Estimated In-Room Response"
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
20.5078	42.908
21.2402	42.9237
21.9727	43.1523
22.7051	44.0378
23.4375	45.8428
24.1699	46.7839
25.6348	48.5984
26.3672	49.7458
27.0996	50.523
27.832	51.4959
29.2969	53.6082
30.0293	54.7053
31.4941	56.9046
32.2266	57.7604
33.6914	59.5134
34.4238	60.5194
35.8887	62.3575
37.3535	64.0126
38.8184	65.5776
39.5508	66.2701
41.0156	67.5868
42.4805	69.4975
43.9453	70.8849
45.4102	72.2117
47.6074	73.808
49.0723	74.6373
50.5371	75.2334
52.7344	75.7728
54.1992	75.9902
56.3965	76.1425
58.5938	76.0822
60.0586	76.0429
62.2559	76.2012
64.4531	76.2083
66.6504	76.2512
69.5801	76.3296
71.7773	76.4068
73.9746	76.4819
76.9043	76.6226
79.834	76.7599
82.7637	76.9867
85.6934	77.1696
88.623	77.4345
91.5527	77.4839
94.4824	77.6095
98.1445	77.993
101.807	78.2634
105.469	78.4914
109.131	78.7147
112.793	78.9809
116.455	79.178
120.85	79.4946
125.244	79.7821
129.639	79.9756
134.033	80.0608
138.428	80.3948
143.555	80.6565
148.682	80.8287
153.809	80.9969
159.668	81.2154
164.795	81.3805
170.654	81.4629
176.514	81.5285
183.105	81.5542
189.697	81.6645
196.289	81.7198
202.881	81.7364
210.205	81.6912
217.529	81.7063
225.586	81.6596
232.91	81.6411
241.699	81.4887
249.756	81.426
258.545	81.3902
268.066	81.1535
277.588	81.0502
287.109	80.9502
297.363	80.8262
307.617	80.7349
318.604	80.4764
329.59	80.2265
341.309	79.9428
353.76	79.9084
366.211	79.7936
378.662	79.7776
392.578	79.4564
405.762	79.2692
420.41	79.0631
435.059	78.9478
450.439	78.6576
466.553	78.5903
482.666	78.4934
500.244	78.4169
517.822	77.9085
536.133	77.7795
554.443	77.6454
574.219	77.2224
594.727	77.2802
615.234	78.1104
637.207	77.4142
659.912	77.2708
683.35	78.3975
706.787	78.0957
731.689	77.9379
758.057	78.1586
784.424	78.1732
812.256	78.4015
840.82	78.602
870.85	78.8028
901.611	78.8613
933.105	79.161
966.064	78.9912
999.756	78.9998
1,034.91	78.7247
1,071.53	78.5402
1,109.62	78.3278
1,148.44	78.4217
1,189.45	78.5245
1,231.2	78.6217
1,274.41	78.5402
1,319.82	78.3038
1,365.97	77.8683
1,414.31	77.6212
1,464.11	77.6059
1,515.38	77.7221
1,568.85	77.5483
1,624.51	77.3171
1,681.64	77.042
1,740.97	76.8251
1,802.49	77.025
1,866.21	76.6048
1,932.13	75.9741
2,000.24	76.086
2,070.56	76.3901
2,143.8	76.2491
2,219.24	75.7497
2,297.61	76.3851
2,378.17	77.2128
2,462.4	77.0636
2,548.83	77.1311
2,638.92	77.6049
2,731.93	77.8045
2,828.61	78.2305
2,928.22	78.3497
3,031.49	78.2429
3,138.43	78.6115
3,249.02	78.8827
3,363.28	78.6087
3,481.93	78.5017
3,604.98	78.5269
3,732.42	78.2792
3,863.53	78.5698
3,999.76	78.7683
4,141.11	78.6665
4,286.87	79.1197
4,438.48	79.1234
4,594.48	79.4521
4,757.08	79.7166
4,924.8	79.5386
5,098.39	79.5198
5,277.83	78.9707
5,463.87	78.706
5,656.49	78.41
5,856.45	78.2067
6,062.99	78.1043
6,276.86	78.222
6,498.05	77.4136
6,727.29	77.6418
6,964.6	77.547
7,209.96	77.3301
7,464.11	76.954
7,727.78	76.443
8,000.24	76.3162
8,282.23	77.2389
8,574.46	78.1624
8,876.22	78.3064
9,189.7	77.6417
9,513.43	76.6308
9,848.88	76.2798
10,196.8	76.6183
10,556.4	76.4841
10,928.5	76.0505
11,313.7	75.8616
11,712.9	75.5699
12,126	75.5672
12,553.7	76.0891
12,996.1	76.2836
13,454.6	75.949
13,928.5	75.1575
14,419.9	74.9099
14,928.2	75.5088
15,454.8	76.2414
15,999.8	76.0702
16,564.5	75.0207
17,148.2	74.8286
17,753.2	75.3578
18,379.4	74.9992
19,027.6	73.8134
19,698.5	74.065
19,999.5	74.2266
