"Estimated In-Room Response"
"Estimated In-Room Response"
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
20.5078	56.0185
23.4375	56.969
26.3672	58.6189
29.2969	59.68
32.2266	60.6325
35.1563	61.2379
38.0859	61.9462
41.0156	62.1592
43.9453	63.6127
46.875	66.2426
49.8047	69.8867
52.7344	73.2462
55.6641	76.1401
58.5938	78.4575
61.5234	80.084
64.4531	81.2309
67.3828	81.9845
70.3125	82.4426
73.2422	82.7673
76.1719	83.1146
79.1016	83.2978
82.0313	83.4072
84.9609	83.5023
87.8906	83.551
90.8203	83.5349
93.75	83.8202
96.6797	83.7913
102.539	83.6498
105.469	83.5964
108.398	83.5817
111.328	83.5451
117.188	83.4473
120.117	83.4156
125.977	83.0207
128.906	82.7198
134.766	82.4888
137.695	82.4157
143.555	82.2088
149.414	81.9888
155.273	81.9463
158.203	81.971
164.063	82.0158
169.922	81.6911
175.781	81.605
181.641	81.7676
190.43	81.8407
196.289	82.0207
202.148	82.1308
210.938	82.3288
216.797	82.4852
225.586	82.8672
234.375	83.3165
240.234	83.3878
249.023	83.6334
257.813	84.0342
266.602	83.7581
278.32	83.9064
287.109	83.8808
295.898	83.8935
307.617	83.4572
319.336	83.0639
331.055	82.9545
342.773	82.6035
354.492	82.8725
366.211	83.032
377.93	83.2333
392.578	82.633
407.227	82.3803
421.875	82.4567
436.523	82.9591
451.172	83.7974
465.82	83.4587
483.398	84.3632
500.977	84.1078
518.555	83.6853
536.133	83.6405
553.711	84.0025
574.219	83.5176
594.727	83.5614
615.234	83.9217
638.672	84.1528
659.18	83.7803
682.617	84.2229
706.055	84.1209
732.422	83.6152
758.789	84.2309
785.156	83.554
811.523	83.3672
840.82	83.1256
870.117	83.2347
902.344	83.0576
931.641	83.2804
966.797	82.7767
999.023	82.4609
1,034.18	81.9115
1,072.27	81.5467
1,110.35	81.3336
1,148.44	81.6663
1,189.45	82.0514
1,230.47	82.4057
1,274.41	82.2361
1,318.36	81.9593
1,365.23	81.8902
1,415.04	82.1535
1,464.84	82.2891
1,514.65	82.6251
1,570.31	82.7591
1,623.05	82.3745
1,681.64	82.2398
1,740.23	82.3882
1,801.76	82.6402
1,866.21	82.258
1,930.66	81.8959
2,000.98	81.8553
2,071.29	82.6471
2,144.53	82.5112
2,217.77	81.9221
2,296.88	82.7501
2,378.91	83.0392
2,460.94	82.2838
2,548.83	82.0531
2,639.65	81.8088
2,733.4	81.2151
2,827.15	81.5074
2,926.76	81.4341
3,032.23	81.281
3,137.7	81.5087
3,249.02	81.2295
3,363.28	80.7526
3,483.4	80.8794
3,606.45	80.7914
3,732.42	80.3436
3,864.26	80.1662
3,999.02	79.9533
4,139.65	79.7761
4,286.13	79.7846
4,438.48	78.8175
4,593.75	78.7812
4,757.81	78.5499
4,924.8	79.1411
5,097.66	79.8478
5,279.3	79.8894
5,463.87	80.0145
5,657.23	79.7898
5,856.45	80.1192
6,061.52	80.7671
6,275.39	80.8013
6,498.05	80.5844
6,726.56	80.5732
6,963.87	80.0534
7,209.96	79.8662
7,464.84	79.8112
7,728.52	79.7399
8,000.98	79.8596
8,282.23	79.9483
8,575.2	79.6782
8,876.95	79.692
9,190.43	80.0842
9,512.7	80.4226
9,849.61	80.7754
10,195.3	81.9525
10,555.7	82.8753
10,927.7	82.8545
11,314.5	82.8974
11,712.9	82.682
12,126	82.8166
12,553.7	82.9231
12,996.1	82.7876
13,453.1	82.4332
13,927.7	81.8418
14,419.9	82.0141
14,929.7	81.8185
15,454.1	81.3988
15,999	80.4034
16,564.5	78.8549
17,147.5	77.7844
17,753.9	77.825
18,377.9	77.0459
19,028.3	76.4169
19,699.2	75.5936
19,998	74.9695
