"Horizontal Reflections"							
"Front"		"Side"		"Rear"		"Total Horizontal Reflection"	
"Frequency [Hz]"	"Sound Pessure Level [dB]   /  [	0.065	V at 	1	m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   /  [	0.065	V at 	1	m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   /  [	0.065	V at 	1	m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   /  [	0.065	V at 	1	m]"
392.578	85.4386	392.578	84.1522	392.578	81.7099	392.578	83.3951
405.762	85.1099	405.762	83.7177	405.762	81.3817	405.762	83.0319
420.41	85.5643	420.41	83.9466	420.41	80.9246	420.41	83.1014
435.059	85.3313	435.059	83.8974	435.059	80.9533	435.059	83.0156
451.172	85.7247	451.172	84.0125	451.172	80.7231	451.172	83.1169
465.82	85.6953	465.82	84.081	465.82	80.2007	465.82	82.9782
483.398	85.6891	483.398	84.1257	483.398	80.3384	483.398	83.0307
499.512	85.482	499.512	83.9346	499.512	80.1055	499.512	82.822
517.09	85.9219	517.09	84.2573	517.09	79.7615	517.09	83.0108
536.133	85.1451	536.133	83.7626	536.133	79.0585	536.133	82.3587
555.176	85.7433	555.176	84.5337	555.176	78.4121	555.176	82.7526
574.219	86.0709	574.219	85.1908	574.219	79.1791	574.219	83.3074
594.727	85.9558	594.727	85.3697	594.727	79.9124	594.727	83.5024
615.234	85.9696	615.234	84.9252	615.234	79.718	615.234	83.2771
637.207	86.0445	637.207	85.0955	637.207	80.0017	637.207	83.44
659.18	85.6205	659.18	84.507	659.18	79.4112	659.18	82.91
682.617	85.5442	682.617	84.1952	682.617	79.4469	682.617	82.7679
707.52	85.9441	707.52	84.4448	707.52	79.4554	707.52	83.0163
732.422	85.9519	732.422	83.964	732.422	79.3538	732.422	82.8157
757.324	86.1336	757.324	84.0148	757.324	79.651	757.324	82.9786
785.156	86.5165	785.156	84.4187	785.156	79.3277	785.156	83.2063
811.523	85.8259	811.523	83.5715	811.523	79.0047	811.523	82.542
840.82	85.8591	840.82	83.6884	840.82	78.5615	840.82	82.4988
870.117	85.5263	870.117	83.2864	870.117	78.2009	870.117	82.1349
900.879	85.7806	900.879	83.1845	900.879	77.4114	900.879	82.0549
933.105	85.5769	933.105	83.065	933.105	77.5074	933.105	81.9372
965.332	85.6722	965.332	82.5309	965.332	76.8097	965.332	81.6687
1,000.49	86.0429	1,000.49	82.853	1,000.49	77.1659	1,000.49	82.0205
1,035.64	86.1359	1,035.64	82.7517	1,035.64	76.6485	1,035.64	81.9482
1,072.27	85.6694	1,072.27	82.5116	1,072.27	76.0378	1,072.27	81.5369
1,108.89	85.2259	1,108.89	81.9227	1,108.89	75.4011	1,108.89	81.0149
1,148.44	85.5071	1,148.44	82.2717	1,148.44	75.7054	1,148.44	81.3228
1,189.45	85.2481	1,189.45	81.7351	1,189.45	75.6656	1,189.45	81.003
1,230.47	85.2091	1,230.47	82.3015	1,230.47	75.8235	1,230.47	81.202
1,274.41	85.5184	1,274.41	82.5467	1,274.41	75.9052	1,274.41	81.4542
1,319.82	85.6366	1,319.82	82.2774	1,319.82	75.4542	1,319.82	81.3562
1,366.7	85.6263	1,366.7	81.6565	1,366.7	74.7055	1,366.7	81.0483
1,413.57	85.9427	1,413.57	81.5588	1,413.57	75.0865	1,413.57	81.2448
1,463.38	85.9561	1,463.38	80.9389	1,463.38	75.1426	1,463.38	81.0843
1,516.11	86.1332	1,516.11	81.4613	1,516.11	74.1818	1,516.11	81.2232
1,568.85	86.037	1,568.85	81.3048	1,568.85	73.4344	1,568.85	81.0457
1,624.51	85.2401	1,624.51	81.0796	1,624.51	72.5984	1,624.51	80.4219
1,681.64	84.8344	1,681.64	81.1021	1,681.64	72.3754	1,681.64	80.1749
1,741.7	85.991	1,741.7	81.727	1,741.7	73.4946	1,741.7	81.1525
1,803.22	85.2658	1,803.22	80.428	1,803.22	72.0736	1,803.22	80.1925
1,866.21	84.9661	1,866.21	79.8737	1,866.21	71.784	1,866.21	79.8205
1,932.13	84.5745	1,932.13	79.937	1,932.13	71.6357	1,932.13	79.5818
1,999.51	84.8264	1,999.51	80.0689	1,999.51	72.3952	1,999.51	79.8436
2,069.82	84.3843	2,069.82	79.1022	2,069.82	71.529	2,069.82	79.2146
2,143.07	83.8014	2,143.07	78.0704	2,143.07	68.6478	2,143.07	78.3466
2,219.24	83.9239	2,219.24	78.7643	2,219.24	70.0523	2,219.24	78.7061
2,296.88	83.3406	2,296.88	78.1818	2,296.88	70.4664	2,296.88	78.2029
2,378.91	83.5424	2,378.91	78.061	2,378.91	70.2398	2,378.91	78.2808
2,462.4	83.9884	2,462.4	78.239	2,462.4	71.6866	2,462.4	78.7513
2,548.83	83.0357	2,548.83	77.6692	2,548.83	72.9958	2,548.83	78.1874
2,639.65	83.9716	2,639.65	78.2968	2,639.65	71.468	2,639.65	78.7326
2,731.93	84.2637	2,731.93	78.4406	2,731.93	69.579	2,731.93	78.8132
2,828.61	83.8634	2,828.61	77.9887	2,828.61	68.5168	2,828.61	78.3608
2,928.22	84.2686	2,928.22	78.803	2,928.22	69.6591	2,928.22	78.9167
3,030.76	83.9137	3,030.76	78.5578	3,030.76	70.4765	3,030.76	78.6747
3,137.7	83.9102	3,137.7	78.736	3,137.7	69.2502	3,137.7	78.636
3,249.02	84.112	3,249.02	79.0403	3,249.02	68.9627	3,249.02	78.8392
3,363.28	84.0421	3,363.28	79.4075	3,363.28	69.5039	3,363.28	78.9354
3,481.93	84.2312	3,481.93	79.7692	3,481.93	69.5209	3,481.93	79.1687
3,604.98	84.5265	3,604.98	80.2463	3,604.98	69.9278	3,604.98	79.5292
3,732.42	84.5552	3,732.42	80.2957	3,732.42	69.3069	3,732.42	79.5297
3,864.26	85.337	3,864.26	81.051	3,864.26	69.6715	3,864.26	80.2827
4,000.49	84.8836	4,000.49	80.3626	4,000.49	69.2874	4,000.49	79.7561
4,141.11	85.2328	4,141.11	80.6386	4,141.11	69.1427	4,141.11	80.0597
4,287.6	85.4435	4,287.6	80.7451	4,287.6	68.7666	4,287.6	80.214
4,438.48	85.248	4,438.48	80.8845	4,438.48	69.0698	4,438.48	80.1458
4,595.21	85.4585	4,595.21	81.0581	4,595.21	69.1713	4,595.21	80.3398
4,756.35	85.525	4,756.35	80.9778	4,756.35	68.3373	4,756.35	80.3254
4,924.8	84.9294	4,924.8	80.4089	4,924.8	68.6674	4,924.8	79.7727
5,097.66	85.2824	5,097.66	80.8478	5,097.66	68.7535	5,097.66	80.143
5,277.83	85.0151	5,277.83	80.4547	5,277.83	68.0311	5,277.83	79.8183
5,463.87	84.4928	5,463.87	80.2488	5,463.87	67.8135	5,463.87	79.411
5,657.23	84.5872	5,657.23	80.3102	5,657.23	68.1426	5,657.23	79.5031
5,856.45	84.6956	5,856.45	80.5997	5,856.45	66.9024	5,856.45	79.6286
6,062.99	84.7334	6,062.99	80.5514	6,062.99	67.2316	6,062.99	79.6452
6,276.86	85.0771	6,276.86	80.5736	6,276.86	66.6435	6,276.86	79.8555
6,498.05	85.3883	6,498.05	80.7229	6,498.05	66.924	6,498.05	80.1135
6,726.56	85.4572	6,726.56	80.6155	6,726.56	66.8419	6,726.56	80.123
6,963.87	85.3531	6,963.87	80.3974	6,963.87	66.0619	6,963.87	79.968
7,209.96	85.1753	7,209.96	80.3945	7,209.96	65.9613	7,209.96	79.8463
7,464.84	85.0391	7,464.84	80.1496	7,464.84	65.485	7,464.84	79.6691
7,727.05	84.968	7,727.05	80.0092	7,727.05	65.1649	7,727.05	79.5716
7,999.51	84.7827	7,999.51	79.7472	7,999.51	65.386	7,999.51	79.3711
8,282.23	84.6994	8,282.23	79.6779	8,282.23	64.9697	8,282.23	79.2853
8,573.73	84.6563	8,573.73	79.4195	8,573.73	64.2222	8,573.73	79.1649
8,876.95	84.4099	8,876.95	79.1861	8,876.95	63.9711	8,876.95	78.9223
9,188.96	84.1514	9,188.96	78.9798	9,188.96	63.7128	9,188.96	78.6793
9,514.16	83.8026	9,514.16	78.7785	9,514.16	63.5834	9,514.16	78.3786
9,849.61	83.6913	9,849.61	78.7812	9,849.61	63.3047	9,849.61	78.2995
10,196.8	83.7469	10,196.8	78.5691	10,196.8	63.2689	10,196.8	78.2723
10,555.7	83.5792	10,555.7	78.18	10,555.7	62.3142	10,555.7	78.0277
10,927.7	83.2565	10,927.7	78.1178	10,927.7	61.3176	10,927.7	77.7729
11,313	83.183	11,313	77.9533	11,313	61.9493	11,313	77.6814
11,712.9	83.3572	11,712.9	77.8834	11,712.9	61.0993	11,712.9	77.7717
12,126	83.615	12,126	78.0842	12,126	60.5231	12,126	78.0047
12,553.7	83.7694	12,553.7	78.0736	12,553.7	60.7779	12,553.7	78.114
12,996.1	83.8325	12,996.1	77.9732	12,996.1	60.7321	12,996.1	78.1317
13,454.6	83.8387	13,454.6	77.7608	13,454.6	59.6269	13,454.6	78.0708
13,929.2	83.8142	13,929.2	77.4566	13,929.2	59.0214	13,929.2	77.9715
14,419.9	83.6679	14,419.9	76.9165	14,419.9	58.8864	14,419.9	77.7314
14,928.2	83.687	14,928.2	76.4746	14,928.2	57.599	14,928.2	77.6407
15,455.6	83.7138	15,455.6	76.1314	15,455.6	57.2811	15,455.6	77.5897
16,000.5	83.5553	16,000.5	75.8095	16,000.5	57.8929	16,000.5	77.4034
16,564.5	83.2629	16,564.5	75.7356	16,564.5	57.6109	16,564.5	77.154
17,148.9	82.7466	17,148.9	75.4683	17,148.9	57.4596	17,148.9	76.6909
17,752.4	82.2528	17,752.4	75.2845	17,752.4	57.1089	17,752.4	76.2649
18,379.4	81.8421	18,379.4	75.3066	18,379.4	56.7018	18,379.4	75.9539
19,026.9	81.2796	19,026.9	75.2239	19,026.9	56.6634	19,026.9	75.5146
19,697.8	80.7068	19,697.8	74.4018	19,697.8	55.5599	19,697.8	74.8749
19,999.5	80.4442	19,999.5	74.042	19,999.5	56.152	19,999.5	74.5942
