"Horizontal Reflections"
"Front"		"Side"		"Rear"		"Total Horizontal Reflection"
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
20.5078	58.537	20.5078	59.618	20.5078	63.1895	20.5078	61.7413
21.9727	60.6473	21.9727	61.4509	21.9727	65.2996	21.9727	63.8054
23.4375	63.6383	23.4375	64.8032	23.4375	69.0075	23.4375	67.3945
24.9023	66.9702	24.9023	68.0982	24.9023	72.0272	24.9023	70.4836
26.3672	71.2321	26.3672	72.0525	26.3672	75.0738	26.3672	73.8047
27.832	74.3424	27.832	75.0502	27.832	77.7915	27.832	76.6191
29.2969	76.8601	29.2969	77.5181	29.2969	80.0437	29.2969	78.945
30.7617	79.1632	30.7617	79.7747	30.7617	82.0618	30.7617	81.0468
32.2266	81.1001	32.2266	81.6885	32.2266	83.7887	32.2266	82.8398
33.6914	82.3893	33.6914	82.9407	33.6914	84.8392	33.6914	83.9657
35.1562	83.248	35.1562	83.7416	35.1562	85.4268	35.1562	84.6382
36.6211	83.6983	36.6211	84.1518	36.6211	85.6625	36.6211	84.9446
38.0859	83.8659	38.0859	84.2804	38.0859	85.6452	38.0859	84.9888
39.5508	83.9376	39.5508	84.3313	39.5508	85.5905	39.5508	84.9784
41.0156	84.0545	41.0156	84.4173	41.0156	85.563	41.0156	85.0005
42.4805	84.1293	42.4805	84.4628	42.4805	85.491	42.4805	84.9805
43.9453	84.201	43.9453	84.5103	43.9453	85.4391	43.9453	84.9733
45.4102	84.1639	45.4102	84.4557	45.4102	85.3088	45.4102	84.8772
46.875	84.2044	46.875	84.4754	46.875	85.2407	46.875	84.8494
48.3398	84.2766	48.3398	84.5284	48.3398	85.2131	48.3398	84.8593
51.2695	84.3571	51.2695	84.5694	51.2695	85.1184	51.2695	84.83
52.7344	84.3564	52.7344	84.5528	52.7344	85.0393	52.7344	84.781
54.1992	84.336	54.1992	84.5222	54.1992	84.9579	54.1992	84.7239
55.6641	84.2972	55.6641	84.4669	55.6641	84.8487	55.6641	84.6416
58.5938	84.2653	58.5938	84.4184	58.5938	84.7251	58.5938	84.5547
60.0586	84.2175	60.0586	84.3601	60.0586	84.6306	60.0586	84.4785
62.9883	84.0456	62.9883	84.1679	62.9883	84.3671	62.9883	84.2512
64.4531	83.9551	64.4531	84.0756	64.4531	84.2666	64.4531	84.1548
67.3828	83.8162	67.3828	83.9215	67.3828	84.059	67.3828	83.9747
68.8477	83.7659	68.8477	83.8615	68.8477	83.975	68.8477	83.9036
71.7773	83.7319	71.7773	83.8018	71.7773	83.8555	71.7773	83.8168
74.707	83.7503	74.707	83.8112	74.707	83.8219	74.707	83.8051
77.6367	83.8288	77.6367	83.8811	77.6367	83.8722	77.6367	83.8663
79.1016	83.8809	79.1016	83.9273	79.1016	83.9114	79.1016	83.9099
82.0312	84.04	82.0312	84.0691	82.0312	84.0181	82.0312	84.0366
84.9609	84.2072	84.9609	84.235	84.9609	84.1939	84.9609	84.2079
87.8906	84.4012	87.8906	84.4046	87.8906	84.2854	87.8906	84.3414
90.8203	84.517	90.8203	84.504	90.8203	84.339	90.8203	84.4203
95.2148	84.6827	95.2148	84.6755	95.2148	84.5454	95.2148	84.6088
