"Horizontal Reflections"
"Front"		"Side"		"Rear"		"Total Horizontal Reflection"
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
20.5078	53.0593	20.5078	51.9366	20.5078	61.4855	20.5078	59.1684
21.9727	56.4345	21.9727	54.6899	21.9727	62.1456	21.9727	60.1382
23.4375	57.1111	23.4375	54.9842	23.4375	62.8324	23.4375	60.7943
24.9023	58.7552	24.9023	56.8	24.9023	63.7377	24.9023	61.8383
26.3672	60.216	26.3672	58.7333	26.3672	65.0894	26.3672	63.2542
27.832	61.8158	27.832	60.5957	27.832	66.2277	27.832	64.5152
29.2969	63.3563	29.2969	62.3735	29.2969	67.4038	29.2969	65.8022
30.7617	64.5576	30.7617	63.7404	30.7617	68.4194	30.7617	66.8844
32.2266	66.079	32.2266	65.4315	32.2266	69.5626	32.2266	68.1496
33.6914	67.449	33.6914	66.9721	33.6914	70.779	33.6914	69.4343
35.1563	68.8824	35.1563	68.5165	35.1563	71.9147	35.1563	70.6742
36.6211	70.1073	36.6211	69.8336	36.6211	72.956	36.6211	71.7872
38.0859	71.3569	38.0859	71.1504	38.0859	73.9886	38.0859	72.9004
39.5508	72.4523	39.5508	72.304	39.5508	74.9665	39.5508	73.9275
41.0156	73.927	41.0156	73.8921	41.0156	76.2277	41.0156	75.2829
42.4805	75.0841	42.4805	75.055	42.4805	77.1722	42.4805	76.3029
43.9453	76.1865	43.9453	76.1376	43.9453	77.9909	43.9453	77.2202
45.4102	77.2124	45.4102	77.1775	45.4102	78.8844	45.4102	78.1663
46.875	78.1609	46.875	78.158	46.875	79.768	46.875	79.0816
48.3398	78.8534	48.3398	78.9487	48.3398	80.5754	48.3398	79.8674
51.2695	80.5696	51.2695	80.6777	51.2695	81.9529	51.2695	81.3793
52.7344	81.268	52.7344	81.3782	52.7344	82.5309	52.7344	82.0061
54.1992	81.8831	54.1992	82.0167	54.1992	83.0932	54.1992	82.5955
55.6641	82.4639	55.6641	82.5986	55.6641	83.5676	55.6641	83.114
58.5938	83.3984	58.5938	83.5526	58.5938	84.3845	58.5938	83.9848
60.0586	83.7813	60.0586	83.9476	60.0586	84.7252	60.0586	84.3464
62.9883	84.4021	62.9883	84.5955	62.9883	85.2761	62.9883	84.934
64.4531	84.7039	64.4531	84.9079	64.4531	85.5399	64.4531	85.2169
67.3828	85.0694	67.3828	85.2826	67.3828	85.8105	67.3828	85.5312
68.8477	85.2042	68.8477	85.4202	68.8477	85.8984	68.8477	85.6404
