"Estimated In-Room Response"
"Estimated In-Room Response"
"Frequency [Hz]"	"Sound Pessure Level [dB] [0.3V at 1m]"
20.5078	56.4072
21.9727	57.6247
23.4375	56.0231
24.9023	60.9775
26.3672	63.4877
27.832	63.9905
29.2969	66.6296
30.7617	69.2013
32.2266	71.8698
33.6914	74.0821
35.1562	75.9907
36.6211	77.8796
38.0859	80.1443
39.5508	81.7218
41.0156	83.4975
42.4805	85.0712
43.9453	86.6583
45.4102	88.0928
46.875	89.539
48.3398	90.8175
51.2695	92.7607
52.7344	93.5909
54.1992	94.2467
55.6641	94.7687
58.5938	95.4659
60.0586	95.7042
62.9883	96.0207
64.4531	96.1343
67.3828	96.3483
68.8477	96.3973
71.7773	96.4863
74.707	96.544
77.6367	96.6096
79.1016	96.631
82.0312	96.6778
84.9609	96.7282
87.8906	96.7489
90.8203	96.8182
95.2148	96.8549
98.1445	96.8575
101.074	96.8917
105.469	96.9215
108.398	96.8672
112.793	96.8334
117.188	96.8405
120.117	96.9117
124.512	96.9437
128.906	96.9437
133.301	96.9614
139.16	96.7915
143.555	96.6721
147.949	96.7207
153.809	96.5881
159.668	96.3142
165.527	96.1089
171.387	96.5123
177.246	96.388
183.105	96.5223
188.965	96.3661
196.289	96.3923
203.613	96.1548
210.938	96.3293
218.262	96.3646
225.586	96.1204
232.91	96.0014
241.699	96.0382
250.488	95.8466
259.277	96.1806
268.066	96.4588
276.855	95.8882
287.109	95.9539
297.363	96.3355
307.617	96.1196
319.336	95.697
329.59	95.633
341.309	95.9249
353.027	95.8493
366.211	95.9561
379.395	95.8807
392.578	95.6566
405.762	95.8363
420.41	95.8498
435.059	96.2986
451.172	96.0431
465.82	96.4275
483.398	96.558
499.512	96.6156
517.09	96.2305
536.133	95.9609
555.176	95.8955
574.219	95.7718
594.727	95.7571
615.234	95.4891
637.207	95.5198
659.18	94.9245
682.617	94.3362
707.52	94.5211
732.422	93.679
757.324	94.3857
785.156	94.0681
811.523	93.2192
840.82	93.6108
870.117	94.0946
900.879	94.3864
933.105	94.6039
965.332	94.6462
1000.49	94.6155
1035.64	94.6103
1072.27	94.8507
1108.89	94.5972
1148.44	94.7311
1189.45	94.4022
1230.47	93.9534
1274.41	93.787
1319.82	93.5961
1366.7	93.3872
1413.57	93.8251
1463.38	93.662
1516.11	93.0069
1568.85	92.9265
1624.51	92.9873
1681.64	92.7943
1741.7	92.0762
1803.22	92.2066
1866.21	92.6096
1932.13	92.3143
1999.51	91.7994
2069.82	92.3494
2143.07	92.6528
2219.24	91.952
2296.88	92.2717
2378.91	93.0685
2462.4	92.9156
2548.83	92.8042
2639.65	93.3589
2731.93	93.4648
2828.61	93.388
2928.22	93.4227
3030.76	93.6733
3137.7	93.522
3249.02	93.8019
3363.28	93.7073
3481.93	94.2069
3604.98	93.8923
3732.42	94.266
3864.26	93.8826
4000.49	94.105
4141.11	93.7646
4287.6	93.7571
4438.48	93.6182
4595.21	93.5532
4756.35	93.6214
4924.8	93.3464
5097.66	93.4358
5277.83	93.2231
5463.87	93.1908
5657.23	93.2126
5856.45	93.0118
6062.99	93.0336
6276.86	92.8808
6498.05	92.8434
6726.56	93.012
6963.87	93.0506
7209.96	93.1052
7464.84	93.1379
7727.05	93.0222
7999.51	92.9415
8282.23	92.9393
8573.73	93.0778
8876.95	93.2741
9188.96	93.4223
9514.16	93.5193
9849.61	93.7243
10196.8	93.9528
10555.7	93.8432
10927.7	93.5408
11313	93.5272
11712.9	93.6409
12126	93.7072
12553.7	93.7703
12996.1	94.1006
13454.6	94.3842
13929.2	94.8461
14419.9	94.7667
14928.2	94.5573
15455.6	93.9968
16000.5	93.061
16564.5	92.2217
17148.9	91.4049
17752.4	90.3964
18379.4	89.8841
19026.9	89.5382
19697.8	88.5404
19999.5	88.1227
