"CEA2034"													
"On Axis"		"Listening Window"		"Early Reflections"		"Sound Power"		"Sound Power DI"		"Early Reflections DI"		"DI offset"	
"Frequency [Hz]"	"Sound Pessure Level [dB] [0.3V at 1m]"	"Frequency [Hz]"	"Sound Pessure Level [dB] [0.3V at 1m]"	"Frequency [Hz]"	"Sound Pessure Level [dB] [0.3V at 1m]"	"Frequency [Hz]"	"Sound Pessure Level [dB] [0.3V at 1m]"	"Frequency [Hz]"	"Sound Pessure Level [dB] [0.3V at 1m]"	"Frequency [Hz]"	"Sound Pessure Level [dB] [0.3V at 1m]"	"Frequency [Hz]"	"Sound Pessure Level [dB] [0.3V at 1m]"
20.5078	54.0708	20.5078	54.2156	20.5078	55.7864	20.5078	57.3459	20.5078	57.3763	20.5078	58.9358	20.5078	60.5067
21.9727	56.5104	21.9727	56.5328	21.9727	57.2526	21.9727	58.2041	21.9727	58.8354	21.9727	59.7869	21.9727	60.5067
23.4375	56.3045	23.4375	56.1359	23.4375	55.8133	23.4375	56.1933	23.4375	60.4493	23.4375	60.8292	23.4375	60.5067
24.9023	55.9152	24.9023	56.0641	24.9023	59.8247	24.9023	62.4939	24.9023	54.0769	24.9023	56.746	24.9023	60.5067
26.3672	63.1435	26.3672	63.0461	26.3672	63.1917	26.3672	63.871	26.3672	59.6818	26.3672	60.3611	26.3672	60.5067
27.832	60.3598	27.832	60.2734	27.832	62.8585	27.832	65.4091	27.832	55.371	27.832	57.9216	27.832	60.5067
29.2969	64.6023	29.2969	64.5788	29.2969	65.9345	29.2969	67.6006	29.2969	57.4849	29.2969	59.151	29.2969	60.5067
30.7617	67.188	30.7617	67.1493	30.7617	68.4982	30.7617	70.1779	30.7617	57.478	30.7617	59.1578	30.7617	60.5067
32.2266	70.3279	32.2266	70.2985	32.2266	71.307	32.2266	72.6773	32.2266	58.1279	32.2266	59.4981	32.2266	60.5067
