"Horizontal Reflections"							
"Front"		"Side"		"Rear"		"Total Horizontal Reflection"	
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
318.604	83.7886	318.604	82.8274	318.604	80.6035	318.604	82.0529
329.59	83.7933	329.59	82.4479	329.59	81.2285	329.59	82.1857
341.309	84.9379	341.309	82.8489	341.309	81.9882	341.309	82.9571
353.76	85.6944	353.76	83.8341	353.76	81.4183	353.76	83.273
366.211	85.298	366.211	83.7101	366.211	80.7158	366.211	82.8636
378.662	85.2805	378.662	83.7892	378.662	81.0505	378.662	82.9947
392.578	84.372	392.578	82.9541	392.578	79.9571	392.578	82.0496
405.762	83.9552	405.762	82.2979	405.762	79.9407	405.762	81.6895
420.41	84.652	420.41	83.0782	420.41	79.496	420.41	82.0461
435.059	85.2171	435.059	83.6503	435.059	80.4417	435.059	82.7287
450.439	85.9391	450.439	84.3784	450.439	80.7303	450.439	83.3224
466.553	85.8313	466.553	84.2698	466.553	80.6017	466.553	83.2082
482.666	85.4985	482.666	84.0736	482.666	79.7726	482.666	82.788
500.244	85.0759	500.244	83.6821	500.244	79.6187	500.244	82.4493
517.822	84.8619	517.822	83.2871	517.822	79.2514	517.822	82.1271
536.133	85.0079	536.133	83.1111	536.133	78.2328	536.133	81.8638
554.443	84.9892	554.443	83.641	554.443	77.9005	554.443	81.9899
574.219	84.7722	574.219	83.4334	574.219	78.2262	574.219	81.894
594.727	84.4424	594.727	82.7004	594.727	78.4072	594.727	81.5346
615.234	84.4049	615.234	83.0753	615.234	77.2902	615.234	81.4078
637.207	84.5153	637.207	82.7141	637.207	78.4568	637.207	81.58
659.912	84.4959	659.912	82.6818	659.912	77.6587	659.912	81.3685
683.35	84.6516	683.35	82.5113	683.35	77.799	683.35	81.401
706.787	84.9508	706.787	82.5383	706.787	78.1835	706.787	81.6247
731.689	85.1006	731.689	82.5689	731.689	77.8444	731.689	81.621
758.057	85.3937	758.057	82.2938	758.057	78.202	758.057	81.7411
784.424	85.3031	784.424	82.0409	784.424	77.8496	784.424	81.5394
812.256	85.5701	812.256	81.9262	812.256	77.4682	812.256	81.5491
840.82	85.7705	840.82	82.1948	840.82	77.2179	840.82	81.6815
870.85	85.9832	870.85	82.2326	870.85	77.0651	870.85	81.7728
901.611	85.8025	901.611	82.6045	901.611	76.5375	901.611	81.7128
933.105	85.8157	933.105	82.4501	933.105	77.1181	933.105	81.7669
