Param_Coord_x1 = 1
Param_Coord_x2 = 130
Param_Coord_x3 = 90
Param_Coord_Type = Spherical
Param_Coord_AngularFormat = degree
Param_Coord_Front = '0,0'
Param_Coord_Top = '90,0'
Data_Domain=Frequency
Data_Phase_AngularFormat=degree
Data_Format = LeveldB_Phase
Data_LevelType=SoundPressure

Curve=[
2.0507813e+01 6.3772475e+01 -5.2972323e+01 
2.1972656e+01 6.5552273e+01 -5.6443417e+01 
2.3437500e+01 6.7023588e+01 -6.1899391e+01 
2.4902344e+01 6.8396264e+01 -6.2030793e+01 
2.6367188e+01 6.9616482e+01 -7.4743059e+01 
2.7832031e+01 7.0328435e+01 -8.0898557e+01 
2.9296875e+01 7.1162073e+01 -8.5551412e+01 
3.0761719e+01 7.1953625e+01 -9.1193350e+01 
3.2226563e+01 7.2783896e+01 -9.6688570e+01 
3.3691406e+01 7.3727893e+01 -1.0346964e+02 
3.5156250e+01 7.4509889e+01 -1.0930715e+02 
3.6621094e+01 7.5304518e+01 -1.1529543e+02 
3.8085938e+01 7.6022261e+01 -1.2122491e+02 
3.9550781e+01 7.6758167e+01 -1.2701675e+02 
4.1015625e+01 7.7416041e+01 -1.3290410e+02 
4.2480469e+01 7.8066660e+01 -1.3830727e+02 
4.3945313e+01 7.8687609e+01 -1.4372536e+02 
4.5410156e+01 7.9293542e+01 -1.4925032e+02 
4.6875000e+01 7.9817922e+01 -1.5462208e+02 
4.8339844e+01 8.0313809e+01 -1.5964814e+02 
5.1269531e+01 8.1287699e+01 -1.6960468e+02 
5.2734375e+01 8.1736539e+01 -1.7440709e+02 
5.4199219e+01 8.2167948e+01 -1.7912864e+02 
5.5664063e+01 8.2501379e+01 1.7610692e+02 
5.8593750e+01 8.3194902e+01 1.6711518e+02 
6.0058594e+01 8.3526864e+01 1.6278431e+02 
6.2988281e+01 8.4143161e+01 1.5379244e+02 
6.4453125e+01 8.4395357e+01 1.4985304e+02 
6.7382813e+01 8.4949213e+01 1.4193391e+02 
6.8847656e+01 8.5164745e+01 1.3801137e+02 
7.1777344e+01 8.5543585e+01 1.2997062e+02 
7.4707031e+01 8.5874804e+01 1.2222850e+02 
7.7636719e+01 8.6144086e+01 1.1516855e+02 
7.9101563e+01 8.6224935e+01 1.1171311e+02 
8.2031250e+01 8.6342899e+01 1.0493086e+02 
8.4960938e+01 8.6483336e+01 9.8565204e+01 
8.7890625e+01 8.6576754e+01 9.2756886e+01 
9.0820313e+01 8.6569922e+01 8.7057494e+01 
9.5214844e+01 8.6629755e+01 7.9272664e+01 
9.8144531e+01 8.6660843e+01 7.4550424e+01 
1.0107422e+02 8.6657343e+01 6.9658739e+01 
1.0546875e+02 8.6606577e+01 6.2933278e+01 
1.0839844e+02 8.6534964e+01 5.8863967e+01 
1.1279297e+02 8.6519578e+01 5.3273836e+01 
1.1718750e+02 8.6457430e+01 4.7640963e+01 
1.2011719e+02 8.6373346e+01 4.3588647e+01 
1.2451172e+02 8.6092420e+01 3.9032401e+01 
1.2890625e+02 8.6022304e+01 3.5045879e+01 
1.3330078e+02 8.5891720e+01 3.1081895e+01 
1.3916016e+02 8.5794978e+01 2.6203492e+01 
1.4355469e+02 8.5679475e+01 2.2499317e+01 
1.4794922e+02 8.5571560e+01 1.9135399e+01 
1.5380859e+02 8.5443119e+01 1.4686973e+01 
1.5966797e+02 8.5238947e+01 1.0710027e+01 
1.6552734e+02 8.5095065e+01 7.4331441e+00 
1.7138672e+02 8.5098558e+01 4.4450051e+00 
1.7724609e+02 8.5085368e+01 2.1252091e-01 
1.8310547e+02 8.5003635e+01 -4.2079999e+00 
1.8896484e+02 8.4732144e+01 -7.6166718e+00 
1.9628906e+02 8.4658750e+01 -1.1913854e+01 
2.0361328e+02 8.4382355e+01 -1.7317656e+01 
2.1093750e+02 8.3999829e+01 -2.0819269e+01 
2.1826172e+02 8.3626502e+01 -2.4508360e+01 
2.2558594e+02 8.3049259e+01 -2.7352509e+01 
2.3291016e+02 8.2858674e+01 -2.5786088e+01 
2.4169922e+02 8.3015081e+01 -2.9979572e+01 
2.5048828e+02 8.2785875e+01 -3.3489394e+01 
2.5927734e+02 8.2593272e+01 -3.5736812e+01 
2.6806641e+02 8.2610750e+01 -3.9010637e+01 
2.7685547e+02 8.2466983e+01 -4.3896896e+01 
2.8710938e+02 8.1704567e+01 -4.7831419e+01 
2.9736328e+02 8.1304359e+01 -4.8538826e+01 
3.0761719e+02 8.0940200e+01 -5.0479761e+01 
3.1933594e+02 8.1191962e+01 -4.9056106e+01 
3.2958984e+02 8.0928790e+01 -5.4283762e+01 
3.4130859e+02 8.1120879e+01 -5.4408843e+01 
3.5302734e+02 8.1054152e+01 -6.0087760e+01 
3.6621094e+02 8.0856412e+01 -6.3419948e+01 
3.7939453e+02 8.0354618e+01 -6.5672659e+01 
3.9257813e+02 7.9965130e+01 -6.8210124e+01 
4.0576172e+02 8.0289252e+01 -6.5452819e+01 
4.2041016e+02 8.0503006e+01 -7.3642841e+01 
4.3505859e+02 7.9245213e+01 -7.7010636e+01 
4.5117188e+02 8.0732094e+01 -7.2000962e+01 
4.6582031e+02 8.0619367e+01 -8.7085653e+01 
4.8339844e+02 7.9797855e+01 -8.7457491e+01 
4.9951172e+02 7.9207776e+01 -9.6203107e+01 
5.1708984e+02 7.9246425e+01 -9.4950222e+01 
5.3613281e+02 7.9541602e+01 -1.0770127e+02 
5.5517578e+02 7.6797674e+01 -1.1865873e+02 
5.7421875e+02 7.5152419e+01 -1.0846208e+02 
5.9472656e+02 7.6605145e+01 -1.0145728e+02 
6.1523438e+02 7.5107329e+01 -1.1643652e+02 
6.3720703e+02 7.5768883e+01 -1.0625654e+02 
6.5917969e+02 7.5696944e+01 -1.0876180e+02 
6.8261719e+02 7.5385645e+01 -1.2313444e+02 
7.0751953e+02 7.1568697e+01 -1.1606228e+02 
7.3242188e+02 7.2358025e+01 -1.1576831e+02 
7.5732422e+02 7.5326177e+01 -9.4215019e+01 
7.8515625e+02 7.3946923e+01 -1.2102723e+02 
8.1152344e+02 7.5188103e+01 -9.9920975e+01 
8.4082031e+02 7.5821487e+01 -1.0174603e+02 
8.7011719e+02 7.8544244e+01 -1.2676420e+02 
9.0087891e+02 7.7114707e+01 -1.2257392e+02 
9.3310547e+02 7.7864534e+01 -1.3772416e+02 
9.6533203e+02 7.7685828e+01 -1.5428854e+02 
1.0004883e+03 7.7815877e+01 -1.5605417e+02 
1.0356445e+03 7.7508798e+01 -1.6965831e+02 
1.0722656e+03 7.6910543e+01 1.7931142e+02 
1.1088867e+03 7.5891887e+01 1.6975495e+02 
1.1484375e+03 7.3881877e+01 1.6123627e+02 
1.1894531e+03 7.4745985e+01 1.6594684e+02 
1.2304688e+03 7.3823876e+01 1.6132809e+02 
1.2744141e+03 7.5768687e+01 1.4674528e+02 
1.3198242e+03 7.4193609e+01 1.3734250e+02 
1.3666992e+03 7.3228138e+01 1.2613154e+02 
1.4135742e+03 7.3839164e+01 1.2526345e+02 
1.4633789e+03 7.3191820e+01 1.1524444e+02 
1.5161133e+03 7.3314617e+01 1.0230098e+02 
1.5688477e+03 7.3449758e+01 9.7205701e+01 
1.6245117e+03 7.1726379e+01 7.9386276e+01 
1.6816406e+03 7.1616379e+01 8.3898290e+01 
1.7416992e+03 7.0785331e+01 7.1401438e+01 
1.8032227e+03 7.1318196e+01 5.8067317e+01 
1.8662109e+03 7.0888191e+01 4.9492327e+01 
1.9321289e+03 7.0271946e+01 5.9224797e+01 
1.9995117e+03 7.3031228e+01 4.3910766e+01 
2.0698242e+03 7.2725594e+01 2.6628475e+01 
2.1430664e+03 7.2577081e+01 1.4942782e+01 
2.2192383e+03 7.3638451e+01 -2.9506113e+00 
2.2968750e+03 7.2002293e+01 -2.8362490e+01 
2.3789063e+03 6.7626589e+01 -1.9561265e+01 
2.4624023e+03 7.0233581e+01 -1.2145309e+01 
2.5488281e+03 7.1798814e+01 -3.3884965e+01 
2.6396484e+03 7.2261403e+01 -3.6772546e+01 
2.7319336e+03 7.3378824e+01 -6.3145587e+01 
2.8286133e+03 6.7712618e+01 -7.3333986e+01 
2.9282227e+03 7.0509442e+01 -8.3270265e+01 
3.0307617e+03 6.7608183e+01 -8.6602953e+01 
3.1376953e+03 6.7379609e+01 -7.6855265e+01 
3.2490234e+03 6.9316049e+01 -8.4612474e+01 
3.3632813e+03 6.9288052e+01 -9.4718991e+01 
3.4819336e+03 6.7883779e+01 -1.0516146e+02 
3.6049805e+03 6.8867576e+01 -9.7644554e+01 
3.7324219e+03 7.0614249e+01 -1.1605393e+02 
3.8642578e+03 6.9094292e+01 -1.1999311e+02 
4.0004883e+03 7.0097276e+01 -1.3964517e+02 
4.1411133e+03 6.8216980e+01 -1.3671071e+02 
4.2875977e+03 6.9585802e+01 -1.5585495e+02 
4.4384766e+03 6.7629835e+01 -1.6129500e+02 
4.5952148e+03 6.7264858e+01 -1.7278799e+02 
4.7563477e+03 6.6801662e+01 -1.5775476e+02 
4.9248047e+03 6.7693003e+01 1.5765669e+02 
5.0976563e+03 6.6243975e+01 -1.6790560e+02 
5.2778320e+03 6.4973400e+01 1.5865905e+02 
5.4638672e+03 6.6644760e+01 1.5149682e+02 
5.6572266e+03 6.4041967e+01 1.6392846e+02 
5.8564453e+03 6.4960275e+01 1.2124299e+02 
6.0629883e+03 6.0237149e+01 1.3451861e+02 
6.2768555e+03 6.0203494e+01 1.1306540e+02 
6.4980469e+03 5.8890677e+01 1.1492886e+02 
6.7265625e+03 5.8441736e+01 9.4777454e+01 
6.9638672e+03 5.6173129e+01 1.0073253e+02 
7.2099609e+03 5.2909252e+01 5.6093622e+01 
7.4648438e+03 5.5165659e+01 9.5508343e+01 
7.7270508e+03 5.4897255e+01 8.9720692e+01 
7.9995117e+03 5.5900304e+01 6.4606900e+01 
8.2822266e+03 5.4827185e+01 6.5692767e+01 
8.5737305e+03 5.6526059e+01 5.6848960e+01 
8.8769531e+03 5.5560091e+01 3.9361668e+01 
9.1889648e+03 5.5187730e+01 2.8351892e+01 
9.5141602e+03 5.5989917e+01 2.9659291e+01 
9.8496094e+03 5.4062909e+01 1.5283697e+01 
1.0196777e+04 5.4877363e+01 2.3884286e+00 
1.0555664e+04 5.2996052e+01 -5.3281023e-01 
1.0927734e+04 5.1304578e+01 -2.0367744e+01 
1.1312988e+04 5.0228120e+01 -5.4077525e+01 
1.1712891e+04 4.4859310e+01 -8.9172101e+01 
1.2125977e+04 3.9392758e+01 -8.9386225e+01 
1.2553711e+04 3.6138087e+01 -9.0898942e+01 
1.2996094e+04 4.0523439e+01 -8.2911246e+01 
1.3454590e+04 3.8502499e+01 -1.0382925e+02 
1.3929199e+04 3.9508600e+01 -7.6995525e+01 
1.4419922e+04 3.9989976e+01 -9.0274087e+01 
1.4928223e+04 3.5017730e+01 -9.4116590e+01 
1.5455566e+04 4.0487908e+01 -3.3462026e+01 
1.6000488e+04 4.3539887e+01 -5.8565919e+01 
1.6564453e+04 4.2513424e+01 -1.0629123e+02 
1.7148926e+04 3.8959151e+01 1.6202854e+02 
1.7752441e+04 3.5688741e+01 1.1983731e+02 
1.8379395e+04 3.5496219e+01 1.3406832e+02 
1.9026855e+04 3.7741306e+01 1.3872557e+02 
1.9697754e+04 3.6783514e+01 1.0066284e+02 
1.9999512e+04 3.6262009e+01 1.4428761e+02 
];
