"Estimated In-Room Response"
"Estimated In-Room Response"
"Frequency / Hz"	"Sound Pessure Level / dB [0.3V at 1m]"
20.5078	53.3857
21.9727	55.4743
23.4375	59.7253
24.9023	57.9281
26.3672	61.0951
27.832	63.6474
29.2969	66.2892
30.7617	68.7495
32.2266	70.9153
33.6914	73.0098
35.1563	74.9861
36.6211	76.8117
38.0859	78.4881
39.5508	80.0358
41.0156	81.4307
42.4805	82.6766
43.9453	83.7798
45.4102	84.7642
46.875	85.5978
48.3398	86.3647
51.2695	87.5461
52.7344	87.9791
54.1992	88.2933
55.6641	88.545
58.5938	88.9117
60.0586	89.0086
62.9883	89.115
64.4531	89.1433
67.3828	89.2315
68.8477	89.2257
71.7773	89.1565
74.707	89.1405
77.6367	89.1372
79.1016	89.1525
82.0313	89.1588
84.9609	89.1741
87.8906	89.1892
90.8203	89.2514
95.2148	89.2099
98.1445	89.1784
101.074	89.1316
105.469	89.1166
108.398	89.0955
112.793	88.9407
117.188	88.8366
120.117	88.9876
124.512	89.0792
128.906	89.0527
133.301	88.966
139.16	88.7172
143.555	88.646
147.949	88.8299
153.809	88.5576
159.668	88.3218
165.527	88.0464
171.387	88.7479
177.246	88.5827
183.105	88.506
188.965	88.6062
196.289	88.3218
203.613	88.0168
210.938	88.3414
218.262	88.3693
225.586	88.1284
232.91	88.164
241.699	88.0196
250.488	87.7919
259.277	88.3483
268.066	88.3005
276.855	87.4957
287.109	87.708
297.363	87.91
307.617	87.4327
319.336	87.2094
329.59	87.2429
341.309	87.1314
353.027	87.4094
366.211	86.7249
379.395	86.8254
392.578	86.3607
405.762	86.5671
420.41	86.4415
435.059	86.2451
451.172	86.0082
465.82	85.652
483.398	86.0946
499.512	86.169
517.09	86.6555
536.133	86.8771
555.176	86.2162
574.219	86.7142
594.727	86.6963
615.234	86.4468
637.207	85.4968
659.18	85.1929
682.617	86.1557
707.52	85.6431
732.422	85.6212
757.324	85.4668
785.156	85.4916
811.523	85.0243
840.82	85.0179
870.117	85.3083
900.879	85.1346
933.105	84.8391
965.332	84.7123
1000.49	84.7426
1035.64	84.8566
1072.27	85.1505
1108.89	85.6584
1148.44	85.5014
1189.45	85.2524
1230.47	85.3642
1274.41	85.1298
1319.82	85.2182
1366.7	85.7398
1413.57	85.7977
1463.38	85.7336
1516.11	85.7014
1568.85	85.7856
1624.51	85.606
1681.64	84.8112
1741.7	83.0014
1803.22	82.0009
1866.21	81.6225
1932.13	81.2346
1999.51	80.7624
2069.82	80.8745
2143.07	81.0841
2219.24	81.2579
2296.88	81.3432
2378.91	82.1485
2462.4	82.6221
2548.83	82.6807
2639.65	83.4142
2731.93	84.0994
2828.61	84.5537
2928.22	85.1434
3030.76	85.5958
3137.7	85.7856
3249.02	86.3607
3363.28	86.6024
3481.93	86.6042
3604.98	86.7567
3732.42	86.9616
3864.26	86.8357
4000.49	87.048
4141.11	87.3249
4287.6	87.1618
4438.48	87.4617
4595.21	87.2275
4756.35	87.3633
4924.8	87.4167
5097.66	87.5917
5277.83	87.7787
5463.87	87.9692
5657.23	87.8244
5856.45	87.6515
6062.99	87.4478
6276.86	87.1229
6498.05	86.9196
6726.56	86.7311
6963.87	86.224
7209.96	85.5406
7464.84	84.8763
7727.05	84.6641
7999.51	84.2028
8282.23	83.9817
8573.73	84.0095
8876.95	84.3023
9188.96	84.7721
9514.16	85.3106
9849.61	86.1162
10196.8	86.3104
10555.7	86.0072
10927.7	85.7848
11313	85.6324
11712.9	85.4419
12126	85.2237
12553.7	85.0025
12996.1	84.6786
13454.6	84.3937
13929.2	84.1577
14419.9	83.7464
14928.2	83.3148
15455.6	82.724
16000.5	82.2417
16564.5	81.7805
17148.9	81.2332
17752.4	80.6059
18379.4	80.11
19026.9	79.8535
19697.8	79.7608
19999.5	79.8181
