"Contour Plot"		
""		
"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa)"	"Theta / deg"
2,378.91	56.7682	-180
2,384.77	56.8725	-180
2,390.62	56.9737	-180
2,396.48	57.0705	-180
2,402.34	57.1619	-180
2,408.2	57.2469	-180
2,414.06	57.3245	-180
2,419.92	57.3941	-180
2,425.78	57.4547	-180
2,431.64	57.5057	-180
2,437.5	57.5464	-180
2,443.36	57.5765	-180
2,449.22	57.5953	-180
2,455.08	57.6026	-180
2,460.94	57.598	-180
2,466.8	57.5813	-180
2,472.66	57.5524	-180
2,478.52	57.5111	-180
2,484.38	57.4576	-180
2,490.23	57.3918	-180
2,496.09	57.3139	-180
2,501.95	57.2243	-180
2,507.81	57.0658	-180
2,513.67	56.9489	-180
2,519.53	56.8833	-180
2,525.39	56.7522	-180
2,531.25	56.6124	-180
2,537.11	56.465	-180
2,542.97	56.3111	-180
2,548.83	56.152	-180
2,554.69	55.9891	-180
2,560.55	55.8239	-180
2,566.41	55.6583	-180
2,572.27	55.494	-180
2,578.12	55.3329	-180
2,583.98	55.1771	-180
2,589.84	55.0284	-180
2,595.7	54.8888	-180
2,601.56	54.7601	-180
2,607.42	54.6441	-180
2,613.28	54.5421	-180
2,619.14	54.4552	-180
2,625	54.3844	-180
2,630.86	54.3299	-180
2,636.72	54.2919	-180
2,642.58	54.2699	-180
2,648.44	54.2633	-180
2,654.3	54.271	-180
2,660.16	54.2916	-180
2,666.02	54.3237	-180
2,671.88	54.3656	-180
2,677.73	54.4154	-180
2,683.59	54.4714	-180
2,689.45	54.5318	-180
2,695.31	54.5949	-180
2,701.17	54.659	-180
2,707.03	54.7226	-180
2,712.89	54.7843	-180
2,718.75	54.843	-180
2,724.61	54.8974	-180
2,730.47	54.9467	-180
2,736.33	54.9899	-180
2,742.19	55.0264	-180
2,748.05	55.0557	-180
2,753.91	55.0772	-180
2,759.77	55.0905	-180
2,765.62	55.0955	-180
2,771.48	55.0919	-180
2,777.34	55.0797	-180
2,783.2	55.0588	-180
2,789.06	55.0294	-180
2,794.92	54.9917	-180
2,800.78	54.9458	-180
2,806.64	54.892	-180
2,812.5	54.8309	-180
2,818.36	54.7628	-180
2,824.22	54.6883	-180
2,830.08	54.608	-180
2,835.94	54.5227	-180
2,841.8	54.433	-180
2,847.66	54.3397	-180
2,853.52	54.2439	-180
2,859.38	54.1464	-180
2,865.23	54.0482	-180
2,871.09	53.9504	-180
2,876.95	53.854	-180
2,882.81	53.7601	-180
2,888.67	53.6698	-180
2,894.53	53.5839	-180
2,900.39	53.5036	-180
2,906.25	53.4296	-180
2,912.11	53.3627	-180
2,917.97	53.3036	-180
2,923.83	53.2527	-180
2,929.69	53.2104	-180
2,935.55	53.1768	-180
2,941.41	53.152	-180
2,947.27	53.1356	-180
2,953.12	53.1274	-180
2,958.98	53.1268	-180
2,964.84	53.1331	-180
2,970.7	53.1456	-180
2,976.56	53.1633	-180
2,982.42	53.1854	-180
2,988.28	53.2107	-180
2,994.14	53.2382	-180
3,000	53.2668	-180
3,005.86	53.2955	-180
3,011.72	53.3232	-180
3,017.58	53.3488	-180
3,023.44	53.3713	-180
3,029.3	53.3898	-180
3,035.16	53.4033	-180
3,041.02	53.4109	-180
3,046.88	53.4119	-180
3,052.73	53.4054	-180
3,058.59	53.3908	-180
3,064.45	53.3673	-180
3,070.31	53.3344	-180
3,076.17	53.2914	-180
3,082.03	53.238	-180
3,087.89	53.1735	-180
3,093.75	53.0977	-180
3,099.61	53.0101	-180
3,105.47	52.9105	-180
3,111.33	52.7987	-180
3,117.19	52.6745	-180
3,123.05	52.5378	-180
3,128.91	52.3887	-180
3,134.77	52.2271	-180
3,140.62	52.0534	-180
3,146.48	51.8676	-180
3,152.34	51.6703	-180
3,158.2	51.4619	-180
3,164.06	51.2432	-180
3,169.92	51.0148	-180
3,175.78	50.7778	-180
3,181.64	50.5332	-180
3,187.5	50.2826	-180
3,193.36	50.0272	-180
3,199.22	49.769	-180
3,205.08	49.5097	-180
3,210.94	49.2514	-180
3,216.8	48.9964	-180
3,222.66	48.7469	-180
3,228.52	48.5052	-180
3,234.38	48.2735	-180
3,240.23	48.0541	-180
3,246.09	47.8488	-180
3,251.95	47.659	-180
3,257.81	47.486	-180
3,263.67	47.3304	-180
3,269.53	47.1921	-180
3,275.39	47.0707	-180
3,281.25	46.9652	-180
3,287.11	46.8739	-180
3,292.97	46.7948	-180
3,298.83	46.7255	-180
3,304.69	46.6634	-180
3,310.55	46.6056	-180
3,316.41	46.5493	-180
3,322.27	46.4914	-180
3,328.12	46.4292	-180
3,333.98	46.3598	-180
3,339.84	46.2805	-180
3,345.7	46.189	-180
3,351.56	46.0829	-180
3,357.42	45.96	-180
3,363.28	45.8183	-180
3,369.14	45.6563	-180
3,375	45.4724	-180
3,380.86	45.2655	-180
3,386.72	45.0347	-180
3,392.58	44.7799	-180
3,398.44	44.5015	-180
3,404.3	44.2009	-180
3,410.16	43.8807	-180
3,416.02	43.5453	-180
3,421.88	43.2012	-180
3,427.73	42.8578	-180
3,433.59	42.5276	-180
3,439.45	42.2263	-180
3,445.31	41.9723	-180
